카테고리,인천광역시 계양구,인천광역시 계양구 효성1동,인천광역시 계양구 효성2동,인천광역시 계양구 계산1동,인천광역시 계양구 계산2동,인천광역시 계양구 계산3동,인천광역시 계양구 계산4동,인천광역시 계양구 작전1동,인천광역시 계양구 작전2동,인천광역시 계양구 작전서운동,인천광역시 계양구 계양1동,인천광역시 계양구 계양2동,인천광역시 계양구 계양3동
2020년04월_계_총인구수,"300,885","25,797","30,562","20,406","16,248","20,398","23,974","29,179","19,477","31,310","21,745","35,189","26,600"
2020년04월_계_연령구간인구수,"300,885","25,797","30,562","20,406","16,248","20,398","23,974","29,179","19,477","31,310","21,745","35,189","26,600"
2020년04월_계_0~9세,"19,826","1,444","2,115",910,676,"1,063","1,605","2,005",952,"2,272","1,621","2,003","3,160"
2020년04월_계_10~19세,"27,848","2,428","2,892","1,372","1,089","1,738","2,713","2,950","1,449","3,521","1,886","2,988","2,822"
2020년04월_계_20~29세,"45,347","3,749","4,419","3,170","2,599","3,559","4,150","4,408","2,929","4,811","3,133","5,430","2,990"
2020년04월_계_30~39세,"39,003","2,958","3,810","2,642","2,054","2,890","2,701","3,789","2,636","3,971","2,793","4,610","4,149"
2020년04월_계_40~49세,"47,296","3,816","4,660","2,904","2,200","2,883","4,104","4,598","2,662","5,429","3,354","5,486","5,200"
2020년04월_계_50~59세,"61,777","5,436","6,281","4,494","3,593","4,553","5,399","5,893","4,106","6,422","4,313","7,265","4,022"
2020년04월_계_60~69세,"36,468","3,600","4,011","3,004","2,518","2,481","2,121","3,501","2,881","2,882","2,696","4,155","2,618"
2020년04월_계_70~79세,"15,160","1,552","1,638","1,280","1,017",756,619,"1,337","1,262","1,246","1,266","2,074","1,113"
2020년04월_계_80~89세,"7,046",694,669,569,416,401,469,600,511,646,594,"1,020",457
2020년04월_계_90~99세,"1,052",108,63,55,82,70,91,94,82,103,87,149,68
2020년04월_계_100세 이상,62,12,4,6,4,4,2,4,7,7,2,9,1
2020년04월_남_총인구수,"150,250","13,034","15,449","10,649","8,089","9,866","12,058","14,417","9,748","15,611","10,750","17,464","13,115"
2020년04월_남_연령구간인구수,"150,250","13,034","15,449","10,649","8,089","9,866","12,058","14,417","9,748","15,611","10,750","17,464","13,115"
2020년04월_남_0~9세,"10,088",715,"1,076",490,343,561,794,"1,008",490,"1,132",835,"1,010","1,634"
2020년04월_남_10~19세,"14,373","1,306","1,494",713,554,917,"1,409","1,498",748,"1,787",978,"1,530","1,439"
2020년04월_남_20~29세,"23,690","1,984","2,364","1,696","1,351","1,829","2,125","2,350","1,506","2,569","1,568","2,858","1,490"
2020년04월_남_30~39세,"20,202","1,583","2,015","1,459","1,132","1,461","1,341","1,908","1,458","2,030","1,409","2,439","1,967"
2020년04월_남_40~49세,"23,512","1,913","2,344","1,579","1,103","1,296","1,956","2,206","1,365","2,610","1,698","2,732","2,710"
2020년04월_남_50~59세,"30,280","2,711","3,074","2,348","1,725","2,058","2,749","2,865","1,960","3,202","2,077","3,569","1,942"
2020년04월_남_60~69세,"18,840","1,843","2,056","1,583","1,270","1,304","1,270","1,791","1,446","1,535","1,389","2,129","1,224"
2020년04월_남_70~79세,"6,775",717,777,594,465,319,273,588,569,520,572,851,530
2020년04월_남_80~89세,"2,246",232,236,173,131,104,129,175,186,204,205,310,161
2020년04월_남_90~99세,229,28,13,12,15,15,12,27,17,20,18,34,18
2020년04월_남_100세 이상,15,2,0,2,0,2,0,1,3,2,1,2,0
2020년04월_여_총인구수,"150,635","12,763","15,113","9,757","8,159","10,532","11,916","14,762","9,729","15,699","10,995","17,725","13,485"
2020년04월_여_연령구간인구수,"150,635","12,763","15,113","9,757","8,159","10,532","11,916","14,762","9,729","15,699","10,995","17,725","13,485"
2020년04월_여_0~9세,"9,738",729,"1,039",420,333,502,811,997,462,"1,140",786,993,"1,526"
2020년04월_여_10~19세,"13,475","1,122","1,398",659,535,821,"1,304","1,452",701,"1,734",908,"1,458","1,383"
2020년04월_여_20~29세,"21,657","1,765","2,055","1,474","1,248","1,730","2,025","2,058","1,423","2,242","1,565","2,572","1,500"
2020년04월_여_30~39세,"18,801","1,375","1,795","1,183",922,"1,429","1,360","1,881","1,178","1,941","1,384","2,171","2,182"
2020년04월_여_40~49세,"23,784","1,903","2,316","1,325","1,097","1,587","2,148","2,392","1,297","2,819","1,656","2,754","2,490"
2020년04월_여_50~59세,"31,497","2,725","3,207","2,146","1,868","2,495","2,650","3,028","2,146","3,220","2,236","3,696","2,080"
2020년04월_여_60~69세,"17,628","1,757","1,955","1,421","1,248","1,177",851,"1,710","1,435","1,347","1,307","2,026","1,394"
2020년04월_여_70~79세,"8,385",835,861,686,552,437,346,749,693,726,694,"1,223",583
2020년04월_여_80~89세,"4,800",462,433,396,285,297,340,425,325,442,389,710,296
2020년04월_여_90~99세,823,80,50,43,67,55,79,67,65,83,69,115,50
2020년04월_여_100세 이상,47,10,4,4,4,2,2,3,4,5,1,7,1
