카테고리,경상남도 남해군,경상남도 남해군 남해읍,경상남도 남해군 이동면,경상남도 남해군 상주면,경상남도 남해군 삼동면,경상남도 남해군 미조면,경상남도 남해군 남면,경상남도 남해군 서면,경상남도 남해군 고현면,경상남도 남해군 설천면,경상남도 남해군 창선면
2021년02월_계_총인구수,"42,794","13,118","3,734","1,645","3,894","2,318","3,524","2,596","3,549","2,855","5,561"
2021년02월_계_연령구간인구수,"42,794","13,118","3,734","1,645","3,894","2,318","3,524","2,596","3,549","2,855","5,561"
2021년02월_계_0~9세,"1,586",856,76,46,127,80,60,50,113,45,133
2021년02월_계_10~19세,"2,903","1,359",240,104,174,177,199,84,181,114,271
2021년02월_계_20~29세,"3,221","1,526",210,98,206,178,191,123,214,157,318
2021년02월_계_30~39세,"2,430","1,117",151,81,196,130,144,98,169,104,240
2021년02월_계_40~49세,"4,581","1,949",340,141,379,249,320,207,311,199,486
2021년02월_계_50~59세,"7,277","2,204",621,314,661,464,577,425,572,472,967
2021년02월_계_60~69세,"8,387","1,987",790,323,846,504,714,547,710,678,"1,288"
2021년02월_계_70~79세,"6,637","1,217",682,271,692,332,705,512,643,542,"1,041"
2021년02월_계_80~89세,"4,897",769,533,233,512,167,523,474,524,444,718
2021년02월_계_90~99세,855,133,90,34,98,36,86,74,111,96,97
2021년02월_계_100세 이상,20,1,1,0,3,1,5,2,1,4,2
2021년02월_남_총인구수,"20,634","6,408","1,793",810,"1,884","1,201","1,664","1,240","1,661","1,342","2,631"
2021년02월_남_연령구간인구수,"20,634","6,408","1,793",810,"1,884","1,201","1,664","1,240","1,661","1,342","2,631"
2021년02월_남_0~9세,836,429,38,27,71,40,34,29,65,25,78
2021년02월_남_10~19세,"1,563",709,153,54,100,90,97,51,107,55,147
2021년02월_남_20~29세,"1,989",913,131,68,127,131,123,92,114,97,193
2021년02월_남_30~39세,"1,257",552,77,41,105,69,85,54,87,59,128
2021년02월_남_40~49세,"2,454",933,185,77,218,139,184,128,188,110,292
2021년02월_남_50~59세,"3,907","1,123",353,180,368,250,318,249,297,256,513
2021년02월_남_60~69세,"4,092",942,381,164,415,257,343,267,341,343,639
2021년02월_남_70~79세,"2,909",543,291,116,309,164,319,217,282,241,427
2021년02월_남_80~89세,"1,477",246,162,78,155,56,142,144,154,140,200
2021년02월_남_90~99세,148,18,21,5,15,5,19,9,26,16,14
2021년02월_남_100세 이상,2,0,1,0,1,0,0,0,0,0,0
2021년02월_여_총인구수,"22,160","6,710","1,941",835,"2,010","1,117","1,860","1,356","1,888","1,513","2,930"
2021년02월_여_연령구간인구수,"22,160","6,710","1,941",835,"2,010","1,117","1,860","1,356","1,888","1,513","2,930"
2021년02월_여_0~9세,750,427,38,19,56,40,26,21,48,20,55
2021년02월_여_10~19세,"1,340",650,87,50,74,87,102,33,74,59,124
2021년02월_여_20~29세,"1,232",613,79,30,79,47,68,31,100,60,125
2021년02월_여_30~39세,"1,173",565,74,40,91,61,59,44,82,45,112
2021년02월_여_40~49세,"2,127","1,016",155,64,161,110,136,79,123,89,194
2021년02월_여_50~59세,"3,370","1,081",268,134,293,214,259,176,275,216,454
2021년02월_여_60~69세,"4,295","1,045",409,159,431,247,371,280,369,335,649
2021년02월_여_70~79세,"3,728",674,391,155,383,168,386,295,361,301,614
2021년02월_여_80~89세,"3,420",523,371,155,357,111,381,330,370,304,518
2021년02월_여_90~99세,707,115,69,29,83,31,67,65,85,80,83
2021년02월_여_100세 이상,18,1,0,0,2,1,5,2,1,4,2
