,경기도 파주시,경기도 파주시 문산읍,경기도 파주시 파주읍,경기도 파주시 법원읍,경기도 파주시 조리읍,경기도 파주시 월롱면,경기도 파주시 탄현면,경기도 파주시 광탄면,경기도 파주시 파평면,경기도 파주시 적성면,경기도 파주시 군내면,경기도 파주시 장단출장소,경기도 파주시 장단면,경기도 파주시 진동면,경기도 파주시 진서면,경기도 파주시 금촌1동,경기도 파주시 금촌2동,경기도 파주시 금촌3동,경기도 파주시 교하동,경기도 파주시 운정1동,경기도 파주시 운정2동,경기도 파주시 운정3동
2020년07월_계_총인구수,"456,788","48,595","13,134","10,900","30,224","9,204","13,462","11,535","3,951","7,614",0,569,0,159,0,"22,528","33,656","27,463","40,995","45,736","62,857","74,206"
2020년07월_계_연령구간인구수,"456,788","48,595","13,134","10,900","30,224","9,204","13,462","11,535","3,951","7,614",0,569,0,159,0,"22,528","33,656","27,463","40,995","45,736","62,857","74,206"
2020년07월_계_0~9세,"44,359","5,168",571,366,"1,848",197,723,516,106,598,0,22,0,5,0,"1,234","3,582","2,445","4,001","5,292","9,226","8,459"
2020년07월_계_10~19세,"48,281","4,740",774,768,"2,791",287,"1,015",673,202,534,0,38,0,12,0,"1,554","4,307","2,790","5,482","5,895","7,542","8,877"
2020년07월_계_20~29세,"55,801","5,768","1,459","1,332","3,824","2,150","1,492","1,281",426,948,0,56,0,4,0,"3,430","4,295","3,814","4,499","5,272","6,721","9,030"
2020년07월_계_30~39세,"66,390","7,892","1,341",899,"3,110","2,248","1,521","1,057",271,875,0,48,0,10,0,"2,898","4,725","3,798","5,146","6,770","12,161","11,620"
2020년07월_계_40~49세,"79,305","7,496","1,699","1,296","4,516",929,"2,179","1,383",369,868,0,77,0,16,0,"3,379","6,223","4,369","8,299","8,997","12,352","14,858"
2020년07월_계_50~59세,"71,097","6,916","2,550","2,230","5,976","1,323","2,596","2,357",786,"1,250",0,98,0,27,0,"4,235","5,141","4,595","6,484","6,677","7,255","10,601"
2020년07월_계_60~69세,"47,231","5,060","2,253","1,961","4,326","1,128","1,982","2,175",775,"1,187",0,96,0,33,0,"3,047","2,718","3,015","3,794","3,780","4,068","5,833"
2020년07월_계_70~79세,"28,488","3,508","1,473","1,293","2,467",556,"1,178","1,256",583,914,0,92,0,34,0,"1,807","1,735","1,713","2,115","2,046","2,405","3,313"
2020년07월_계_80~89세,"13,653","1,773",842,649,"1,185",336,658,685,362,370,0,40,0,16,0,812,806,819,"1,000",874,988,"1,438"
2020년07월_계_90~99세,"1,989",246,130,93,168,47,109,137,61,68,0,2,0,2,0,117,113,101,164,123,138,170
2020년07월_계_100세 이상,194,28,42,13,13,3,9,15,10,2,0,0,0,0,0,15,11,4,11,10,1,7
2020년07월_남_총인구수,"231,825","24,778","6,988","5,791","15,359","5,847","7,311","6,279","2,051","4,074",0,288,0,87,0,"11,904","16,506","14,100","20,848","22,444","30,721","36,449"
2020년07월_남_연령구간인구수,"231,825","24,778","6,988","5,791","15,359","5,847","7,311","6,279","2,051","4,074",0,288,0,87,0,"11,904","16,506","14,100","20,848","22,444","30,721","36,449"
2020년07월_남_0~9세,"22,632","2,594",304,194,932,90,387,262,61,301,0,10,0,1,0,641,"1,845","1,217","2,030","2,701","4,682","4,380"
2020년07월_남_10~19세,"24,912","2,457",409,429,"1,387",163,524,368,104,306,0,13,0,4,0,829,"2,219","1,467","2,872","2,979","3,788","4,594"
2020년07월_남_20~29세,"29,458","3,115",875,801,"2,108","1,276",854,785,277,593,0,30,0,4,0,"1,906","2,165","2,083","2,461","2,557","3,121","4,447"
2020년07월_남_30~39세,"35,307","4,377",781,514,"1,698","1,845",915,641,145,490,0,25,0,6,0,"1,703","2,380","2,058","2,566","3,327","6,125","5,711"
2020년07월_남_40~49세,"40,743","3,993","1,003",748,"2,303",659,"1,236",806,218,498,0,53,0,5,0,"1,822","2,999","2,262","4,176","4,432","6,194","7,336"
2020년07월_남_50~59세,"37,231","3,570","1,454","1,222","3,123",796,"1,507","1,320",434,675,0,50,0,19,0,"2,381","2,620","2,384","3,484","3,347","3,580","5,265"
2020년07월_남_60~69세,"23,457","2,428","1,173","1,035","2,213",620,"1,050","1,215",388,635,0,51,0,17,0,"1,507","1,260","1,507","1,932","1,845","1,854","2,727"
2020년07월_남_70~79세,"12,520","1,503",640,595,"1,101",281,560,627,270,419,0,39,0,21,0,802,704,769,933,896,964,"1,396"
2020년07월_남_80~89세,"5,008",649,304,222,447,108,254,220,137,142,0,16,0,8,0,280,284,322,361,328,376,550
2020년07월_남_90~99세,498,79,34,27,42,9,23,31,11,15,0,1,0,2,0,27,28,29,32,30,36,42
2020년07월_남_100세 이상,59,13,11,4,5,0,1,4,6,0,0,0,0,0,0,6,2,2,1,2,1,1
2020년07월_여_총인구수,"224,963","23,817","6,146","5,109","14,865","3,357","6,151","5,256","1,900","3,540",0,281,0,72,0,"10,624","17,150","13,363","20,147","23,292","32,136","37,757"
2020년07월_여_연령구간인구수,"224,963","23,817","6,146","5,109","14,865","3,357","6,151","5,256","1,900","3,540",0,281,0,72,0,"10,624","17,150","13,363","20,147","23,292","32,136","37,757"
2020년07월_여_0~9세,"21,727","2,574",267,172,916,107,336,254,45,297,0,12,0,4,0,593,"1,737","1,228","1,971","2,591","4,544","4,079"
2020년07월_여_10~19세,"23,369","2,283",365,339,"1,404",124,491,305,98,228,0,25,0,8,0,725,"2,088","1,323","2,610","2,916","3,754","4,283"
2020년07월_여_20~29세,"26,343","2,653",584,531,"1,716",874,638,496,149,355,0,26,0,0,0,"1,524","2,130","1,731","2,038","2,715","3,600","4,583"
2020년07월_여_30~39세,"31,083","3,515",560,385,"1,412",403,606,416,126,385,0,23,0,4,0,"1,195","2,345","1,740","2,580","3,443","6,036","5,909"
2020년07월_여_40~49세,"38,562","3,503",696,548,"2,213",270,943,577,151,370,0,24,0,11,0,"1,557","3,224","2,107","4,123","4,565","6,158","7,522"
2020년07월_여_50~59세,"33,866","3,346","1,096","1,008","2,853",527,"1,089","1,037",352,575,0,48,0,8,0,"1,854","2,521","2,211","3,000","3,330","3,675","5,336"
2020년07월_여_60~69세,"23,774","2,632","1,080",926,"2,113",508,932,960,387,552,0,45,0,16,0,"1,540","1,458","1,508","1,862","1,935","2,214","3,106"
2020년07월_여_70~79세,"15,968","2,005",833,698,"1,366",275,618,629,313,495,0,53,0,13,0,"1,005","1,031",944,"1,182","1,150","1,441","1,917"
2020년07월_여_80~89세,"8,645","1,124",538,427,738,228,404,465,225,228,0,24,0,8,0,532,522,497,639,546,612,888
2020년07월_여_90~99세,"1,491",167,96,66,126,38,86,106,50,53,0,1,0,0,0,90,85,72,132,93,102,128
2020년07월_여_100세 이상,135,15,31,9,8,3,8,11,4,2,0,0,0,0,0,9,9,2,10,8,0,6
