,울산광역시,울산광역시 중구,울산광역시 남구,울산광역시 동구,울산광역시 북구,울산광역시 울주군
2021년04월_계_총인구수,"1,128,163","214,901","317,672","155,511","218,410","221,669"
2021년04월_계_연령구간인구수,"1,128,163","214,901","317,672","155,511","218,410","221,669"
2021년04월_계_0~9세,"95,855","16,103","23,328","14,385","24,740","17,299"
2021년04월_계_10~19세,"110,894","19,782","29,835","15,580","23,522","22,175"
2021년04월_계_20~29세,"142,012","25,998","45,027","17,472","27,231","26,284"
2021년04월_계_30~39세,"148,949","25,864","41,793","22,271","33,659","25,362"
2021년04월_계_40~49세,"186,142","33,747","50,890","26,067","38,732","36,706"
2021년04월_계_50~59세,"207,341","40,589","61,178","25,194","38,581","41,799"
2021년04월_계_60~69세,"149,602","32,529","42,452","23,192","20,859","30,570"
2021년04월_계_70~79세,"61,003","14,423","16,709","8,431","7,542","13,898"
2021년04월_계_80~89세,"23,183","5,232","5,763","2,554","3,083","6,551"
2021년04월_계_90~99세,"3,096",619,677,355,443,"1,002"
2021년04월_계_100세 이상,86,15,20,10,18,23
2021년04월_남_총인구수,"579,853","108,828","162,114","81,246","113,162","114,503"
2021년04월_남_연령구간인구수,"579,853","108,828","162,114","81,246","113,162","114,503"
2021년04월_남_0~9세,"49,243","8,307","11,994","7,352","12,707","8,883"
2021년04월_남_10~19세,"58,389","10,575","15,805","8,237","12,239","11,533"
2021년04월_남_20~29세,"79,887","14,467","25,076","9,827","15,539","14,978"
2021년04월_남_30~39세,"79,228","13,567","22,374","12,246","17,501","13,540"
2021년04월_남_40~49세,"95,028","17,249","24,926","14,207","19,891","18,755"
2021년04월_남_50~59세,"105,402","20,205","30,733","12,561","19,787","22,116"
2021년04월_남_60~69세,"75,345","15,862","21,076","11,594","10,975","15,838"
2021년04월_남_70~79세,"29,052","6,645","7,992","4,314","3,526","6,575"
2021년04월_남_80~89세,"7,758","1,854","2,018",856,929,"2,101"
2021년04월_남_90~99세,510,95,119,50,64,182
2021년04월_남_100세 이상,11,2,1,2,4,2
2021년04월_여_총인구수,"548,310","106,073","155,558","74,265","105,248","107,166"
2021년04월_여_연령구간인구수,"548,310","106,073","155,558","74,265","105,248","107,166"
2021년04월_여_0~9세,"46,612","7,796","11,334","7,033","12,033","8,416"
2021년04월_여_10~19세,"52,505","9,207","14,030","7,343","11,283","10,642"
2021년04월_여_20~29세,"62,125","11,531","19,951","7,645","11,692","11,306"
2021년04월_여_30~39세,"69,721","12,297","19,419","10,025","16,158","11,822"
2021년04월_여_40~49세,"91,114","16,498","25,964","11,860","18,841","17,951"
2021년04월_여_50~59세,"101,939","20,384","30,445","12,633","18,794","19,683"
2021년04월_여_60~69세,"74,257","16,667","21,376","11,598","9,884","14,732"
2021년04월_여_70~79세,"31,951","7,778","8,717","4,117","4,016","7,323"
2021년04월_여_80~89세,"15,425","3,378","3,745","1,698","2,154","4,450"
2021년04월_여_90~99세,"2,586",524,558,305,379,820
2021년04월_여_100세 이상,75,13,19,8,14,21
