,충청남도 논산시,충청남도 논산시 강경읍,충청남도 논산시 연무읍,충청남도 논산시 성동면,충청남도 논산시 광석면,충청남도 논산시 노성면,충청남도 논산시 상월면,충청남도 논산시 부적면,충청남도 논산시 연산면,충청남도 논산시 벌곡면,충청남도 논산시 양촌면,충청남도 논산시 가야곡면,충청남도 논산시 은진면,충청남도 논산시 채운면,충청남도 논산시 취암동,충청남도 논산시 부창동
2021년05월_계_총인구수,"115,431","8,096","13,370","4,100","4,231","2,991","3,563","3,523","6,048","2,431","6,246","3,367","3,975","2,228","35,047","16,215"
2021년05월_계_연령구간인구수,"115,431","8,096","13,370","4,100","4,231","2,991","3,563","3,523","6,048","2,431","6,246","3,367","3,975","2,228","35,047","16,215"
2021년05월_계_0~9세,"7,048",310,852,119,106,107,69,90,189,68,385,57,105,58,"3,296","1,237"
2021년05월_계_10~19세,"9,620",626,"1,088",168,246,141,168,156,308,99,420,120,205,129,"3,938","1,808"
2021년05월_계_20~29세,"11,129",698,"1,246",278,277,198,210,246,364,121,456,209,420,145,"4,481","1,780"
2021년05월_계_30~39세,"10,458",511,"1,235",226,249,212,206,205,324,108,547,156,252,121,"4,555","1,551"
2021년05월_계_40~49세,"14,956",941,"1,631",342,393,293,376,339,527,221,617,291,432,196,"5,833","2,524"
2021년05월_계_50~59세,"19,352","1,415","2,081",666,744,477,668,632,"1,175",432,"1,055",580,708,363,"5,496","2,860"
2021년05월_계_60~69세,"20,516","1,695","2,417",962,980,666,861,858,"1,513",612,"1,188",878,855,541,"4,123","2,367"
2021년05월_계_70~79세,"12,940","1,169","1,605",713,700,498,543,548,938,440,868,591,552,367,"2,109","1,299"
2021년05월_계_80~89세,"8,166",626,"1,046",561,489,341,399,387,609,279,623,419,377,250,"1,063",697
2021년05월_계_90~99세,"1,197",101,165,63,46,55,60,59,95,50,86,66,64,54,145,88
2021년05월_계_100세 이상,49,4,4,2,1,3,3,3,6,1,1,0,5,4,8,4
2021년05월_남_총인구수,"57,742","3,980","6,667","2,077","2,140","1,506","1,778","1,787","3,146","1,237","3,184","1,710","2,114","1,065","17,470","7,881"
2021년05월_남_연령구간인구수,"57,742","3,980","6,667","2,077","2,140","1,506","1,778","1,787","3,146","1,237","3,184","1,710","2,114","1,065","17,470","7,881"
2021년05월_남_0~9세,"3,604",166,436,61,52,53,37,46,102,30,202,33,55,30,"1,678",623
2021년05월_남_10~19세,"4,959",315,556,92,121,78,94,73,172,56,239,64,90,59,"2,031",919
2021년05월_남_20~29세,"6,236",402,712,160,160,117,116,138,224,64,265,124,263,81,"2,410","1,000"
2021년05월_남_30~39세,"5,555",272,678,148,145,119,107,119,177,71,286,98,172,66,"2,341",756
2021년05월_남_40~49세,"7,933",500,894,232,244,166,204,205,297,134,335,165,282,109,"2,922","1,244"
2021년05월_남_50~59세,"10,220",731,"1,113",347,405,285,373,360,651,253,573,313,410,205,"2,758","1,443"
2021년05월_남_60~69세,"10,375",832,"1,207",503,527,335,449,450,824,319,633,470,455,272,"1,992","1,107"
2021년05월_남_70~79세,"5,793",503,707,302,324,233,255,259,453,211,396,277,250,149,936,538
2021년05월_남_80~89세,"2,762",230,330,212,152,108,123,128,220,85,231,146,124,78,361,234
2021년05월_남_90~99세,296,27,34,20,10,12,20,9,25,14,24,20,12,15,38,16
2021년05월_남_100세 이상,9,2,0,0,0,0,0,0,1,0,0,0,1,1,3,1
2021년05월_여_총인구수,"57,689","4,116","6,703","2,023","2,091","1,485","1,785","1,736","2,902","1,194","3,062","1,657","1,861","1,163","17,577","8,334"
2021년05월_여_연령구간인구수,"57,689","4,116","6,703","2,023","2,091","1,485","1,785","1,736","2,902","1,194","3,062","1,657","1,861","1,163","17,577","8,334"
2021년05월_여_0~9세,"3,444",144,416,58,54,54,32,44,87,38,183,24,50,28,"1,618",614
2021년05월_여_10~19세,"4,661",311,532,76,125,63,74,83,136,43,181,56,115,70,"1,907",889
2021년05월_여_20~29세,"4,893",296,534,118,117,81,94,108,140,57,191,85,157,64,"2,071",780
2021년05월_여_30~39세,"4,903",239,557,78,104,93,99,86,147,37,261,58,80,55,"2,214",795
2021년05월_여_40~49세,"7,023",441,737,110,149,127,172,134,230,87,282,126,150,87,"2,911","1,280"
2021년05월_여_50~59세,"9,132",684,968,319,339,192,295,272,524,179,482,267,298,158,"2,738","1,417"
2021년05월_여_60~69세,"10,141",863,"1,210",459,453,331,412,408,689,293,555,408,400,269,"2,131","1,260"
2021년05월_여_70~79세,"7,147",666,898,411,376,265,288,289,485,229,472,314,302,218,"1,173",761
2021년05월_여_80~89세,"5,404",396,716,349,337,233,276,259,389,194,392,273,253,172,702,463
2021년05월_여_90~99세,901,74,131,43,36,43,40,50,70,36,62,46,52,39,107,72
2021년05월_여_100세 이상,40,2,4,2,1,3,3,3,5,1,1,0,4,3,5,3
