카테고리,부산광역시 사하구,부산광역시 사하구 괴정제1동,부산광역시 사하구 괴정제2동,부산광역시 사하구 괴정제3동,부산광역시 사하구 괴정제4동,부산광역시 사하구 당리동,부산광역시 사하구 하단제1동,부산광역시 사하구 하단제2동,부산광역시 사하구 신평제1동,부산광역시 사하구 신평제2동,부산광역시 사하구 장림제1동,부산광역시 사하구 장림제2동,부산광역시 사하구 다대제1동,부산광역시 사하구 다대제2동,부산광역시 사하구 구평동,부산광역시 사하구 감천제1동,부산광역시 사하구 감천제2동
2021년06월_계_총인구수,"307,559","19,738","14,081","12,631","12,405","26,716","21,521","25,333","17,199","15,806","10,880","27,670","39,242","27,750","11,564","18,914","6,109"
2021년06월_계_연령구간인구수,"307,559","19,738","14,081","12,631","12,405","26,716","21,521","25,333","17,199","15,806","10,880","27,670","39,242","27,750","11,564","18,914","6,109"
2021년06월_계_0~9세,"19,017","1,045",845,501,725,"1,591","1,164","1,373","1,097","1,040",919,"1,868","2,900","1,649","1,271",899,130
2021년06월_계_10~19세,"24,773","1,551","1,088",754,947,"2,252","1,662","1,997","1,103","1,309",952,"2,407","3,909","2,374",837,"1,389",242
2021년06월_계_20~29세,"39,020","2,272","1,532","1,451","1,477","3,400","3,522","5,151","1,876","2,081","1,067","3,467","4,461","3,299","1,270","2,158",536
2021년06월_계_30~39세,"35,656","2,193","1,469","1,471","1,311","2,953","2,813","3,151","2,089","2,119","1,421","3,596","4,209","2,665","1,988","1,787",421
2021년06월_계_40~49세,"45,178","2,672","2,154","1,621","1,796","3,818","2,957","3,485","2,519","2,405","1,949","4,411","6,385","3,962","1,791","2,536",717
2021년06월_계_50~59세,"53,609","3,375","2,256","2,126","2,049","4,687","3,597","4,048","3,121","2,857","1,752","4,841","7,084","5,271","1,841","3,553","1,151"
2021년06월_계_60~69세,"52,507","3,535","2,606","2,582","2,314","4,753","3,459","3,646","3,125","2,550","1,617","4,443","6,019","5,052","1,634","3,847","1,325"
2021년06월_계_70~79세,"26,442","2,062","1,533","1,488","1,262","2,306","1,628","1,764","1,617","1,026",892,"1,967","2,923","2,295",688,"1,952","1,039"
