카테고리,경기도 과천시,경기도 과천시 중앙동,경기도 과천시 갈현동,경기도 과천시 별양동,경기도 과천시 부림동,경기도 과천시 과천동,경기도 과천시 문원동
2020년04월_계_총인구수,"59,687","8,469","10,883","10,597","11,786","9,883","8,069"
2020년04월_계_연령구간인구수,"59,687","8,469","10,883","10,597","11,786","9,883","8,069"
2020년04월_계_0~9세,"4,760",617,"1,219",643,951,684,646
2020년04월_계_10~19세,"6,349",829,"1,499","1,191","1,259",654,917
2020년04월_계_20~29세,"8,188","1,272","1,207","1,674","1,715","1,325",995
2020년04월_계_30~39세,"8,145","1,037","1,353","1,189","1,758","1,762","1,046"
2020년04월_계_40~49세,"9,287","1,121","2,086","1,468","1,774","1,496","1,342"
2020년04월_계_50~59세,"10,468","1,592","1,712","2,092","2,138","1,593","1,341"
2020년04월_계_60~69세,"6,753","1,081",957,"1,249","1,198","1,356",912
2020년04월_계_70~79세,"3,536",516,554,604,573,706,583
2020년04월_계_80~89세,"1,793",313,247,392,354,260,227
2020년04월_계_90~99세,358,76,45,84,62,44,47
2020년04월_계_100세 이상,50,15,4,11,4,3,13
2020년04월_남_총인구수,"29,341","4,112","5,277","5,030","5,820","5,150","3,952"
2020년04월_남_연령구간인구수,"29,341","4,112","5,277","5,030","5,820","5,150","3,952"
2020년04월_남_0~9세,"2,494",338,609,324,531,339,353
2020년04월_남_10~19세,"3,307",423,765,632,664,352,471
2020년04월_남_20~29세,"4,323",675,628,844,900,739,537
2020년04월_남_30~39세,"4,110",515,587,573,901,997,537
2020년04월_남_40~49세,"4,429",507,"1,004",647,821,804,646
2020년04월_남_50~59세,"5,122",742,876,"1,015","1,020",794,675
2020년04월_남_60~69세,"3,291",549,475,586,608,669,404
2020년04월_남_70~79세,"1,531",228,223,248,246,345,241
2020년04월_남_80~89세,638,116,97,137,115,98,75
2020년04월_남_90~99세,88,17,13,21,14,13,10
2020년04월_남_100세 이상,8,2,0,3,0,0,3
2020년04월_여_총인구수,"30,346","4,357","5,606","5,567","5,966","4,733","4,117"
2020년04월_여_연령구간인구수,"30,346","4,357","5,606","5,567","5,966","4,733","4,117"
2020년04월_여_0~9세,"2,266",279,610,319,420,345,293
2020년04월_여_10~19세,"3,042",406,734,559,595,302,446
2020년04월_여_20~29세,"3,865",597,579,830,815,586,458
2020년04월_여_30~39세,"4,035",522,766,616,857,765,509
2020년04월_여_40~49세,"4,858",614,"1,082",821,953,692,696
2020년04월_여_50~59세,"5,346",850,836,"1,077","1,118",799,666
2020년04월_여_60~69세,"3,462",532,482,663,590,687,508
2020년04월_여_70~79세,"2,005",288,331,356,327,361,342
2020년04월_여_80~89세,"1,155",197,150,255,239,162,152
2020년04월_여_90~99세,270,59,32,63,48,31,37
2020년04월_여_100세 이상,42,13,4,8,4,3,10
