카테고리,강원도 동해시,강원도 동해시 천곡동,강원도 동해시 송정동,강원도 동해시 북삼동,강원도 동해시 부곡동,강원도 동해시 동호동,강원도 동해시 발한동,강원도 동해시 묵호동,강원도 동해시 북평동,강원도 동해시 망상동,강원도 동해시 삼화동
2020년09월_계_총인구수,"90,575","30,873","4,102","19,385","5,190","5,234","3,595","3,199","12,344","3,681","2,972"
2020년09월_계_연령구간인구수,"90,575","30,873","4,102","19,385","5,190","5,234","3,595","3,199","12,344","3,681","2,972"
2020년09월_계_0~9세,"6,745","2,886",178,"1,530",194,319,113,104,"1,130",182,109
2020년09월_계_10~19세,"8,818","3,304",253,"2,588",346,470,168,164,"1,133",191,201
2020년09월_계_20~29세,"9,360","3,396",579,"2,166",477,491,282,199,"1,272",279,219
2020년09월_계_30~39세,"9,350","3,774",312,"1,971",381,455,232,201,"1,487",313,224
2020년09월_계_40~49세,"14,699","5,233",548,"3,774",718,751,433,413,"2,028",454,347
2020년09월_계_50~59세,"15,612","5,096",721,"3,466",940,955,610,495,"2,121",640,568
2020년09월_계_60~69세,"13,670","4,352",725,"2,140","1,088",862,797,699,"1,681",722,604
2020년09월_계_70~79세,"8,083","1,903",488,"1,196",708,657,625,589,923,553,441
2020년09월_계_80~89세,"3,683",810,252,481,290,249,288,296,502,296,219
2020년09월_계_90~99세,525,118,45,73,44,19,43,34,65,46,38
2020년09월_계_100세 이상,30,1,1,0,4,6,4,5,2,5,2
2020년09월_남_총인구수,"45,906","15,335","2,242","10,022","2,541","2,655","1,817","1,578","6,322","1,838","1,556"
2020년09월_남_연령구간인구수,"45,906","15,335","2,242","10,022","2,541","2,655","1,817","1,578","6,322","1,838","1,556"
2020년09월_남_0~9세,"3,474","1,489",86,793,109,156,55,60,583,84,59
2020년09월_남_10~19세,"4,595","1,650",148,"1,395",180,248,89,90,584,102,109
2020년09월_남_20~29세,"5,485","1,953",402,"1,287",265,283,180,102,714,163,136
2020년09월_남_30~39세,"4,981","1,967",189,"1,030",200,250,147,116,780,169,133
2020년09월_남_40~49세,"7,647","2,566",317,"1,860",394,430,259,246,"1,100",262,213
2020년09월_남_50~59세,"8,067","2,415",405,"1,872",455,510,323,282,"1,122",344,339
2020년09월_남_60~69세,"6,584","2,114",357,"1,028",520,390,354,320,838,354,309
2020년09월_남_70~79세,"3,649",875,226,564,311,291,300,229,426,246,181
2020년09월_남_80~89세,"1,305",282,101,178,97,91,96,121,167,101,71
2020년09월_남_90~99세,110,24,10,15,8,5,13,12,8,10,5
2020년09월_남_100세 이상,9,0,1,0,2,1,1,0,0,3,1
2020년09월_여_총인구수,"44,669","15,538","1,860","9,363","2,649","2,579","1,778","1,621","6,022","1,843","1,416"
2020년09월_여_연령구간인구수,"44,669","15,538","1,860","9,363","2,649","2,579","1,778","1,621","6,022","1,843","1,416"
2020년09월_여_0~9세,"3,271","1,397",92,737,85,163,58,44,547,98,50
2020년09월_여_10~19세,"4,223","1,654",105,"1,193",166,222,79,74,549,89,92
2020년09월_여_20~29세,"3,875","1,443",177,879,212,208,102,97,558,116,83
2020년09월_여_30~39세,"4,369","1,807",123,941,181,205,85,85,707,144,91
2020년09월_여_40~49세,"7,052","2,667",231,"1,914",324,321,174,167,928,192,134
2020년09월_여_50~59세,"7,545","2,681",316,"1,594",485,445,287,213,999,296,229
2020년09월_여_60~69세,"7,086","2,238",368,"1,112",568,472,443,379,843,368,295
2020년09월_여_70~79세,"4,434","1,028",262,632,397,366,325,360,497,307,260
2020년09월_여_80~89세,"2,378",528,151,303,193,158,192,175,335,195,148
2020년09월_여_90~99세,415,94,35,58,36,14,30,22,57,36,33
2020년09월_여_100세 이상,21,1,0,0,2,5,3,5,2,2,1
