카테고리,강원도,강원도 춘천시,강원도 원주시,강원도 강릉시,강원도 동해시,강원도 태백시,강원도 속초시,강원도 삼척시,강원도 홍천군,강원도 횡성군,강원도 영월군,강원도 평창군,강원도 정선군,강원도 철원군,강원도 화천군,강원도 양구군,강원도 인제군,강원도 고성군,강원도 양양군
2020년02월_계_총인구수,"1,539,521","281,759","350,897","213,273","90,210","43,526","81,744","66,478","68,715","46,372","38,969","41,903","37,062","45,333","24,673","22,366","31,432","27,080","27,729"
2020년02월_계_연령구간인구수,"1,539,521","281,759","350,897","213,273","90,210","43,526","81,744","66,478","68,715","46,372","38,969","41,903","37,062","45,333","24,673","22,366","31,432","27,080","27,729"
2020년02월_계_0~9세,"108,694","22,256","28,829","13,992","6,805","2,805","5,946","4,056","3,928","2,243","1,732","2,000","1,837","3,408","1,836","1,799","2,524","1,312","1,386"
2020년02월_계_10~19세,"141,975","27,815","36,628","19,954","8,969","3,967","7,673","5,403","5,401","3,557","2,986","3,053","2,664","3,973","1,864","2,057","2,317","1,745","1,949"
2020년02월_계_20~29세,"179,813","36,898","45,199","25,188","9,372","3,770","8,897","7,636","6,489","3,971","3,391","3,435","2,868","6,096","3,851","3,138","4,152","3,072","2,390"
2020년02월_계_30~39세,"169,694","34,798","45,458","22,133","9,454","4,121","9,269","6,192","6,252","3,636","2,961","3,339","3,335","4,842","2,834","2,594","3,882","2,218","2,376"
2020년02월_계_40~49세,"227,950","42,956","57,699","32,846","14,805","6,622","12,612","9,242","8,478","5,220","4,872","5,503","5,043","5,905","2,811","2,605","3,955","3,178","3,598"
2020년02월_계_50~59세,"269,666","47,036","60,179","36,776","15,630","7,581","15,158","11,665","13,025","8,975","7,541","8,269","7,226","7,452","3,998","3,668","5,428","4,964","5,095"
2020년02월_계_60~69세,"226,444","35,817","42,091","31,922","13,079","7,486","11,848","10,686","12,985","9,534","7,668","8,364","7,054","6,341","3,512","3,157","4,773","4,940","5,187"
2020년02월_계_70~79세,"135,668","21,225","21,549","19,386","7,999","4,860","6,693","7,169","7,306","5,626","4,886","5,035","4,546","4,818","2,480","2,088","2,748","3,567","3,687"
2020년02월_계_80~89세,"68,321","11,050","11,471","9,437","3,599","2,007","3,035","3,846","4,221","3,097","2,560","2,518","2,104","2,113","1,285","1,093","1,411","1,737","1,737"
2020년02월_계_90~99세,"10,493","1,799","1,691","1,540",469,248,579,535,590,483,324,348,340,341,187,150,229,331,309
2020년02월_계_100세 이상,803,109,103,99,29,59,34,48,40,30,48,39,45,44,15,17,13,16,15
2020년02월_남_총인구수,"774,358","139,015","174,222","105,698","45,676","21,991","40,412","33,686","35,165","23,696","20,145","21,472","19,238","23,636","13,334","11,853","17,011","13,999","14,109"
2020년02월_남_연령구간인구수,"774,358","139,015","174,222","105,698","45,676","21,991","40,412","33,686","35,165","23,696","20,145","21,472","19,238","23,636","13,334","11,853","17,011","13,999","14,109"
2020년02월_남_0~9세,"55,664","11,442","14,712","7,210","3,496","1,432","3,005","2,071","1,967","1,169",927,"1,017",955,"1,745",911,894,"1,314",670,727
2020년02월_남_10~19세,"74,087","14,466","19,067","10,472","4,692","2,082","3,989","2,845","2,782","1,857","1,610","1,608","1,376","2,066",966,"1,061","1,188",947,"1,013"
2020년02월_남_20~29세,"100,658","19,598","23,950","13,742","5,472","2,133","4,999","4,285","3,820","2,221","1,943","1,975","1,629","4,002","2,653","2,106","2,764","1,950","1,416"
2020년02월_남_30~39세,"88,713","17,631","23,058","11,513","4,955","2,161","4,921","3,304","3,414","1,938","1,630","1,817","1,889","2,645","1,639","1,432","2,221","1,264","1,281"
2020년02월_남_40~49세,"117,543","21,318","28,532","16,784","7,760","3,535","6,262","5,153","4,552","2,874","2,710","3,029","2,917","3,171","1,539","1,419","2,213","1,794","1,981"
2020년02월_남_50~59세,"138,104","23,492","30,284","18,371","8,015","4,022","7,447","6,166","6,793","4,736","4,115","4,401","3,925","3,959","2,170","1,953","2,873","2,657","2,725"
2020년02월_남_60~69세,"112,474","17,360","20,794","15,266","6,303","3,663","5,742","5,339","6,775","4,968","3,977","4,322","3,686","3,062","1,861","1,665","2,592","2,521","2,578"
2020년02월_남_70~79세,"60,545","9,263","9,462","8,674","3,590","2,160","2,901","3,131","3,417","2,698","2,217","2,327","2,049","2,142","1,085",908,"1,294","1,540","1,687"
2020년02월_남_80~89세,"23,927","3,979","3,958","3,326","1,285",727,"1,003","1,281","1,473","1,111",914,882,714,759,456,365,481,576,637
2020년02월_남_90~99세,"2,388",418,384,313,99,51,129,99,164,112,88,83,78,73,47,43,67,77,63
2020년02월_남_100세 이상,255,48,21,27,9,25,14,12,8,12,14,11,20,12,7,7,4,3,1
2020년02월_여_총인구수,"765,163","142,744","176,675","107,575","44,534","21,535","41,332","32,792","33,550","22,676","18,824","20,431","17,824","21,697","11,339","10,513","14,421","13,081","13,620"
2020년02월_여_연령구간인구수,"765,163","142,744","176,675","107,575","44,534","21,535","41,332","32,792","33,550","22,676","18,824","20,431","17,824","21,697","11,339","10,513","14,421","13,081","13,620"
2020년02월_여_0~9세,"53,030","10,814","14,117","6,782","3,309","1,373","2,941","1,985","1,961","1,074",805,983,882,"1,663",925,905,"1,210",642,659
2020년02월_여_10~19세,"67,888","13,349","17,561","9,482","4,277","1,885","3,684","2,558","2,619","1,700","1,376","1,445","1,288","1,907",898,996,"1,129",798,936
2020년02월_여_20~29세,"79,155","17,300","21,249","11,446","3,900","1,637","3,898","3,351","2,669","1,750","1,448","1,460","1,239","2,094","1,198","1,032","1,388","1,122",974
2020년02월_여_30~39세,"80,981","17,167","22,400","10,620","4,499","1,960","4,348","2,888","2,838","1,698","1,331","1,522","1,446","2,197","1,195","1,162","1,661",954,"1,095"
2020년02월_여_40~49세,"110,407","21,638","29,167","16,062","7,045","3,087","6,350","4,089","3,926","2,346","2,162","2,474","2,126","2,734","1,272","1,186","1,742","1,384","1,617"
2020년02월_여_50~59세,"131,562","23,544","29,895","18,405","7,615","3,559","7,711","5,499","6,232","4,239","3,426","3,868","3,301","3,493","1,828","1,715","2,555","2,307","2,370"
2020년02월_여_60~69세,"113,970","18,457","21,297","16,656","6,776","3,823","6,106","5,347","6,210","4,566","3,691","4,042","3,368","3,279","1,651","1,492","2,181","2,419","2,609"
2020년02월_여_70~79세,"75,123","11,962","12,087","10,712","4,409","2,700","3,792","4,038","3,889","2,928","2,669","2,708","2,497","2,676","1,395","1,180","1,454","2,027","2,000"
2020년02월_여_80~89세,"44,394","7,071","7,513","6,111","2,314","1,280","2,032","2,565","2,748","1,986","1,646","1,636","1,390","1,354",829,728,930,"1,161","1,100"
2020년02월_여_90~99세,"8,105","1,381","1,307","1,227",370,197,450,436,426,371,236,265,262,268,140,107,162,254,246
2020년02월_여_100세 이상,548,61,82,72,20,34,20,36,32,18,34,28,25,32,8,10,9,13,14
