카테고리,부산광역시 금정구,부산광역시 금정구 서제1동,부산광역시 금정구 서제2동,부산광역시 금정구 서제3동,부산광역시 금정구 금사회동동,부산광역시 금정구 부곡제1동,부산광역시 금정구 부곡제2동,부산광역시 금정구 부곡제3동,부산광역시 금정구 부곡제4동,부산광역시 금정구 장전제1동,부산광역시 금정구 장전제2동,부산광역시 금정구 선두구동,부산광역시 금정구 청룡노포동,부산광역시 금정구 남산동,부산광역시 금정구 구서제1동,부산광역시 금정구 구서제2동,부산광역시 금정구 금성동
2021년03월_계_총인구수,"230,605","5,646","9,546","11,403","8,093","8,517","16,715","16,080","13,075","18,036","27,143","2,368","9,907","29,355","19,918","33,732","1,071"
2021년03월_계_연령구간인구수,"230,605","5,646","9,546","11,403","8,093","8,517","16,715","16,080","13,075","18,036","27,143","2,368","9,907","29,355","19,918","33,732","1,071"
2021년03월_계_0~9세,"12,816",100,323,344,260,294,868,"1,139",521,895,"2,661",75,504,"1,206","1,337","2,215",74
2021년03월_계_10~19세,"17,507",260,472,549,352,454,"1,413","1,345",804,"1,229","2,469",98,688,"2,047","1,940","3,274",113
2021년03월_계_20~29세,"32,941",544,"1,126","1,248",814,898,"2,483","2,254","1,540","5,786","3,400",213,"1,064","4,497","2,561","4,434",79
2021년03월_계_30~39세,"24,774",455,944,"1,096",796,794,"1,769","1,948","1,430","1,987","3,693",207,937,"2,985","2,245","3,407",81
2021년03월_계_40~49세,"31,790",724,"1,151","1,340",967,"1,106","2,377","2,270","1,761","2,195","4,711",235,"1,213","3,639","3,027","4,907",167
2021년03월_계_50~59세,"39,864","1,098","1,895","2,273","1,564","1,455","2,936","2,771","2,254","2,238","3,758",473,"1,766","5,497","3,650","6,072",164
2021년03월_계_60~69세,"39,152","1,313","2,165","2,479","1,926","1,773","2,716","2,498","2,659","1,983","3,378",546,"1,943","5,177","2,982","5,389",225
2021년03월_계_70~79세,"21,627",777,"1,056","1,452","1,039","1,219","1,421","1,174","1,530","1,154","2,040",342,"1,206","2,954","1,475","2,682",106
2021년03월_계_80~89세,"8,938",332,378,566,335,472,645,591,516,508,870,158,522,"1,210",628,"1,157",50
2021년03월_계_90~99세,"1,131",31,35,47,36,52,85,87,57,60,153,19,62,140,71,185,11
2021년03월_계_100세 이상,65,12,1,9,4,0,2,3,3,1,10,2,2,3,2,10,1
2021년03월_남_총인구수,"112,741","2,903","4,766","5,707","4,285","4,076","8,031","7,696","6,280","9,346","13,078","1,268","4,864","14,351","9,469","16,102",519
2021년03월_남_연령구간인구수,"112,741","2,903","4,766","5,707","4,285","4,076","8,031","7,696","6,280","9,346","13,078","1,268","4,864","14,351","9,469","16,102",519
