카테고리,강원도 화천군,강원도 화천군 화천읍,강원도 화천군 간동면,강원도 화천군 하남면,강원도 화천군 상서면,강원도 화천군 사내면
2021년10월_계_총인구수,"24,247","8,325","2,698","2,798","4,130","6,296"
2021년10월_계_연령구간인구수,"24,247","8,325","2,698","2,798","4,130","6,296"
2021년10월_계_0~9세,"1,735",677,55,126,273,604
2021년10월_계_10~19세,"1,707",750,136,234,156,431
2021년10월_계_20~29세,"3,618","1,133",258,253,"1,061",913
2021년10월_계_30~39세,"2,753",954,127,229,530,913
2021년10월_계_40~49세,"2,617","1,113",211,345,308,640
2021년10월_계_50~59세,"3,759","1,283",582,512,487,895
2021년10월_계_60~69세,"4,111","1,192",660,565,655,"1,039"
2021년10월_계_70~79세,"2,231",715,377,288,355,496
2021년10월_계_80~89세,"1,477",448,238,211,265,315
2021년10월_계_90~99세,229,56,53,33,39,48
2021년10월_계_100세 이상,10,4,1,2,1,2
2021년10월_남_총인구수,"13,158","4,358","1,437","1,460","2,498","3,405"
2021년10월_남_연령구간인구수,"13,158","4,358","1,437","1,460","2,498","3,405"
2021년10월_남_0~9세,887,361,29,63,122,312
2021년10월_남_10~19세,858,387,66,116,72,217
2021년10월_남_20~29세,"2,515",697,189,142,866,621
2021년10월_남_30~39세,"1,637",541,76,119,365,536
2021년10월_남_40~49세,"1,425",581,107,188,188,361
2021년10월_남_50~59세,"2,029",687,327,290,269,456
2021년10월_남_60~69세,"2,229",638,371,314,364,542
2021년10월_남_70~79세,994,299,170,142,152,231
2021년10월_남_80~89세,525,153,87,79,92,114
2021년10월_남_90~99세,55,13,14,6,8,14
2021년10월_남_100세 이상,4,1,1,1,0,1
2021년10월_여_총인구수,"11,089","3,967","1,261","1,338","1,632","2,891"
2021년10월_여_연령구간인구수,"11,089","3,967","1,261","1,338","1,632","2,891"
2021년10월_여_0~9세,848,316,26,63,151,292
2021년10월_여_10~19세,849,363,70,118,84,214
2021년10월_여_20~29세,"1,103",436,69,111,195,292
2021년10월_여_30~39세,"1,116",413,51,110,165,377
2021년10월_여_40~49세,"1,192",532,104,157,120,279
2021년10월_여_50~59세,"1,730",596,255,222,218,439
2021년10월_여_60~69세,"1,882",554,289,251,291,497
2021년10월_여_70~79세,"1,237",416,207,146,203,265
2021년10월_여_80~89세,952,295,151,132,173,201
2021년10월_여_90~99세,174,43,39,27,31,34
2021년10월_여_100세 이상,6,3,0,1,1,1
