카테고리,전라남도 광양시,전라남도 광양시 광양읍,전라남도 광양시 봉강면,전라남도 광양시 옥룡면,전라남도 광양시 옥곡면,전라남도 광양시 진상면,전라남도 광양시 진월면,전라남도 광양시 다압면,전라남도 광양시 골약동,전라남도 광양시 중마동,전라남도 광양시 광영동,전라남도 광양시 금호동,전라남도 광양시 태인동
2021년01월_계_총인구수,"151,045","48,834","2,178","3,100","2,863","2,856","2,826","1,807","1,628","58,296","12,570","12,280","1,807"
2021년01월_계_연령구간인구수,"151,045","48,834","2,178","3,100","2,863","2,856","2,826","1,807","1,628","58,296","12,570","12,280","1,807"
2021년01월_계_0~9세,"13,251","4,421",65,87,60,67,75,40,35,"6,465",970,912,54
2021년01월_계_10~19세,"15,965","5,118",133,138,113,138,82,91,66,"7,392","1,220","1,346",128
2021년01월_계_20~29세,"19,965","6,153",210,267,272,213,197,117,121,"8,358","1,680","2,186",191
2021년01월_계_30~39세,"18,377","5,923",141,155,165,161,162,103,125,"8,635","1,332","1,338",137
2021년01월_계_40~49세,"23,761","8,023",208,272,262,216,262,164,162,"10,618","1,986","1,387",201
2021년01월_계_50~59세,"28,994","8,475",435,666,567,555,505,341,313,"10,946","2,859","2,941",391
2021년01월_계_60~69세,"17,079","5,931",403,618,606,573,599,413,301,"3,935","1,660","1,706",334
2021년01월_계_70~79세,"8,195","2,939",312,486,461,507,535,300,273,"1,269",569,331,213
2021년01월_계_80~89세,"4,686","1,581",225,355,309,363,335,208,201,596,260,114,139
2021년01월_계_90~99세,748,260,45,54,47,60,72,29,31,78,34,19,19
2021년01월_계_100세 이상,24,10,1,2,1,3,2,1,0,4,0,0,0
2021년01월_남_총인구수,"78,821","25,016","1,132","1,527","1,468","1,427","1,393",905,897,"30,675","6,672","6,708","1,001"
2021년01월_남_연령구간인구수,"78,821","25,016","1,132","1,527","1,468","1,427","1,393",905,897,"30,675","6,672","6,708","1,001"
2021년01월_남_0~9세,"6,733","2,239",43,39,31,27,33,16,15,"3,282",507,472,29
2021년01월_남_10~19세,"8,252","2,669",81,68,60,80,44,49,37,"3,784",622,684,74
2021년01월_남_20~29세,"11,656","3,412",126,166,160,133,121,71,77,"4,809","1,006","1,444",131
2021년01월_남_30~39세,"9,866","3,040",81,81,98,94,95,61,78,"4,621",742,784,91
2021년01월_남_40~49세,"12,202","4,224",127,142,153,128,161,107,113,"5,302","1,044",565,136
2021년01월_남_50~59세,"15,860","4,505",248,386,321,322,299,188,211,"6,000","1,549","1,606",225
2021년01월_남_60~69세,"8,980","3,065",210,319,318,291,290,217,162,"2,128",873,925,182
2021년01월_남_70~79세,"3,660","1,311",135,206,204,221,229,116,127,557,262,198,94
2021년01월_남_80~89세,"1,481",499,68,109,115,121,113,76,72,181,63,27,37
2021년01월_남_90~99세,126,51,12,10,8,10,8,4,5,9,4,3,2
2021년01월_남_100세 이상,5,1,1,1,0,0,0,0,0,2,0,0,0
2021년01월_여_총인구수,"72,224","23,818","1,046","1,573","1,395","1,429","1,433",902,731,"27,621","5,898","5,572",806
2021년01월_여_연령구간인구수,"72,224","23,818","1,046","1,573","1,395","1,429","1,433",902,731,"27,621","5,898","5,572",806
2021년01월_여_0~9세,"6,518","2,182",22,48,29,40,42,24,20,"3,183",463,440,25
2021년01월_여_10~19세,"7,713","2,449",52,70,53,58,38,42,29,"3,608",598,662,54
2021년01월_여_20~29세,"8,309","2,741",84,101,112,80,76,46,44,"3,549",674,742,60
2021년01월_여_30~39세,"8,511","2,883",60,74,67,67,67,42,47,"4,014",590,554,46
2021년01월_여_40~49세,"11,559","3,799",81,130,109,88,101,57,49,"5,316",942,822,65
2021년01월_여_50~59세,"13,134","3,970",187,280,246,233,206,153,102,"4,946","1,310","1,335",166
2021년01월_여_60~69세,"8,099","2,866",193,299,288,282,309,196,139,"1,807",787,781,152
2021년01월_여_70~79세,"4,535","1,628",177,280,257,286,306,184,146,712,307,133,119
2021년01월_여_80~89세,"3,205","1,082",157,246,194,242,222,132,129,415,197,87,102
2021년01월_여_90~99세,622,209,33,44,39,50,64,25,26,69,30,16,17
2021년01월_여_100세 이상,19,9,0,1,1,3,2,1,0,2,0,0,0
