,경상북도 칠곡군,경상북도 칠곡군 왜관읍,경상북도 칠곡군 북삼읍,경상북도 칠곡군 석적읍,경상북도 칠곡군 지천면,경상북도 칠곡군 동명면,경상북도 칠곡군 가산면,경상북도 칠곡군 약목면,경상북도 칠곡군 기산면
2020년05월_계_총인구수,"115,658","33,698","23,706","31,512","4,339","5,482","3,498","10,124","3,299"
2020년05월_계_연령구간인구수,"115,658","33,698","23,706","31,512","4,339","5,482","3,498","10,124","3,299"
2020년05월_계_0~9세,"9,983","2,440","1,929","4,704",87,147,73,370,233
2020년05월_계_10~19세,"11,665","3,461","3,152","3,668",136,172,138,756,182
2020년05월_계_20~29세,"12,413","3,962","2,849","3,183",322,458,264,"1,130",245
2020년05월_계_30~39세,"15,851","3,598","2,495","7,743",291,375,238,776,335
2020년05월_계_40~49세,"20,653","5,623","5,076","6,722",400,534,368,"1,501",429
2020년05월_계_50~59세,"19,443","6,298","4,557","2,874",871,"1,191",755,"2,304",593
2020년05월_계_60~69세,"13,130","4,233","2,048","1,491","1,002","1,303",832,"1,624",597
2020년05월_계_70~79세,"7,567","2,419","1,027",725,704,757,520,"1,026",389
2020년05월_계_80~89세,"4,300","1,446",511,350,460,457,256,563,257
2020년05월_계_90~99세,612,197,61,47,62,88,51,70,36
2020년05월_계_100세 이상,41,21,1,5,4,0,3,4,3
2020년05월_남_총인구수,"60,357","16,898","12,420","17,010","2,324","2,814","1,918","5,239","1,734"
2020년05월_남_연령구간인구수,"60,357","16,898","12,420","17,010","2,324","2,814","1,918","5,239","1,734"
2020년05월_남_0~9세,"5,151","1,252","1,011","2,419",39,76,36,189,129
2020년05월_남_10~19세,"6,169","1,800","1,670","1,939",75,96,68,412,109
2020년05월_남_20~29세,"6,962","2,269","1,651","1,585",192,278,171,668,148
2020년05월_남_30~39세,"8,707","1,906","1,278","4,336",180,224,156,455,172
2020년05월_남_40~49세,"11,185","2,849","2,577","3,860",270,340,233,799,257
2020년05월_남_50~59세,"10,578","3,223","2,535","1,705",525,596,439,"1,232",323
2020년05월_남_60~69세,"6,801","2,104","1,073",730,569,700,454,845,326
2020년05월_남_70~79세,"3,250",967,440,316,304,363,254,433,173
2020년05월_남_80~89세,"1,409",473,169,107,159,133,90,190,88
2020년05월_남_90~99세,138,52,16,12,11,8,16,15,8
2020년05월_남_100세 이상,7,3,0,1,0,0,1,1,1
2020년05월_여_총인구수,"55,301","16,800","11,286","14,502","2,015","2,668","1,580","4,885","1,565"
2020년05월_여_연령구간인구수,"55,301","16,800","11,286","14,502","2,015","2,668","1,580","4,885","1,565"
2020년05월_여_0~9세,"4,832","1,188",918,"2,285",48,71,37,181,104
2020년05월_여_10~19세,"5,496","1,661","1,482","1,729",61,76,70,344,73
2020년05월_여_20~29세,"5,451","1,693","1,198","1,598",130,180,93,462,97
2020년05월_여_30~39세,"7,144","1,692","1,217","3,407",111,151,82,321,163
2020년05월_여_40~49세,"9,468","2,774","2,499","2,862",130,194,135,702,172
2020년05월_여_50~59세,"8,865","3,075","2,022","1,169",346,595,316,"1,072",270
2020년05월_여_60~69세,"6,329","2,129",975,761,433,603,378,779,271
2020년05월_여_70~79세,"4,317","1,452",587,409,400,394,266,593,216
2020년05월_여_80~89세,"2,891",973,342,243,301,324,166,373,169
2020년05월_여_90~99세,474,145,45,35,51,80,35,55,28
2020년05월_여_100세 이상,34,18,1,4,4,0,2,3,2
