카테고리,강원도 양구군,강원도 양구군 양구읍,강원도 양구군 남면,강원도 양구군 동면,강원도 양구군 방산면,강원도 양구군 해안면
2020년08월_계_총인구수,"22,329","14,277","3,353","2,028","1,345","1,326"
2020년08월_계_연령구간인구수,"22,329","14,277","3,353","2,028","1,345","1,326"
2020년08월_계_0~9세,"1,767","1,491",118,70,49,39
2020년08월_계_10~19세,"2,100","1,662",188,95,68,87
2020년08월_계_20~29세,"3,099","1,840",418,443,281,117
2020년08월_계_30~39세,"2,597","2,016",244,134,111,92
2020년08월_계_40~49세,"2,567","1,875",304,160,84,144
2020년08월_계_50~59세,"3,570","2,052",662,352,213,291
2020년08월_계_60~69세,"3,312","1,766",675,345,265,261
2020년08월_계_70~79세,"2,037",954,461,271,164,187
2020년08월_계_80~89세,"1,122",548,246,134,100,94
2020년08월_계_90~99세,144,62,34,24,10,14
2020년08월_계_100세 이상,14,11,3,0,0,0
2020년08월_남_총인구수,"11,816","7,327","1,822","1,160",794,713
2020년08월_남_연령구간인구수,"11,816","7,327","1,822","1,160",794,713
2020년08월_남_0~9세,897,751,62,34,25,25
2020년08월_남_10~19세,"1,063",827,101,45,41,49
2020년08월_남_20~29세,"2,060","1,099",312,342,235,72
2020년08월_남_30~39세,"1,444","1,085",146,91,71,51
2020년08월_남_40~49세,"1,397",994,179,89,49,86
2020년08월_남_50~59세,"1,893","1,052",370,188,123,160
2020년08월_남_60~69세,"1,760",918,360,193,144,145
2020년08월_남_70~79세,881,400,200,121,70,90
2020년08월_남_80~89세,378,178,83,50,34,33
2020년08월_남_90~99세,37,18,8,7,2,2
2020년08월_남_100세 이상,6,5,1,0,0,0
2020년08월_여_총인구수,"10,513","6,950","1,531",868,551,613
2020년08월_여_연령구간인구수,"10,513","6,950","1,531",868,551,613
2020년08월_여_0~9세,870,740,56,36,24,14
2020년08월_여_10~19세,"1,037",835,87,50,27,38
2020년08월_여_20~29세,"1,039",741,106,101,46,45
2020년08월_여_30~39세,"1,153",931,98,43,40,41
2020년08월_여_40~49세,"1,170",881,125,71,35,58
2020년08월_여_50~59세,"1,677","1,000",292,164,90,131
2020년08월_여_60~69세,"1,552",848,315,152,121,116
2020년08월_여_70~79세,"1,156",554,261,150,94,97
2020년08월_여_80~89세,744,370,163,84,66,61
2020년08월_여_90~99세,107,44,26,17,8,12
2020년08월_여_100세 이상,8,6,2,0,0,0
