,충청남도 금산군,충청남도 금산군 금산읍,충청남도 금산군 금성면,충청남도 금산군 제원면,충청남도 금산군 부리면,충청남도 금산군 군북면,충청남도 금산군 남일면,충청남도 금산군 남이면,충청남도 금산군 진산면,충청남도 금산군 복수면,충청남도 금산군 추부면
2021년04월_계_총인구수,"50,950","22,553","3,302","2,796","2,477","2,510","2,887","2,131","3,219","3,036","6,039"
2021년04월_계_연령구간인구수,"50,950","22,553","3,302","2,796","2,477","2,510","2,887","2,131","3,219","3,036","6,039"
2021년04월_계_0~9세,"2,470","1,597",88,75,67,121,82,55,74,74,237
2021년04월_계_10~19세,"4,264","2,448",152,102,74,138,421,156,211,145,417
2021년04월_계_20~29세,"3,907","2,153",204,182,100,125,159,106,191,196,491
2021년04월_계_30~39세,"3,578","2,039",193,141,115,143,123,74,144,184,422
2021년04월_계_40~49세,"6,116","3,495",296,237,175,249,247,160,294,292,671
2021년04월_계_50~59세,"8,869","3,713",599,480,413,411,417,425,630,561,"1,220"
2021년04월_계_60~69세,"10,125","3,464",765,727,640,597,598,493,723,760,"1,358"
2021년04월_계_70~79세,"6,788","2,348",547,466,455,409,448,360,562,486,707
2021년04월_계_80~89세,"4,264","1,158",383,341,385,282,355,269,352,288,451
2021년04월_계_90~99세,560,135,73,45,51,35,37,33,38,50,63
2021년04월_계_100세 이상,9,3,2,0,2,0,0,0,0,0,2
2021년04월_남_총인구수,"25,699","11,080","1,700","1,461","1,243","1,256","1,452","1,098","1,623","1,594","3,192"
2021년04월_남_연령구간인구수,"25,699","11,080","1,700","1,461","1,243","1,256","1,452","1,098","1,623","1,594","3,192"
2021년04월_남_0~9세,"1,256",787,56,42,31,60,47,26,43,36,128
2021년04월_남_10~19세,"2,220","1,251",83,65,35,69,203,84,119,85,226
2021년04월_남_20~29세,"2,234","1,205",128,113,57,72,98,70,96,111,284
2021년04월_남_30~39세,"1,886","1,027",109,84,72,77,60,34,71,92,260
2021년04월_남_40~49세,"3,363","1,812",167,152,117,141,148,95,171,179,381
2021년04월_남_50~59세,"4,926","1,913",352,278,260,243,248,248,368,334,682
2021년04월_남_60~69세,"5,170","1,660",391,383,323,317,315,276,378,401,726
2021년04월_남_70~79세,"3,102",989,261,227,214,183,210,166,260,249,343
2021년04월_남_80~89세,"1,415",409,135,106,123,87,113,94,109,94,145
2021년04월_남_90~99세,126,27,17,11,11,7,10,5,8,13,17
2021년04월_남_100세 이상,1,0,1,0,0,0,0,0,0,0,0
2021년04월_여_총인구수,"25,251","11,473","1,602","1,335","1,234","1,254","1,435","1,033","1,596","1,442","2,847"
2021년04월_여_연령구간인구수,"25,251","11,473","1,602","1,335","1,234","1,254","1,435","1,033","1,596","1,442","2,847"
2021년04월_여_0~9세,"1,214",810,32,33,36,61,35,29,31,38,109
2021년04월_여_10~19세,"2,044","1,197",69,37,39,69,218,72,92,60,191
2021년04월_여_20~29세,"1,673",948,76,69,43,53,61,36,95,85,207
2021년04월_여_30~39세,"1,692","1,012",84,57,43,66,63,40,73,92,162
2021년04월_여_40~49세,"2,753","1,683",129,85,58,108,99,65,123,113,290
2021년04월_여_50~59세,"3,943","1,800",247,202,153,168,169,177,262,227,538
2021년04월_여_60~69세,"4,955","1,804",374,344,317,280,283,217,345,359,632
2021년04월_여_70~79세,"3,686","1,359",286,239,241,226,238,194,302,237,364
2021년04월_여_80~89세,"2,849",749,248,235,262,195,242,175,243,194,306
2021년04월_여_90~99세,434,108,56,34,40,28,27,28,30,37,46
2021년04월_여_100세 이상,8,3,1,0,2,0,0,0,0,0,2
