카테고리,경상북도 울진군,경상북도 울진군 울진읍,경상북도 울진군 평해읍,경상북도 울진군 북면,경상북도 울진군 북면하당출장소,경상북도 울진군 근남면,경상북도 울진군 기성면,경상북도 울진군 온정면,경상북도 울진군 죽변면,경상북도 울진군 후포면,경상북도 울진군 금강송면,경상북도 울진군 매화면
2020년04월_계_총인구수,"48,834","14,080","2,883","6,638",709,"2,769","2,604","1,766","6,505","7,548","1,277","2,055"
2020년04월_계_연령구간인구수,"48,834","14,080","2,883","6,638",709,"2,769","2,604","1,766","6,505","7,548","1,277","2,055"
2020년04월_계_0~9세,"2,949","1,137",66,761,6,120,58,46,307,374,24,50
2020년04월_계_10~19세,"3,874","1,696",249,471,30,133,101,67,420,576,41,90
2020년04월_계_20~29세,"4,489","1,527",184,743,45,201,185,116,703,647,40,98
2020년04월_계_30~39세,"4,418","1,466",160,"1,149",26,175,124,66,582,542,46,82
2020년04월_계_40~49세,"6,395","2,375",247,930,63,304,172,157,873,972,128,174
2020년04월_계_50~59세,"8,727","2,372",483,"1,055",152,516,476,281,"1,294","1,443",298,357
2020년04월_계_60~69세,"7,873","1,658",539,739,139,520,553,362,"1,121","1,524",294,424
2020년04월_계_70~79세,"5,721","1,077",526,458,127,412,457,354,734,971,228,377
2020년04월_계_80~89세,"3,773",655,365,288,109,330,399,280,417,428,159,343
2020년04월_계_90~99세,596,115,62,40,12,57,77,37,50,70,17,59
2020년04월_계_100세 이상,19,2,2,4,0,1,2,0,4,1,2,1
2020년04월_남_총인구수,"24,410","7,086","1,398","3,480",368,"1,378","1,223",858,"3,325","3,708",627,959
2020년04월_남_연령구간인구수,"24,410","7,086","1,398","3,480",368,"1,378","1,223",858,"3,325","3,708",627,959
2020년04월_남_0~9세,"1,495",603,39,371,4,67,27,19,142,189,11,23
2020년04월_남_10~19세,"2,107",890,179,254,14,66,46,41,233,313,24,47
2020년04월_남_20~29세,"2,642",859,103,439,27,132,129,66,428,380,23,56
2020년04월_남_30~39세,"2,408",758,98,628,18,96,74,46,327,281,30,52
2020년04월_남_40~49세,"3,536","1,198",139,540,45,182,97,88,513,549,68,117
2020년04월_남_50~59세,"4,683","1,271",265,590,100,285,264,155,669,729,159,196
2020년04월_남_60~69세,"3,846",806,241,367,76,271,267,184,572,694,160,208
2020년04월_남_70~79세,"2,456",457,208,211,49,160,195,160,322,437,98,159
2020년04월_남_80~89세,"1,147",228,118,78,34,110,115,91,110,125,45,93
2020년04월_남_90~99세,88,16,8,2,1,9,9,8,8,11,8,8
2020년04월_남_100세 이상,2,0,0,0,0,0,0,0,1,0,1,0
2020년04월_여_총인구수,"24,424","6,994","1,485","3,158",341,"1,391","1,381",908,"3,180","3,840",650,"1,096"
2020년04월_여_연령구간인구수,"24,424","6,994","1,485","3,158",341,"1,391","1,381",908,"3,180","3,840",650,"1,096"
2020년04월_여_0~9세,"1,454",534,27,390,2,53,31,27,165,185,13,27
2020년04월_여_10~19세,"1,767",806,70,217,16,67,55,26,187,263,17,43
2020년04월_여_20~29세,"1,847",668,81,304,18,69,56,50,275,267,17,42
2020년04월_여_30~39세,"2,010",708,62,521,8,79,50,20,255,261,16,30
2020년04월_여_40~49세,"2,859","1,177",108,390,18,122,75,69,360,423,60,57
2020년04월_여_50~59세,"4,044","1,101",218,465,52,231,212,126,625,714,139,161
2020년04월_여_60~69세,"4,027",852,298,372,63,249,286,178,549,830,134,216
2020년04월_여_70~79세,"3,265",620,318,247,78,252,262,194,412,534,130,218
2020년04월_여_80~89세,"2,626",427,247,210,75,220,284,189,307,303,114,250
2020년04월_여_90~99세,508,99,54,38,11,48,68,29,42,59,9,51
2020년04월_여_100세 이상,17,2,2,4,0,1,2,0,3,1,1,1
