,세종특별자치시,세종특별자치시 세종특별자치시
2020년06월_계_총인구수,"345,341","345,341"
2020년06월_계_연령구간인구수,"345,341","345,341"
2020년06월_계_0~9세,"47,105","47,105"
2020년06월_계_10~19세,"41,077","41,077"
2020년06월_계_20~29세,"36,098","36,098"
2020년06월_계_30~39세,"60,923","60,923"
2020년06월_계_40~49세,"66,382","66,382"
2020년06월_계_50~59세,"43,369","43,369"
2020년06월_계_60~69세,"28,419","28,419"
2020년06월_계_70~79세,"13,859","13,859"
2020년06월_계_80~89세,"6,908","6,908"
2020년06월_계_90~99세,"1,145","1,145"
2020년06월_계_100세 이상,56,56
2020년06월_남_총인구수,"172,234","172,234"
2020년06월_남_연령구간인구수,"172,234","172,234"
2020년06월_남_0~9세,"24,163","24,163"
2020년06월_남_10~19세,"20,599","20,599"
2020년06월_남_20~29세,"18,280","18,280"
2020년06월_남_30~39세,"29,634","29,634"
2020년06월_남_40~49세,"34,015","34,015"
2020년06월_남_50~59세,"22,519","22,519"
2020년06월_남_60~69세,"14,101","14,101"
2020년06월_남_70~79세,"6,331","6,331"
2020년06월_남_80~89세,"2,321","2,321"
2020년06월_남_90~99세,261,261
2020년06월_남_100세 이상,10,10
2020년06월_여_총인구수,"173,107","173,107"
2020년06월_여_연령구간인구수,"173,107","173,107"
2020년06월_여_0~9세,"22,942","22,942"
2020년06월_여_10~19세,"20,478","20,478"
2020년06월_여_20~29세,"17,818","17,818"
2020년06월_여_30~39세,"31,289","31,289"
2020년06월_여_40~49세,"32,367","32,367"
2020년06월_여_50~59세,"20,850","20,850"
2020년06월_여_60~69세,"14,318","14,318"
2020년06월_여_70~79세,"7,528","7,528"
2020년06월_여_80~89세,"4,587","4,587"
2020년06월_여_90~99세,884,884
2020년06월_여_100세 이상,46,46
