카테고리,부산광역시 중구,부산광역시 중구 중앙동,부산광역시 중구 동광동,부산광역시 중구 대청동,부산광역시 중구 보수동,부산광역시 중구 부평동,부산광역시 중구 광복동,부산광역시 중구 남포동,부산광역시 중구 영주제1동,부산광역시 중구 영주제2동
2021년12월_계_총인구수,"40,524","2,937","2,675","6,252","10,521","4,511",974,915,"4,693","7,046"
2021년12월_계_연령구간인구수,"40,524","2,937","2,675","6,252","10,521","4,511",974,915,"4,693","7,046"
2021년12월_계_0~9세,"1,117",32,69,181,322,92,23,9,156,233
2021년12월_계_10~19세,"1,872",64,90,355,520,186,38,27,191,401
2021년12월_계_20~29세,"5,839",840,291,926,"1,510",553,92,55,836,736
2021년12월_계_30~39세,"4,477",632,231,637,"1,110",458,91,65,650,603
2021년12월_계_40~49세,"5,118",340,311,841,"1,378",546,103,95,630,874
2021년12월_계_50~59세,"6,722",365,469,"1,011","1,778",764,172,200,698,"1,265"
2021년12월_계_60~69세,"7,918",378,562,"1,189","2,043","1,005",248,269,779,"1,445"
2021년12월_계_70~79세,"4,962",182,429,749,"1,215",612,125,142,508,"1,000"
2021년12월_계_80~89세,"2,169",86,191,294,573,256,67,45,216,441
2021년12월_계_90~99세,323,18,32,68,70,37,14,7,29,48
2021년12월_계_100세 이상,7,0,0,1,2,2,1,1,0,0
2021년12월_남_총인구수,"19,755","1,405","1,361","2,926","5,084","2,144",496,529,"2,403","3,407"
2021년12월_남_연령구간인구수,"19,755","1,405","1,361","2,926","5,084","2,144",496,529,"2,403","3,407"
2021년12월_남_0~9세,590,16,33,95,163,52,15,6,84,126
2021년12월_남_10~19세,937,37,41,162,266,102,16,13,98,202
2021년12월_남_20~29세,"2,836",327,158,444,744,266,53,32,416,396
2021년12월_남_30~39세,"2,411",305,131,336,576,258,48,40,382,335
2021년12월_남_40~49세,"2,808",194,178,439,751,299,53,57,372,465
2021년12월_남_50~59세,"3,417",197,246,483,889,372,92,138,368,632
2021년12월_남_60~69세,"3,770",201,283,562,952,443,130,158,383,658
2021년12월_남_70~79세,"2,129",88,205,290,516,265,57,70,222,416
2021년12월_남_80~89세,777,38,78,102,208,82,26,11,69,163
2021년12월_남_90~99세,80,2,8,13,19,5,6,4,9,14
2021년12월_남_100세 이상,0,0,0,0,0,0,0,0,0,0
2021년12월_여_총인구수,"20,769","1,532","1,314","3,326","5,437","2,367",478,386,"2,290","3,639"
2021년12월_여_연령구간인구수,"20,769","1,532","1,314","3,326","5,437","2,367",478,386,"2,290","3,639"
2021년12월_여_0~9세,527,16,36,86,159,40,8,3,72,107
2021년12월_여_10~19세,935,27,49,193,254,84,22,14,93,199
2021년12월_여_20~29세,"3,003",513,133,482,766,287,39,23,420,340
2021년12월_여_30~39세,"2,066",327,100,301,534,200,43,25,268,268
2021년12월_여_40~49세,"2,310",146,133,402,627,247,50,38,258,409
2021년12월_여_50~59세,"3,305",168,223,528,889,392,80,62,330,633
2021년12월_여_60~69세,"4,148",177,279,627,"1,091",562,118,111,396,787
2021년12월_여_70~79세,"2,833",94,224,459,699,347,68,72,286,584
2021년12월_여_80~89세,"1,392",48,113,192,365,174,41,34,147,278
2021년12월_여_90~99세,243,16,24,55,51,32,8,3,20,34
2021년12월_여_100세 이상,7,0,0,1,2,2,1,1,0,0
