,충청남도 아산시,충청남도 아산시 염치읍,충청남도 아산시 배방읍,충청남도 아산시 송악면,충청남도 아산시 탕정면,충청남도 아산시 음봉면,충청남도 아산시 둔포면,충청남도 아산시 영인면,충청남도 아산시 인주면,충청남도 아산시 선장면,충청남도 아산시 도고면,충청남도 아산시 신창면,충청남도 아산시 온양1동,충청남도 아산시 온양2동,충청남도 아산시 온양3동,충청남도 아산시 온양4동,충청남도 아산시 온양5동,충청남도 아산시 온양6동
2021년08월_계_총인구수,"322,158","6,441","80,753","4,218","23,673","20,243","22,265","5,515","6,329","3,080","4,426","19,736","9,373","10,733","36,493","18,561","21,432","28,887"
2021년08월_계_연령구간인구수,"322,158","6,441","80,753","4,218","23,673","20,243","22,265","5,515","6,329","3,080","4,426","19,736","9,373","10,733","36,493","18,561","21,432","28,887"
2021년08월_계_0~9세,"31,908",328,"9,728",177,"3,093","2,470","2,480",135,282,59,104,"1,435",886,416,"3,718","1,439","2,040","3,118"
2021년08월_계_10~19세,"35,202",488,"9,722",362,"3,297","1,813","1,498",265,377,110,173,"2,053",721,771,"4,867","2,378","2,745","3,562"
2021년08월_계_20~29세,"37,427",544,"10,244",296,"3,063","2,115","2,440",423,516,171,342,"2,402","1,096","1,667","4,438","2,104","2,703","2,863"
2021년08월_계_30~39세,"48,347",587,"14,876",269,"4,236","3,507","4,705",400,592,182,292,"2,110","1,699","1,228","4,842","2,065","2,787","3,970"
2021년08월_계_40~49세,"57,703",886,"15,413",518,"5,150","3,539","3,711",552,909,245,394,"3,424","1,512","1,445","6,966","3,394","4,037","5,608"
2021년08월_계_50~59세,"47,557","1,124","10,604",751,"2,653","2,817","3,086",962,"1,202",510,824,"3,279","1,302","1,991","5,420","3,197","3,442","4,393"
2021년08월_계_60~69세,"34,276","1,194","5,993",859,"1,201","2,322","2,449","1,286","1,191",776,"1,021","2,563","1,157","1,721","3,450","2,169","2,017","2,907"
2021년08월_계_70~79세,"18,263",713,"2,705",567,600,"1,004","1,155",836,681,571,713,"1,535",654,964,"1,807","1,172","1,063","1,523"
2021년08월_계_80~89세,"10,041",507,"1,267",358,330,565,637,570,506,404,508,833,288,459,869,562,528,850
2021년08월_계_90~99세,"1,379",67,191,56,50,90,101,85,73,50,53,98,55,67,110,78,65,90
2021년08월_계_100세 이상,55,3,10,5,0,1,3,1,0,2,2,4,3,4,6,3,5,3
2021년08월_남_총인구수,"167,478","3,392","41,421","2,158","12,818","10,984","12,553","2,912","3,523","1,586","2,266","10,330","4,907","5,570","18,239","9,469","10,997","14,353"
2021년08월_남_연령구간인구수,"167,478","3,392","41,421","2,158","12,818","10,984","12,553","2,912","3,523","1,586","2,266","10,330","4,907","5,570","18,239","9,469","10,997","14,353"
2021년08월_남_0~9세,"16,385",169,"4,971",92,"1,589","1,228","1,298",64,148,33,48,745,441,201,"1,917",779,"1,096","1,566"
2021년08월_남_10~19세,"18,101",257,"4,995",190,"1,710",945,758,151,206,58,85,"1,030",389,407,"2,432","1,249","1,444","1,795"
2021년08월_남_20~29세,"20,884",333,"5,381",162,"1,772","1,344","1,481",263,326,93,198,"1,413",576,958,"2,353","1,199","1,530","1,502"
