,대구광역시 서구,대구광역시 서구 내당1동,대구광역시 서구 내당2.3동,대구광역시 서구 내당4동,대구광역시 서구 비산1동,대구광역시 서구 비산2.3동,대구광역시 서구 비산4동,대구광역시 서구 비산5동,대구광역시 서구 비산6동,대구광역시 서구 비산7동,대구광역시 서구 평리1동,대구광역시 서구 평리2동,대구광역시 서구 평리3동,대구광역시 서구 평리4동,대구광역시 서구 평리5동,대구광역시 서구 평리6동,대구광역시 서구 상중이동,대구광역시 서구 원대동
2020년09월_계_총인구수,"171,947","8,697","10,235","17,140","9,847","9,753","10,140","6,445","7,915","11,145","7,993","8,204","10,232","18,381","1,907","5,348","20,640","7,925"
2020년09월_계_연령구간인구수,"171,947","8,697","10,235","17,140","9,847","9,753","10,140","6,445","7,915","11,145","7,993","8,204","10,232","18,381","1,907","5,348","20,640","7,925"
2020년09월_계_0~9세,"7,745",330,329,765,309,298,395,198,224,395,298,638,357,"1,374",84,164,"1,310",277
2020년09월_계_10~19세,"11,136",521,555,"1,288",642,503,632,345,512,617,490,584,626,"1,249",111,344,"1,698",419
2020년09월_계_20~29세,"21,845","1,349","1,293","2,454","1,147","1,053","1,316",677,"1,048","1,344","1,037",929,"1,313","2,325",228,637,"2,711",984
2020년09월_계_30~39세,"17,785",950,966,"2,005",884,822,996,625,706,"1,058",752,994,"1,012","2,343",203,488,"2,258",723
2020년09월_계_40~49세,"23,202","1,093","1,325","2,290","1,354","1,171","1,334",792,"1,034","1,484","1,047","1,245","1,347","2,642",249,687,"3,028","1,080"
2020년09월_계_50~59세,"34,680","1,708","2,017","3,195","2,133","1,967","2,034","1,316","1,699","2,472","1,654","1,496","2,248","3,540",397,"1,181","3,991","1,632"
2020년09월_계_60~69세,"30,754","1,533","1,948","2,881","1,779","1,900","1,910","1,283","1,489","2,085","1,465","1,326","1,886","2,904",359,"1,092","3,451","1,463"
2020년09월_계_70~79세,"17,180",827,"1,248","1,571","1,120","1,375","1,032",831,816,"1,228",847,707,"1,017","1,388",204,513,"1,531",925
2020년09월_계_80~89세,"6,756",343,500,612,420,580,437,348,351,424,358,258,376,526,62,222,554,385
2020년09월_계_90~99세,764,33,47,77,51,66,43,29,29,34,39,26,47,86,4,20,96,37
2020년09월_계_100세 이상,100,10,7,2,8,18,11,1,7,4,6,1,3,4,6,0,12,0
2020년09월_남_총인구수,"86,202","4,298","5,000","8,292","5,033","4,856","4,991","3,293","3,897","5,916","4,058","4,008","5,170","9,113","1,001","2,838","10,395","4,043"
2020년09월_남_연령구간인구수,"86,202","4,298","5,000","8,292","5,033","4,856","4,991","3,293","3,897","5,916","4,058","4,008","5,170","9,113","1,001","2,838","10,395","4,043"
2020년09월_남_0~9세,"3,999",179,166,385,157,165,195,106,113,212,154,332,191,690,47,86,693,128
2020년09월_남_10~19세,"5,816",283,295,659,346,275,332,183,274,315,269,281,350,637,61,175,878,203
2020년09월_남_20~29세,"12,030",707,689,"1,319",652,578,711,366,572,793,604,489,704,"1,276",135,378,"1,493",564
2020년09월_남_30~39세,"10,064",534,571,"1,131",519,478,592,387,411,594,440,520,588,"1,233",109,306,"1,229",422
2020년09월_남_40~49세,"12,439",563,740,"1,116",774,672,712,439,515,883,585,647,741,"1,366",143,401,"1,529",613
2020년09월_남_50~59세,"17,410",806,"1,001","1,456","1,107","1,030",968,725,866,"1,387",857,717,"1,131","1,718",202,618,"1,973",848
2020년09월_남_60~69세,"14,422",710,868,"1,291",852,898,877,591,672,"1,024",677,613,902,"1,365",175,564,"1,649",694
2020년09월_남_70~79세,"7,538",384,495,707,467,552,448,364,346,560,345,312,436,644,98,229,732,419
2020년09월_남_80~89세,"2,318",122,164,207,150,195,149,123,121,142,118,92,119,171,30,75,196,144
2020년09월_남_90~99세,143,8,9,21,6,13,4,9,5,5,6,4,8,13,0,6,18,8
2020년09월_남_100세 이상,23,2,2,0,3,0,3,0,2,1,3,1,0,0,1,0,5,0
2020년09월_여_총인구수,"85,745","4,399","5,235","8,848","4,814","4,897","5,149","3,152","4,018","5,229","3,935","4,196","5,062","9,268",906,"2,510","10,245","3,882"
2020년09월_여_연령구간인구수,"85,745","4,399","5,235","8,848","4,814","4,897","5,149","3,152","4,018","5,229","3,935","4,196","5,062","9,268",906,"2,510","10,245","3,882"
2020년09월_여_0~9세,"3,746",151,163,380,152,133,200,92,111,183,144,306,166,684,37,78,617,149
2020년09월_여_10~19세,"5,320",238,260,629,296,228,300,162,238,302,221,303,276,612,50,169,820,216
2020년09월_여_20~29세,"9,815",642,604,"1,135",495,475,605,311,476,551,433,440,609,"1,049",93,259,"1,218",420
2020년09월_여_30~39세,"7,721",416,395,874,365,344,404,238,295,464,312,474,424,"1,110",94,182,"1,029",301
2020년09월_여_40~49세,"10,763",530,585,"1,174",580,499,622,353,519,601,462,598,606,"1,276",106,286,"1,499",467
2020년09월_여_50~59세,"17,270",902,"1,016","1,739","1,026",937,"1,066",591,833,"1,085",797,779,"1,117","1,822",195,563,"2,018",784
2020년09월_여_60~69세,"16,332",823,"1,080","1,590",927,"1,002","1,033",692,817,"1,061",788,713,984,"1,539",184,528,"1,802",769
2020년09월_여_70~79세,"9,642",443,753,864,653,823,584,467,470,668,502,395,581,744,106,284,799,506
2020년09월_여_80~89세,"4,438",221,336,405,270,385,288,225,230,282,240,166,257,355,32,147,358,241
2020년09월_여_90~99세,621,25,38,56,45,53,39,20,24,29,33,22,39,73,4,14,78,29
2020년09월_여_100세 이상,77,8,5,2,5,18,8,1,5,3,3,0,3,4,5,0,7,0
