,전라북도 진안군,전라북도 진안군 진안읍,전라북도 진안군 용담면,전라북도 진안군 안천면,전라북도 진안군 동향면,전라북도 진안군 상전면,전라북도 진안군 백운면,전라북도 진안군 성수면,전라북도 진안군 마령면,전라북도 진안군 부귀면,전라북도 진안군 정천면,전라북도 진안군 주천면
2021년12월_계_총인구수,"24,987","9,974",840,"1,068","1,356",849,"1,950","1,757","1,818","2,834","1,049","1,492"
2021년12월_계_연령구간인구수,"24,987","9,974",840,"1,068","1,356",849,"1,950","1,757","1,818","2,834","1,049","1,492"
2021년12월_계_0~9세,"1,147",632,16,36,37,32,81,67,54,113,48,31
2021년12월_계_10~19세,"1,619",842,24,75,86,38,78,74,81,208,57,56
2021년12월_계_20~29세,"1,810",899,31,60,69,41,142,122,126,178,62,80
2021년12월_계_30~39세,"1,507",766,23,42,49,52,103,95,79,179,75,44
2021년12월_계_40~49세,"2,536","1,262",64,83,105,72,182,155,137,273,88,115
2021년12월_계_50~59세,"4,420","1,683",170,189,246,157,345,288,335,556,183,268
2021년12월_계_60~69세,"5,215","1,710",246,248,320,211,438,412,376,644,250,360
2021년12월_계_70~79세,"3,729","1,222",165,174,239,131,310,304,351,400,138,295
2021년12월_계_80~89세,"2,610",848,87,137,176,105,227,208,241,239,130,212
2021년12월_계_90~99세,386,109,13,24,29,10,42,31,37,43,17,31
2021년12월_계_100세 이상,8,1,1,0,0,0,2,1,1,1,1,0
2021년12월_남_총인구수,"12,667","5,042",419,515,646,434,"1,017",890,923,"1,468",555,758
2021년12월_남_연령구간인구수,"12,667","5,042",419,515,646,434,"1,017",890,923,"1,468",555,758
2021년12월_남_0~9세,562,306,6,16,12,14,44,31,33,56,27,17
2021년12월_남_10~19세,867,440,13,36,49,16,44,41,44,114,38,32
2021년12월_남_20~29세,"1,032",508,15,39,35,25,84,66,65,107,42,46
2021년12월_남_30~39세,743,361,13,18,19,28,63,43,38,93,41,26
2021년12월_남_40~49세,"1,475",715,41,43,56,44,112,100,87,154,51,72
2021년12월_남_50~59세,"2,489",940,93,98,138,89,193,169,199,318,99,153
2021년12월_남_60~69세,"2,799",900,126,134,173,116,240,231,197,346,135,201
2021년12월_남_70~79세,"1,737",561,79,78,110,64,145,144,164,198,69,125
2021년12월_남_80~89세,884,289,31,48,48,36,84,60,87,74,49,78
2021년12월_남_90~99세,79,22,2,5,6,2,8,5,9,8,4,8
2021년12월_남_100세 이상,0,0,0,0,0,0,0,0,0,0,0,0
2021년12월_여_총인구수,"12,320","4,932",421,553,710,415,933,867,895,"1,366",494,734
2021년12월_여_연령구간인구수,"12,320","4,932",421,553,710,415,933,867,895,"1,366",494,734
2021년12월_여_0~9세,585,326,10,20,25,18,37,36,21,57,21,14
2021년12월_여_10~19세,752,402,11,39,37,22,34,33,37,94,19,24
2021년12월_여_20~29세,778,391,16,21,34,16,58,56,61,71,20,34
2021년12월_여_30~39세,764,405,10,24,30,24,40,52,41,86,34,18
2021년12월_여_40~49세,"1,061",547,23,40,49,28,70,55,50,119,37,43
2021년12월_여_50~59세,"1,931",743,77,91,108,68,152,119,136,238,84,115
2021년12월_여_60~69세,"2,416",810,120,114,147,95,198,181,179,298,115,159
2021년12월_여_70~79세,"1,992",661,86,96,129,67,165,160,187,202,69,170
2021년12월_여_80~89세,"1,726",559,56,89,128,69,143,148,154,165,81,134
2021년12월_여_90~99세,307,87,11,19,23,8,34,26,28,35,13,23
2021년12월_여_100세 이상,8,1,1,0,0,0,2,1,1,1,1,0
