카테고리,충청북도 보은군,충청북도 보은군 보은읍,충청북도 보은군 속리산면,충청북도 보은군 장안면,충청북도 보은군 마로면,충청북도 보은군 탄부면,충청북도 보은군 삼승면,충청북도 보은군 수한면,충청북도 보은군 회남면,충청북도 보은군 회인면,충청북도 보은군 내북면,충청북도 보은군 산외면
2020년02월_계_총인구수,"32,840","14,926","1,942","1,518","2,257","1,703","2,378","1,962",780,"1,825","1,734","1,815"
2020년02월_계_연령구간인구수,"32,840","14,926","1,942","1,518","2,257","1,703","2,378","1,962",780,"1,825","1,734","1,815"
2020년02월_계_0~9세,"1,561","1,025",40,88,54,30,72,69,31,62,41,49
2020년02월_계_10~19세,"2,198","1,366",92,77,98,64,163,89,23,69,75,82
2020년02월_계_20~29세,"2,492","1,436",128,126,108,80,143,110,34,103,111,113
2020년02월_계_30~39세,"2,362","1,359",90,155,98,81,180,113,29,69,94,94
2020년02월_계_40~49세,"3,481","1,955",184,175,179,126,212,172,59,136,130,153
2020년02월_계_50~59세,"6,040","2,709",401,248,410,270,425,365,145,347,348,372
2020년02월_계_60~69세,"6,527","2,414",469,260,546,408,500,469,233,435,380,413
2020년02월_계_70~79세,"4,607","1,553",344,215,436,352,379,303,133,312,296,284
2020년02월_계_80~89세,"3,075",965,152,143,286,261,283,223,83,254,211,214
2020년02월_계_90~99세,473,135,39,29,41,29,19,48,10,37,47,39
2020년02월_계_100세 이상,24,9,3,2,1,2,2,1,0,1,1,2
2020년02월_남_총인구수,"16,521","7,449",995,786,"1,100",826,"1,208",981,409,916,889,962
2020년02월_남_연령구간인구수,"16,521","7,449",995,786,"1,100",826,"1,208",981,409,916,889,962
2020년02월_남_0~9세,810,523,21,44,26,20,35,33,20,30,25,33
2020년02월_남_10~19세,"1,170",737,43,31,54,35,86,47,12,38,41,46
2020년02월_남_20~29세,"1,437",806,78,81,60,48,95,62,13,60,62,72
2020년02월_남_30~39세,"1,310",692,59,103,57,48,119,65,14,38,58,57
2020년02월_남_40~49세,"1,944","1,026",113,104,112,73,130,100,36,93,72,85
2020년02월_남_50~59세,"3,320","1,442",213,143,226,158,227,206,87,201,212,205
2020년02월_남_60~69세,"3,329","1,183",252,126,267,188,260,252,127,225,210,239
2020년02월_남_70~79세,"2,037",679,144,96,195,154,155,139,70,142,122,141
2020년02월_남_80~89세,"1,046",323,63,51,92,90,98,73,30,80,73,73
2020년02월_남_90~99세,117,38,8,7,11,12,3,4,0,9,14,11
2020년02월_남_100세 이상,1,0,1,0,0,0,0,0,0,0,0,0
2020년02월_여_총인구수,"16,319","7,477",947,732,"1,157",877,"1,170",981,371,909,845,853
2020년02월_여_연령구간인구수,"16,319","7,477",947,732,"1,157",877,"1,170",981,371,909,845,853
2020년02월_여_0~9세,751,502,19,44,28,10,37,36,11,32,16,16
2020년02월_여_10~19세,"1,028",629,49,46,44,29,77,42,11,31,34,36
2020년02월_여_20~29세,"1,055",630,50,45,48,32,48,48,21,43,49,41
2020년02월_여_30~39세,"1,052",667,31,52,41,33,61,48,15,31,36,37
2020년02월_여_40~49세,"1,537",929,71,71,67,53,82,72,23,43,58,68
2020년02월_여_50~59세,"2,720","1,267",188,105,184,112,198,159,58,146,136,167
2020년02월_여_60~69세,"3,198","1,231",217,134,279,220,240,217,106,210,170,174
2020년02월_여_70~79세,"2,570",874,200,119,241,198,224,164,63,170,174,143
2020년02월_여_80~89세,"2,029",642,89,92,194,171,185,150,53,174,138,141
2020년02월_여_90~99세,356,97,31,22,30,17,16,44,10,28,33,28
2020년02월_여_100세 이상,23,9,2,2,1,2,2,1,0,1,1,2
