,광주광역시 서구,광주광역시 서구 양동,광주광역시 서구 양3동,광주광역시 서구 농성1동,광주광역시 서구 농성2동,광주광역시 서구 광천동,광주광역시 서구 유덕동,광주광역시 서구 치평동,광주광역시 서구 상무1동,광주광역시 서구 상무2동,광주광역시 서구 화정1동,광주광역시 서구 화정2동,광주광역시 서구 화정3동,광주광역시 서구 화정4동,광주광역시 서구 서창동,광주광역시 서구 금호1동,광주광역시 서구 금호2동,광주광역시 서구 풍암동,광주광역시 서구 동천동
2020년04월_남_20~29세,"23,326",240,292,849,452,602,894,"2,676","2,355","2,140","1,344","1,413",901,"1,198",382,"1,664","2,143","2,767","1,014"
2020년04월_남_30~39세,"19,257",213,341,853,368,594,804,"2,187","1,935","1,677","1,218","1,550",608,904,341,"1,073","1,544","2,190",857
2020년04월_남_40~49세,"24,197",288,422,824,385,792,982,"2,298","2,061","1,720","1,218","1,782",713,"1,050",364,"1,404","2,657","3,592","1,645"
2020년04월_남_50~59세,"24,353",377,335,895,470,842,921,"2,615","1,954","2,028","1,111","1,480",833,"1,228",623,"1,855","2,505","3,070","1,211"
2020년04월_남_60~69세,"15,530",350,326,694,386,594,435,"1,262","1,180","1,576",806,"1,084",710,"1,191",467,"1,330","1,026","1,449",664
2020년04월_남_70~79세,"8,337",322,198,542,249,381,190,626,654,867,551,521,391,504,226,586,489,731,309
2020년04월_남_80~89세,"2,743",101,43,186,106,95,97,271,183,270,225,135,116,157,77,177,165,270,69
2020년04월_남_90~99세,258,9,7,14,7,18,8,22,14,26,22,11,10,17,9,17,16,25,6
2020년04월_남_100세 이상,9,2,0,1,0,2,0,1,0,1,0,0,0,0,0,0,1,1,0
2020년04월_여_총인구수,"152,895","2,104","2,466","5,658","2,542","4,367","5,306","16,004","12,619","12,420","8,278","10,579","5,384","8,307","2,670","10,971","15,102","19,366","8,752"
2020년04월_여_연령구간인구수,"152,895","2,104","2,466","5,658","2,542","4,367","5,306","16,004","12,619","12,420","8,278","10,579","5,384","8,307","2,670","10,971","15,102","19,366","8,752"
2020년04월_여_0~9세,"11,049",54,196,299,89,272,432,"1,141",883,595,447,"1,156",283,541,173,630,"1,348","1,631",879
2020년04월_여_10~19세,"15,646",80,176,321,125,337,632,"1,573","1,304",906,546,"1,005",506,752,187,"1,047","2,288","2,606","1,255"
2020년04월_여_20~29세,"22,041",197,245,869,440,552,777,"2,794","2,276","2,142","1,671","1,156",702,"1,018",290,"1,481","1,915","2,651",865
2020년04월_여_30~39세,"18,932",172,320,745,290,501,703,"2,262","1,738","1,427","1,188","1,667",553,893,291,"1,130","1,733","2,267","1,052"
2020년04월_여_40~49세,"25,949",194,334,766,307,609,992,"2,796","2,036","1,664","1,087","1,812",782,"1,259",324,"1,733","3,252","4,158","1,844"
2020년04월_여_50~59세,"25,416",343,375,864,468,806,791,"2,747","1,970","2,156","1,220","1,622",993,"1,575",520,"2,222","2,457","2,972","1,315"
2020년04월_여_60~69세,"17,479",417,422,828,402,652,461,"1,310","1,330","1,719","1,062","1,250",835,"1,326",415,"1,454","1,153","1,546",897
2020년04월_여_70~79세,"10,374",427,275,622,277,386,330,865,716,"1,157",652,602,466,585,248,760,616,964,426
2020년04월_여_80~89세,"5,033",185,104,287,122,205,158,459,303,549,341,247,213,300,173,451,277,479,180
2020년04월_여_90~99세,913,30,19,54,22,39,29,56,60,92,62,59,47,54,43,60,57,92,38
2020년04월_여_100세 이상,63,5,0,3,0,8,1,1,3,13,2,3,4,4,6,3,6,0,1
