카테고리,경기도 광명시,경기도 광명시 광명1동,경기도 광명시 광명2동,경기도 광명시 광명3동,경기도 광명시 광명4동,경기도 광명시 광명5동,경기도 광명시 광명6동,경기도 광명시 광명7동,경기도 광명시 철산1동,경기도 광명시 철산2동,경기도 광명시 철산3동,경기도 광명시 철산4동,경기도 광명시 하안1동,경기도 광명시 하안2동,경기도 광명시 하안3동,경기도 광명시 하안4동,경기도 광명시 소하1동,경기도 광명시 소하2동,경기도 광명시 일직동,경기도 광명시 학온동
2021년12월_계_총인구수,"292,893",149,"3,188","9,884","13,363","13,496","10,477","21,359","10,917","5,766","34,822","13,074","25,943","13,831","19,994","12,335","31,670","28,666","21,861","2,098"
2021년12월_계_연령구간인구수,"292,893",149,"3,188","9,884","13,363","13,496","10,477","21,359","10,917","5,766","34,822","13,074","25,943","13,831","19,994","12,335","31,670","28,666","21,861","2,098"
2021년12월_계_0~9세,"21,820",0,104,336,611,790,735,"1,604",828,184,"2,988",988,"2,105",911,"1,353",916,"2,785","1,831","2,696",55
2021년12월_계_10~19세,"29,533",4,204,629,883,"1,152","1,106","1,780","1,355",373,"4,422","1,131","3,145",996,"1,758","1,329","4,250","2,952","1,977",87
2021년12월_계_20~29세,"36,783",6,362,"1,224","1,701","1,667","1,223","2,711","1,460",854,"4,349","1,642","3,141","1,709","2,396","1,654","3,678","3,661","3,149",196
2021년12월_계_30~39세,"39,974",17,366,"1,200","1,761","1,624","1,199","3,197","1,479",728,"3,981","2,296","2,950","2,492","2,738","1,979","3,753","3,412","4,601",201
2021년12월_계_40~49세,"49,814",21,449,"1,356","1,870","2,162","1,742","3,306","1,954",787,"6,433","2,198","4,825","2,318","3,299","2,224","6,010","4,482","4,167",211
2021년12월_계_50~59세,"48,957",44,575,"1,853","2,327","2,271","1,783","3,495","1,850","1,208","5,874","2,137","4,449","2,196","3,325","2,053","4,978","5,004","3,132",403
2021년12월_계_60~69세,"39,425",40,627,"1,867","2,455","2,204","1,588","3,219","1,244",971,"4,253","1,640","3,312","1,764","2,676","1,316","3,836","4,288","1,601",524
2021년12월_계_70~79세,"17,625",13,352,962,"1,252","1,107",772,"1,427",504,415,"1,655",754,"1,343",826,"1,442",554,"1,607","2,061",354,225
2021년12월_계_80~89세,"7,816",2,137,414,447,463,302,535,218,215,751,255,576,526,874,275,653,858,148,167
2021년12월_계_90~99세,"1,113",2,12,41,55,56,27,84,25,30,115,30,92,91,124,35,118,113,35,28
2021년12월_계_100세 이상,33,0,0,2,1,0,0,1,0,1,1,3,5,2,9,0,2,4,1,1
2021년12월_남_총인구수,"144,384",82,"1,618","4,808","6,546","6,658","5,174","10,556","5,410","3,048","17,075","6,543","12,945","6,515","9,459","5,981","15,424","14,350","11,006","1,186"
2021년12월_남_연령구간인구수,"144,384",82,"1,618","4,808","6,546","6,658","5,174","10,556","5,410","3,048","17,075","6,543","12,945","6,515","9,459","5,981","15,424","14,350","11,006","1,186"
2021년12월_남_0~9세,"11,124",0,62,169,300,416,358,785,421,86,"1,484",517,"1,084",454,732,476,"1,420",934,"1,398",28
2021년12월_남_10~19세,"15,223",3,109,337,438,596,578,895,711,191,"2,307",585,"1,614",501,903,675,"2,184","1,543",996,57
2021년12월_남_20~29세,"19,149",4,201,644,882,909,627,"1,445",769,448,"2,257",877,"1,674",858,"1,206",841,"1,871","1,996","1,527",113
2021년12월_남_30~39세,"20,343",10,217,678,957,829,613,"1,632",755,427,"1,885","1,160","1,480","1,303","1,370","1,033","1,787","1,825","2,262",120
2021년12월_남_40~49세,"24,549",10,241,688,947,"1,105",852,"1,684",903,429,"3,029","1,099","2,349","1,156","1,622","1,025","2,872","2,266","2,138",134
2021년12월_남_50~59세,"24,371",30,294,893,"1,140","1,096",890,"1,695",914,664,"2,930","1,083","2,263","1,029","1,622",998,"2,456","2,513","1,623",238
2021년12월_남_60~69세,"18,745",17,284,829,"1,154","1,029",770,"1,530",620,523,"2,069",779,"1,640",717,"1,194",607,"1,839","2,019",829,296
2021년12월_남_70~79세,"7,986",6,160,409,561,501,366,678,232,191,806,356,639,337,533,227,756,925,183,120
2021년12월_남_80~89세,"2,656",1,46,156,154,166,114,194,80,82,286,81,184,142,251,93,212,299,40,75
2021년12월_남_90~99세,229,1,4,4,13,11,6,18,5,7,21,4,18,18,24,6,27,28,9,5
2021년12월_남_100세 이상,9,0,0,1,0,0,0,0,0,0,1,2,0,0,2,0,0,2,1,0
2021년12월_여_총인구수,"148,509",67,"1,570","5,076","6,817","6,838","5,303","10,803","5,507","2,718","17,747","6,531","12,998","7,316","10,535","6,354","16,246","14,316","10,855",912
2021년12월_여_연령구간인구수,"148,509",67,"1,570","5,076","6,817","6,838","5,303","10,803","5,507","2,718","17,747","6,531","12,998","7,316","10,535","6,354","16,246","14,316","10,855",912
2021년12월_여_0~9세,"10,696",0,42,167,311,374,377,819,407,98,"1,504",471,"1,021",457,621,440,"1,365",897,"1,298",27
2021년12월_여_10~19세,"14,310",1,95,292,445,556,528,885,644,182,"2,115",546,"1,531",495,855,654,"2,066","1,409",981,30
2021년12월_여_20~29세,"17,634",2,161,580,819,758,596,"1,266",691,406,"2,092",765,"1,467",851,"1,190",813,"1,807","1,665","1,622",83
2021년12월_여_30~39세,"19,631",7,149,522,804,795,586,"1,565",724,301,"2,096","1,136","1,470","1,189","1,368",946,"1,966","1,587","2,339",81
