,강원도 평창군,강원도 평창군 평창읍,강원도 평창군 미탄면,강원도 평창군 방림면,강원도 평창군 방림면계촌출장소,강원도 평창군 대화면,강원도 평창군 봉평면,강원도 평창군 용평면,강원도 평창군 진부면,강원도 평창군 대관령면
2021년01월_계_총인구수,"41,587","8,540","1,660",867,"1,669","5,299","5,733","3,095","8,735","5,989"
2021년01월_계_연령구간인구수,"41,587","8,540","1,660",867,"1,669","5,299","5,733","3,095","8,735","5,989"
2021년01월_계_0~9세,"1,852",414,35,22,52,220,285,116,414,294
2021년01월_계_10~19세,"2,879",724,78,39,68,318,429,205,654,364
2021년01월_계_20~29세,"3,390",767,108,51,95,405,415,215,746,588
2021년01월_계_30~39세,"3,076",672,64,43,89,319,466,157,634,632
2021년01월_계_40~49세,"5,312","1,086",190,72,146,639,776,385,"1,120",898
2021년01월_계_50~59세,"8,019","1,597",350,178,357,987,"1,142",672,"1,623","1,113"
2021년01월_계_60~69세,"8,929","1,706",428,239,477,"1,226","1,254",701,"1,799","1,099"
2021년01월_계_70~79세,"5,013",926,254,139,249,689,624,363,"1,117",652
2021년01월_계_80~89세,"2,706",553,126,73,113,433,312,249,536,311
2021년01월_계_90~99세,370,88,27,10,22,57,28,31,76,31
2021년01월_계_100세 이상,41,7,0,1,1,6,2,1,16,7
2021년01월_남_총인구수,"21,276","4,332",880,453,872,"2,688","2,992","1,548","4,395","3,116"
2021년01월_남_연령구간인구수,"21,276","4,332",880,453,872,"2,688","2,992","1,548","4,395","3,116"
2021년01월_남_0~9세,906,205,18,15,24,103,131,49,219,142
2021년01월_남_10~19세,"1,521",364,44,21,33,161,239,111,336,212
2021년01월_남_20~29세,"1,997",444,66,38,51,240,249,122,436,351
2021년01월_남_30~39세,"1,652",358,41,20,50,171,248,78,326,360
2021년01월_남_40~49세,"2,900",570,118,41,82,363,420,210,591,505
2021년01월_남_50~59세,"4,280",856,190,86,191,521,609,360,863,604
2021년01월_남_60~69세,"4,635",878,242,137,267,646,657,362,912,534
2021년01월_남_70~79세,"2,338",452,117,60,131,305,319,161,520,273
2021년01월_남_80~89세,963,190,41,34,41,163,114,86,171,123
2021년01월_남_90~99세,74,14,3,0,2,14,6,8,17,10
2021년01월_남_100세 이상,10,1,0,1,0,1,0,1,4,2
2021년01월_여_총인구수,"20,311","4,208",780,414,797,"2,611","2,741","1,547","4,340","2,873"
2021년01월_여_연령구간인구수,"20,311","4,208",780,414,797,"2,611","2,741","1,547","4,340","2,873"
2021년01월_여_0~9세,946,209,17,7,28,117,154,67,195,152
2021년01월_여_10~19세,"1,358",360,34,18,35,157,190,94,318,152
2021년01월_여_20~29세,"1,393",323,42,13,44,165,166,93,310,237
2021년01월_여_30~39세,"1,424",314,23,23,39,148,218,79,308,272
2021년01월_여_40~49세,"2,412",516,72,31,64,276,356,175,529,393
2021년01월_여_50~59세,"3,739",741,160,92,166,466,533,312,760,509
2021년01월_여_60~69세,"4,294",828,186,102,210,580,597,339,887,565
2021년01월_여_70~79세,"2,675",474,137,79,118,384,305,202,597,379
2021년01월_여_80~89세,"1,743",363,85,39,72,270,198,163,365,188
2021년01월_여_90~99세,296,74,24,10,20,43,22,23,59,21
2021년01월_여_100세 이상,31,6,0,0,1,5,2,0,12,5
