,부산광역시 동래구,부산광역시 동래구 수민동,부산광역시 동래구 복산동,부산광역시 동래구 명륜동,부산광역시 동래구 온천제1동,부산광역시 동래구 온천제2동,부산광역시 동래구 온천제3동,부산광역시 동래구 사직제1동,부산광역시 동래구 사직제2동,부산광역시 동래구 사직제3동,부산광역시 동래구 안락제1동,부산광역시 동래구 안락제2동,부산광역시 동래구 명장제1동,부산광역시 동래구 명장제2동
2020년07월_계_총인구수,"272,554","32,987","10,484","24,849","19,362","15,326","39,040","10,849","28,559","17,821","15,152","28,145","14,677","15,303"
2020년07월_계_연령구간인구수,"272,554","32,987","10,484","24,849","19,362","15,326","39,040","10,849","28,559","17,821","15,152","28,145","14,677","15,303"
2020년07월_계_0~9세,"20,038","2,686",385,"2,626","1,064",911,"2,615",841,"2,602","1,587",842,"2,004","1,011",864
2020년07월_계_10~19세,"25,197","2,818",672,"3,183","1,127","1,462","2,952","1,029","4,175","1,738","1,025","2,877","1,083","1,056"
2020년07월_계_20~29세,"33,343","4,049","1,176","2,552","2,909","1,785","5,666","1,332","3,268","1,881","1,782","3,299","1,705","1,939"
2020년07월_계_30~39세,"33,917","4,424",937,"3,172","3,180","1,502","5,455","1,418","2,931","2,106","1,758","3,243","1,858","1,933"
2020년07월_계_40~49세,"43,453","5,059","1,341","4,941","3,049","2,171","5,664","1,793","5,723","3,170","2,117","4,467","2,014","1,944"
2020년07월_계_50~59세,"44,955","5,377","1,858","3,604","3,024","2,567","6,676","1,704","4,690","2,633","2,635","4,900","2,511","2,776"
2020년07월_계_60~69세,"40,305","4,818","2,057","2,620","2,600","2,517","5,817","1,417","3,175","2,551","2,806","4,393","2,620","2,914"
2020년07월_계_70~79세,"22,120","2,669","1,370","1,489","1,633","1,601","3,000",915,"1,473","1,567","1,559","2,112","1,346","1,386"
2020년07월_계_80~89세,"8,011",949,586,563,654,695,"1,055",352,448,520,549,747,467,426
2020년07월_계_90~99세,"1,079",121,80,92,96,108,125,46,69,63,72,91,55,61
2020년07월_계_100세 이상,136,17,22,7,26,7,15,2,5,5,7,12,7,4
2020년07월_남_총인구수,"132,823","16,137","5,109","12,115","9,170","7,412","19,125","5,212","13,844","8,844","7,496","13,717","7,169","7,473"
2020년07월_남_연령구간인구수,"132,823","16,137","5,109","12,115","9,170","7,412","19,125","5,212","13,844","8,844","7,496","13,717","7,169","7,473"
2020년07월_남_0~9세,"10,363","1,377",199,"1,338",521,441,"1,356",428,"1,319",915,465,"1,032",527,445
2020년07월_남_10~19세,"13,188","1,527",360,"1,761",566,793,"1,545",473,"2,083",947,554,"1,486",526,567
2020년07월_남_20~29세,"17,501","2,167",644,"1,299","1,310",984,"2,907",711,"1,766",993,945,"1,803",906,"1,066"
2020년07월_남_30~39세,"17,032","2,227",523,"1,478","1,595",776,"2,782",713,"1,368","1,027",930,"1,634",949,"1,030"
2020년07월_남_40~49세,"21,154","2,491",700,"2,383","1,507","1,030","2,752",880,"2,616","1,599","1,110","2,104","1,034",948
2020년07월_남_50~59세,"21,333","2,503",900,"1,754","1,463","1,199","3,180",817,"2,317","1,292","1,231","2,300","1,148","1,229"
2020년07월_남_60~69세,"18,771","2,235",969,"1,199","1,212","1,158","2,733",629,"1,545","1,161","1,296","2,062","1,247","1,325"
2020년07월_남_70~79세,"10,193","1,217",582,673,715,731,"1,397",411,687,708,728,"1,004",646,694
2020년07월_남_80~89세,"3,023",353,213,212,254,273,438,143,131,193,218,268,170,157
2020년07월_남_90~99세,243,32,19,18,24,24,34,6,11,9,17,24,14,11
2020년07월_남_100세 이상,22,8,0,0,3,3,1,1,1,0,2,0,2,1
2020년07월_여_총인구수,"139,731","16,850","5,375","12,734","10,192","7,914","19,915","5,637","14,715","8,977","7,656","14,428","7,508","7,830"
2020년07월_여_연령구간인구수,"139,731","16,850","5,375","12,734","10,192","7,914","19,915","5,637","14,715","8,977","7,656","14,428","7,508","7,830"
2020년07월_여_0~9세,"9,675","1,309",186,"1,288",543,470,"1,259",413,"1,283",672,377,972,484,419
2020년07월_여_10~19세,"12,009","1,291",312,"1,422",561,669,"1,407",556,"2,092",791,471,"1,391",557,489
2020년07월_여_20~29세,"15,842","1,882",532,"1,253","1,599",801,"2,759",621,"1,502",888,837,"1,496",799,873
2020년07월_여_30~39세,"16,885","2,197",414,"1,694","1,585",726,"2,673",705,"1,563","1,079",828,"1,609",909,903
2020년07월_여_40~49세,"22,299","2,568",641,"2,558","1,542","1,141","2,912",913,"3,107","1,571","1,007","2,363",980,996
2020년07월_여_50~59세,"23,622","2,874",958,"1,850","1,561","1,368","3,496",887,"2,373","1,341","1,404","2,600","1,363","1,547"
2020년07월_여_60~69세,"21,534","2,583","1,088","1,421","1,388","1,359","3,084",788,"1,630","1,390","1,510","2,331","1,373","1,589"
2020년07월_여_70~79세,"11,927","1,452",788,816,918,870,"1,603",504,786,859,831,"1,108",700,692
2020년07월_여_80~89세,"4,988",596,373,351,400,422,617,209,317,327,331,479,297,269
2020년07월_여_90~99세,836,89,61,74,72,84,91,40,58,54,55,67,41,50
2020년07월_여_100세 이상,114,9,22,7,23,4,14,1,4,5,5,12,5,3
