,충청남도 당진시,충청남도 당진시 합덕읍,충청남도 당진시 송악읍,충청남도 당진시 고대면,충청남도 당진시 석문면,충청남도 당진시 대호지면,충청남도 당진시 정미면,충청남도 당진시 면천면,충청남도 당진시 순성면,충청남도 당진시 우강면,충청남도 당진시 신평면,충청남도 당진시 송산면,충청남도 당진시 당진1동,충청남도 당진시 당진2동,충청남도 당진시 당진3동
2020년06월_계_총인구수,"166,084","9,248","30,400","5,516","9,634","2,452","3,743","3,606","5,147","5,178","15,994","12,127","23,696","20,641","18,702"
2020년06월_계_연령구간인구수,"166,084","9,248","30,400","5,516","9,634","2,452","3,743","3,606","5,147","5,178","15,994","12,127","23,696","20,641","18,702"
2020년06월_계_0~9세,"16,030",361,"4,135",198,467,60,109,107,189,206,"1,581","1,280","2,537","2,514","2,286"
2020년06월_계_10~19세,"15,673",561,"2,535",289,494,100,200,192,334,357,"1,817","1,025","2,451","2,505","2,813"
2020년06월_계_20~29세,"16,219",747,"2,429",385,932,144,314,282,380,400,"1,487","1,088","3,325","2,167","2,139"
2020년06월_계_30~39세,"23,344",756,"5,790",339,"1,141",133,226,238,297,328,"1,816","2,092","4,361","3,100","2,727"
2020년06월_계_40~49세,"26,571","1,148","5,271",564,"1,346",226,338,382,568,583,"2,601","2,033","4,072","3,731","3,708"
2020년06월_계_50~59세,"25,756","1,593","4,405",979,"1,924",368,643,680,962,901,"2,541","1,808","3,253","3,007","2,692"
2020년06월_계_60~69세,"20,369","1,849","3,103","1,183","1,618",606,828,758,"1,027","1,022","1,983","1,313","1,986","1,891","1,202"
2020년06월_계_70~79세,"13,051","1,302","1,633",851,"1,018",479,611,542,770,796,"1,296",877,"1,135","1,052",689
2020년06월_계_80~89세,"7,900",802,967,627,608,300,408,360,529,513,763,536,504,597,386
2020년06월_계_90~99세,"1,102",114,125,98,81,33,64,63,86,70,101,71,71,66,59
2020년06월_계_100세 이상,69,15,7,3,5,3,2,2,5,2,8,4,1,11,1
2020년06월_남_총인구수,"88,015","4,877","16,838","2,798","5,586","1,227","1,919","1,853","2,599","2,614","8,155","6,895","12,540","10,488","9,626"
2020년06월_남_연령구간인구수,"88,015","4,877","16,838","2,798","5,586","1,227","1,919","1,853","2,599","2,614","8,155","6,895","12,540","10,488","9,626"
2020년06월_남_0~9세,"8,190",203,"2,144",101,240,35,48,53,94,99,777,647,"1,279","1,295","1,175"
2020년06월_남_10~19세,"8,211",310,"1,350",149,263,57,106,100,175,199,938,513,"1,262","1,291","1,498"
2020년06월_남_20~29세,"9,494",459,"1,401",223,626,87,192,172,222,230,858,715,"1,905","1,200","1,204"
2020년06월_남_30~39세,"13,231",451,"3,267",190,783,83,126,141,167,195,948,"1,333","2,551","1,588","1,408"
2020년06월_남_40~49세,"14,945",703,"3,225",327,914,139,198,238,332,332,"1,387","1,284","2,147","1,911","1,808"
2020년06월_남_50~59세,"14,433",907,"2,634",566,"1,176",184,353,368,530,489,"1,393","1,083","1,713","1,573","1,464"
2020년06월_남_60~69세,"10,317",898,"1,647",586,855,299,433,366,502,511,972,711,999,938,600
2020년06월_남_70~79세,"6,102",602,806,406,482,235,294,275,375,348,589,399,483,484,324
2020년06월_남_80~89세,"2,803",313,325,227,220,99,159,121,177,188,270,191,185,196,132
2020년06월_남_90~99세,275,29,39,23,25,8,10,17,24,22,21,19,16,10,12
2020년06월_남_100세 이상,14,2,0,0,2,1,0,2,1,1,2,0,0,2,1
2020년06월_여_총인구수,"78,069","4,371","13,562","2,718","4,048","1,225","1,824","1,753","2,548","2,564","7,839","5,232","11,156","10,153","9,076"
2020년06월_여_연령구간인구수,"78,069","4,371","13,562","2,718","4,048","1,225","1,824","1,753","2,548","2,564","7,839","5,232","11,156","10,153","9,076"
2020년06월_여_0~9세,"7,840",158,"1,991",97,227,25,61,54,95,107,804,633,"1,258","1,219","1,111"
2020년06월_여_10~19세,"7,462",251,"1,185",140,231,43,94,92,159,158,879,512,"1,189","1,214","1,315"
2020년06월_여_20~29세,"6,725",288,"1,028",162,306,57,122,110,158,170,629,373,"1,420",967,935
2020년06월_여_30~39세,"10,113",305,"2,523",149,358,50,100,97,130,133,868,759,"1,810","1,512","1,319"
2020년06월_여_40~49세,"11,626",445,"2,046",237,432,87,140,144,236,251,"1,214",749,"1,925","1,820","1,900"
2020년06월_여_50~59세,"11,323",686,"1,771",413,748,184,290,312,432,412,"1,148",725,"1,540","1,434","1,228"
2020년06월_여_60~69세,"10,052",951,"1,456",597,763,307,395,392,525,511,"1,011",602,987,953,602
2020년06월_여_70~79세,"6,949",700,827,445,536,244,317,267,395,448,707,478,652,568,365
2020년06월_여_80~89세,"5,097",489,642,400,388,201,249,239,352,325,493,345,319,401,254
2020년06월_여_90~99세,827,85,86,75,56,25,54,46,62,48,80,52,55,56,47
2020년06월_여_100세 이상,55,13,7,3,3,2,2,0,4,1,6,4,1,9,0
