카테고리,부산광역시 연제구,부산광역시 연제구 거제제1동,부산광역시 연제구 거제제2동,부산광역시 연제구 거제제3동,부산광역시 연제구 거제제4동,부산광역시 연제구 연산제1동,부산광역시 연제구 연산제2동,부산광역시 연제구 연산제3동,부산광역시 연제구 연산제4동,부산광역시 연제구 연산제5동,부산광역시 연제구 연산제6동,부산광역시 연제구 연산제8동,부산광역시 연제구 연산제9동
2021년04월_계_총인구수,"206,979","29,531","12,457","10,061","10,644","16,265","20,929","7,332","16,479","16,424","16,783","14,334","35,740"
2021년04월_계_연령구간인구수,"206,979","29,531","12,457","10,061","10,644","16,265","20,929","7,332","16,479","16,424","16,783","14,334","35,740"
2021년04월_계_0~9세,"14,271","2,521","1,072",468,714,"1,205","1,966",217,695,744,"1,029","1,218","2,422"
2021년04월_계_10~19세,"16,329","3,561","1,565",686,972,"1,233","1,319",378,903,676,"1,007","1,122","2,907"
2021년04월_계_20~29세,"25,596","3,215","1,317","1,130","1,234","1,803","2,513",801,"2,335","3,401","1,812","1,564","4,471"
2021년04월_계_30~39세,"26,474","3,028","1,250","1,069","1,126","2,109","3,586",725,"1,969","3,084","2,279","1,844","4,405"
2021년04월_계_40~49세,"31,567","5,522","2,336","1,325","1,631","2,485","3,072",918,"2,220","2,314","2,247","2,220","5,277"
2021년04월_계_50~59세,"33,695","4,757","1,967","1,634","1,844","2,600","3,118","1,293","2,746","2,342","2,616","2,437","6,341"
2021년04월_계_60~69세,"32,840","3,662","1,653","1,828","1,782","2,802","2,892","1,574","3,172","2,166","3,050","2,311","5,948"
2021년04월_계_70~79세,"18,206","2,262",904,"1,240",908,"1,456","1,689","1,018","1,727","1,217","1,871","1,182","2,732"
2021년04월_계_80~89세,"7,142",898,361,607,378,523,676,371,634,450,786,384,"1,074"
2021년04월_계_90~99세,818,100,30,74,54,46,90,36,77,28,84,44,155
2021년04월_계_100세 이상,41,5,2,0,1,3,8,1,1,2,2,8,8
2021년04월_남_총인구수,"99,693","14,260","5,956","4,761","5,248","7,962","10,040","3,506","7,905","7,825","8,111","7,003","17,116"
2021년04월_남_연령구간인구수,"99,693","14,260","5,956","4,761","5,248","7,962","10,040","3,506","7,905","7,825","8,111","7,003","17,116"
2021년04월_남_0~9세,"7,228","1,315",502,252,365,626,988,114,326,374,523,631,"1,212"
2021년04월_남_10~19세,"8,397","1,859",760,364,528,664,644,189,461,357,522,571,"1,478"
2021년04월_남_20~29세,"12,979","1,693",686,545,681,968,"1,268",417,"1,105","1,417",983,838,"2,378"
2021년04월_남_30~39세,"13,275","1,421",601,540,608,"1,079","1,754",397,"1,017","1,558","1,176",899,"2,225"
2021년04월_남_40~49세,"15,457","2,557","1,098",669,769,"1,226","1,522",457,"1,132","1,201","1,188","1,125","2,513"
2021년04월_남_50~59세,"15,959","2,337",965,774,877,"1,195","1,471",609,"1,336","1,135","1,258","1,173","2,829"
2021년04월_남_60~69세,"15,101","1,675",786,815,845,"1,293","1,313",723,"1,442","1,022","1,332","1,074","2,781"
2021년04월_남_70~79세,"8,322",985,415,547,425,680,799,451,809,562,820,551,"1,278"
2021년04월_남_80~89세,"2,777",390,136,230,141,215,257,140,254,195,290,134,395
2021년04월_남_90~99세,187,27,6,25,8,15,21,9,22,4,19,5,26
2021년04월_남_100세 이상,11,1,1,0,1,1,3,0,1,0,0,2,1
2021년04월_여_총인구수,"107,286","15,271","6,501","5,300","5,396","8,303","10,889","3,826","8,574","8,599","8,672","7,331","18,624"
2021년04월_여_연령구간인구수,"107,286","15,271","6,501","5,300","5,396","8,303","10,889","3,826","8,574","8,599","8,672","7,331","18,624"
2021년04월_여_0~9세,"7,043","1,206",570,216,349,579,978,103,369,370,506,587,"1,210"
2021년04월_여_10~19세,"7,932","1,702",805,322,444,569,675,189,442,319,485,551,"1,429"
2021년04월_여_20~29세,"12,617","1,522",631,585,553,835,"1,245",384,"1,230","1,984",829,726,"2,093"
2021년04월_여_30~39세,"13,199","1,607",649,529,518,"1,030","1,832",328,952,"1,526","1,103",945,"2,180"
2021년04월_여_40~49세,"16,110","2,965","1,238",656,862,"1,259","1,550",461,"1,088","1,113","1,059","1,095","2,764"
2021년04월_여_50~59세,"17,736","2,420","1,002",860,967,"1,405","1,647",684,"1,410","1,207","1,358","1,264","3,512"
2021년04월_여_60~69세,"17,739","1,987",867,"1,013",937,"1,509","1,579",851,"1,730","1,144","1,718","1,237","3,167"
2021년04월_여_70~79세,"9,884","1,277",489,693,483,776,890,567,918,655,"1,051",631,"1,454"
2021년04월_여_80~89세,"4,365",508,225,377,237,308,419,231,380,255,496,250,679
2021년04월_여_90~99세,631,73,24,49,46,31,69,27,55,24,65,39,129
2021년04월_여_100세 이상,30,4,1,0,0,2,5,1,0,2,2,6,7
