카테고리,전라남도 목포시,전라남도 목포시 용당1동,전라남도 목포시 용당2동,전라남도 목포시 연동,전라남도 목포시 산정동,전라남도 목포시 연산동,전라남도 목포시 원산동,전라남도 목포시 대성동,전라남도 목포시 목원동,전라남도 목포시 동명동,전라남도 목포시 삼학동,전라남도 목포시 만호동,전라남도 목포시 유달동,전라남도 목포시 죽교동,전라남도 목포시 북항동,전라남도 목포시 용해동,전라남도 목포시 이로동,전라남도 목포시 상동,전라남도 목포시 하당동,전라남도 목포시 신흥동,전라남도 목포시 삼향동,전라남도 목포시 옥암동,전라남도 목포시 부흥동,전라남도 목포시 부주동
2021년07월_계_총인구수,"220,379","10,396","5,086","4,683","9,391","10,343","12,681","4,999","7,536","5,334","5,975","2,805","4,103","3,113","9,187","16,814","10,751","21,279","11,796","16,412","4,754","11,408","8,354","23,179"
2021년07월_계_연령구간인구수,"220,379","10,396","5,086","4,683","9,391","10,343","12,681","4,999","7,536","5,334","5,975","2,805","4,103","3,113","9,187","16,814","10,751","21,279","11,796","16,412","4,754","11,408","8,354","23,179"
2021년07월_계_0~9세,"17,045",422,205,145,652,"1,461",884,464,192,176,384,51,126,129,643,"1,614",955,"1,806",763,"1,211",366,"1,100",639,"2,657"
2021년07월_계_10~19세,"23,963",700,312,309,"1,021","1,242","1,430",451,398,315,588,120,201,216,974,"2,401","1,432","2,368","1,118","1,812",504,"1,569",837,"3,645"
2021년07월_계_20~29세,"26,721","1,036",502,401,"1,147","1,242","1,702",517,698,507,673,189,434,299,"1,080","1,755","1,170","2,510","2,199","2,563",541,"1,462","1,207","2,887"
2021년07월_계_30~39세,"24,337",923,420,361,992,"1,794","1,299",651,567,404,572,184,263,244,925,"1,906","1,116","2,467","1,539","1,892",517,"1,405","1,007","2,889"
2021년07월_계_40~49세,"36,529","1,353",665,617,"1,458","1,867","2,102",806,948,685,926,375,477,410,"1,470","3,189","1,897","3,533","2,020","2,644",801,"2,106","1,364","4,816"
2021년07월_계_50~59세,"36,002","1,724",830,801,"1,599","1,273","2,284",785,"1,316",860,916,498,660,506,"1,593","2,484","1,585","3,452","1,988","3,042",763,"1,867","1,594","3,582"
2021년07월_계_60~69세,"29,649","2,082","1,070",881,"1,348",852,"1,643",684,"1,507","1,061",992,656,835,572,"1,384","1,849","1,426","2,887","1,297","2,038",675,"1,118","1,007","1,785"
2021년07월_계_70~79세,"17,683","1,493",790,769,780,423,909,418,"1,287",937,657,500,714,498,766,"1,067",765,"1,517",584,785,383,525,458,658
2021년07월_계_80~89세,"7,436",584,246,350,342,165,391,208,528,346,245,207,355,215,324,488,355,639,248,375,175,224,212,214
2021년07월_계_90~99세,974,77,45,45,50,24,37,13,89,41,22,24,36,24,28,58,45,97,37,48,29,32,29,44
2021년07월_계_100세 이상,40,2,1,4,2,0,0,2,6,2,0,1,2,0,0,3,5,3,3,2,0,0,0,2
2021년07월_남_총인구수,"109,762","5,222","2,555","2,392","4,557","5,099","6,243","2,488","3,837","2,790","2,924","1,503","2,200","1,613","4,599","8,256","5,293","10,421","6,099","8,169","2,378","5,482","4,063","11,579"
2021년07월_남_연령구간인구수,"109,762","5,222","2,555","2,392","4,557","5,099","6,243","2,488","3,837","2,790","2,924","1,503","2,200","1,613","4,599","8,256","5,293","10,421","6,099","8,169","2,378","5,482","4,063","11,579"
2021년07월_남_0~9세,"8,808",223,111,69,318,752,462,264,99,88,197,25,69,60,351,811,523,945,397,626,179,553,312,"1,374"
2021년07월_남_10~19세,"12,242",353,159,152,526,637,727,224,198,165,285,67,103,103,487,"1,231",723,"1,214",616,933,271,774,446,"1,848"
2021년07월_남_20~29세,"14,480",577,295,234,597,634,961,265,398,287,348,106,292,184,602,960,646,"1,330","1,119","1,396",285,755,620,"1,589"
2021년07월_남_30~39세,"12,557",538,228,224,528,879,693,325,325,244,304,119,170,142,497,930,542,"1,299",824,954,264,646,524,"1,358"
2021년07월_남_40~49세,"18,858",771,395,396,723,931,"1,052",432,554,427,509,251,327,247,789,"1,619",940,"1,738","1,070","1,286",416,970,686,"2,329"
2021년07월_남_50~59세,"18,191",906,438,459,770,628,"1,128",399,733,487,433,306,405,301,784,"1,224",760,"1,653","1,066","1,439",393,910,743,"1,826"
2021년07월_남_60~69세,"14,070",947,479,418,609,381,738,329,741,496,444,329,434,296,628,837,646,"1,372",661,"1,042",332,535,471,905
2021년07월_남_70~79세,"7,832",676,361,316,368,202,366,183,577,428,307,215,292,213,341,457,361,671,268,349,180,236,178,287
2021년07월_남_80~89세,"2,510",213,83,107,106,53,108,65,191,154,93,82,101,65,115,167,148,177,69,133,55,95,75,55
2021년07월_남_90~99세,208,18,6,15,11,2,8,2,19,13,4,3,7,2,5,20,4,22,9,11,3,8,8,8
2021년07월_남_100세 이상,6,0,0,2,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021년07월_여_총인구수,"110,617","5,174","2,531","2,291","4,834","5,244","6,438","2,511","3,699","2,544","3,051","1,302","1,903","1,500","4,588","8,558","5,458","10,858","5,697","8,243","2,376","5,926","4,291","11,600"
2021년07월_여_연령구간인구수,"110,617","5,174","2,531","2,291","4,834","5,244","6,438","2,511","3,699","2,544","3,051","1,302","1,903","1,500","4,588","8,558","5,458","10,858","5,697","8,243","2,376","5,926","4,291","11,600"
2021년07월_여_0~9세,"8,237",199,94,76,334,709,422,200,93,88,187,26,57,69,292,803,432,861,366,585,187,547,327,"1,283"
2021년07월_여_10~19세,"11,721",347,153,157,495,605,703,227,200,150,303,53,98,113,487,"1,170",709,"1,154",502,879,233,795,391,"1,797"
2021년07월_여_20~29세,"12,241",459,207,167,550,608,741,252,300,220,325,83,142,115,478,795,524,"1,180","1,080","1,167",256,707,587,"1,298"
2021년07월_여_30~39세,"11,780",385,192,137,464,915,606,326,242,160,268,65,93,102,428,976,574,"1,168",715,938,253,759,483,"1,531"
2021년07월_여_40~49세,"17,671",582,270,221,735,936,"1,050",374,394,258,417,124,150,163,681,"1,570",957,"1,795",950,"1,358",385,"1,136",678,"2,487"
2021년07월_여_50~59세,"17,811",818,392,342,829,645,"1,156",386,583,373,483,192,255,205,809,"1,260",825,"1,799",922,"1,603",370,957,851,"1,756"
2021년07월_여_60~69세,"15,579","1,135",591,463,739,471,905,355,766,565,548,327,401,276,756,"1,012",780,"1,515",636,996,343,583,536,880
2021년07월_여_70~79세,"9,851",817,429,453,412,221,543,235,710,509,350,285,422,285,425,610,404,846,316,436,203,289,280,371
2021년07월_여_80~89세,"4,926",371,163,243,236,112,283,143,337,192,152,125,254,150,209,321,207,462,179,242,120,129,137,159
2021년07월_여_90~99세,766,59,39,30,39,22,29,11,70,28,18,21,29,22,23,38,41,75,28,37,26,24,21,36
2021년07월_여_100세 이상,34,2,1,2,1,0,0,2,4,1,0,1,2,0,0,3,5,3,3,2,0,0,0,2
