카테고리,부산광역시 북구,부산광역시 북구 구포제1동,부산광역시 북구 구포제2동,부산광역시 북구 구포제3동,부산광역시 북구 금곡동,부산광역시 북구 화명제1동,부산광역시 북구 화명제2동,부산광역시 북구 화명제3동,부산광역시 북구 덕천제1동,부산광역시 북구 덕천제2동,부산광역시 북구 덕천제3동,부산광역시 북구 만덕제1동,부산광역시 북구 만덕제2동,부산광역시 북구 만덕제3동
2021년10월_계_총인구수,"283,766","15,970","25,341","19,706","38,136","41,763","17,046","29,850","11,213","12,061","10,778","16,605","26,534","18,763"
2021년10월_계_연령구간인구수,"283,766","15,970","25,341","19,706","38,136","41,763","17,046","29,850","11,213","12,061","10,778","16,605","26,534","18,763"
2021년10월_계_0~9세,"18,551",858,"1,316",823,"1,988","3,912","1,194","2,470",384,428,402,"1,430","2,176","1,170"
2021년10월_계_10~19세,"22,539",759,"1,679","1,410","2,955","4,355","1,364","3,769",493,581,615,996,"2,274","1,289"
2021년10월_계_20~29세,"36,060","2,056","3,406","2,824","4,359","5,501","2,407","3,836","1,378","1,789","1,352","1,812","3,042","2,298"
2021년10월_계_30~39세,"33,775","2,276","3,082","1,871","3,689","5,239","2,096","3,148","1,271","1,512","1,079","3,033","3,256","2,223"
2021년10월_계_40~49세,"39,901","1,928","3,350","2,710","4,972","6,439","2,222","5,278","1,261","1,442","1,436","2,265","4,069","2,529"
2021년10월_계_50~59세,"52,586","2,998","4,931","4,160","7,318","8,117","3,392","5,416","1,993","2,162","1,893","2,571","4,369","3,266"
2021년10월_계_60~69세,"48,417","3,101","4,718","3,689","6,960","5,650","2,614","3,358","2,436","2,448","2,155","2,827","4,604","3,857"
2021년10월_계_70~79세,"22,045","1,387","2,035","1,618","3,700","1,845","1,184","1,747","1,301","1,173","1,292","1,230","1,989","1,544"
2021년10월_계_80~89세,"8,763",538,742,532,"1,982",609,500,733,610,461,501,395,654,506
2021년10월_계_90~99세,"1,093",67,78,65,210,92,70,93,80,65,52,44,99,78
2021년10월_계_100세 이상,36,2,4,4,3,4,3,2,6,0,1,2,2,3
2021년10월_남_총인구수,"140,183","8,060","12,977","10,153","18,416","20,514","8,333","14,604","5,530","6,002","5,279","8,165","13,010","9,140"
2021년10월_남_연령구간인구수,"140,183","8,060","12,977","10,153","18,416","20,514","8,333","14,604","5,530","6,002","5,279","8,165","13,010","9,140"
2021년10월_남_0~9세,"9,557",417,692,426,"1,026","2,018",633,"1,252",184,222,213,744,"1,119",611
2021년10월_남_10~19세,"11,728",366,890,763,"1,519","2,255",687,"1,984",270,298,326,510,"1,176",684
2021년10월_남_20~29세,"19,317","1,083","1,854","1,617","2,340","2,923","1,308","2,029",748,938,726,896,"1,603","1,252"
2021년10월_남_30~39세,"17,636","1,255","1,703","1,062","1,976","2,520","1,082","1,500",717,875,588,"1,592","1,629","1,137"
2021년10월_남_40~49세,"19,879","1,058","1,784","1,401","2,431","2,990","1,070","2,427",660,768,792,"1,179","2,040","1,279"
2021년10월_남_50~59세,"24,873","1,472","2,425","2,082","3,421","3,727","1,533","2,654",987,"1,042",925,"1,146","2,045","1,414"
2021년10월_남_60~69세,"23,806","1,539","2,364","1,842","3,512","2,953","1,304","1,647","1,138","1,173",995,"1,352","2,183","1,804"
2021년10월_남_70~79세,"10,167",666,981,744,"1,547",915,532,786,599,523,551,607,967,749
2021년10월_남_80~89세,"3,009",187,275,208,596,200,167,298,207,152,155,137,230,197
2021년10월_남_90~99세,208,16,9,8,48,13,15,27,20,11,8,2,18,13
2021년10월_남_100세 이상,3,1,0,0,0,0,2,0,0,0,0,0,0,0
2021년10월_여_총인구수,"143,583","7,910","12,364","9,553","19,720","21,249","8,713","15,246","5,683","6,059","5,499","8,440","13,524","9,623"
2021년10월_여_연령구간인구수,"143,583","7,910","12,364","9,553","19,720","21,249","8,713","15,246","5,683","6,059","5,499","8,440","13,524","9,623"
2021년10월_여_0~9세,"8,994",441,624,397,962,"1,894",561,"1,218",200,206,189,686,"1,057",559
2021년10월_여_10~19세,"10,811",393,789,647,"1,436","2,100",677,"1,785",223,283,289,486,"1,098",605
2021년10월_여_20~29세,"16,743",973,"1,552","1,207","2,019","2,578","1,099","1,807",630,851,626,916,"1,439","1,046"
2021년10월_여_30~39세,"16,139","1,021","1,379",809,"1,713","2,719","1,014","1,648",554,637,491,"1,441","1,627","1,086"
2021년10월_여_40~49세,"20,022",870,"1,566","1,309","2,541","3,449","1,152","2,851",601,674,644,"1,086","2,029","1,250"
2021년10월_여_50~59세,"27,713","1,526","2,506","2,078","3,897","4,390","1,859","2,762","1,006","1,120",968,"1,425","2,324","1,852"
2021년10월_여_60~69세,"24,611","1,562","2,354","1,847","3,448","2,697","1,310","1,711","1,298","1,275","1,160","1,475","2,421","2,053"
2021년10월_여_70~79세,"11,878",721,"1,054",874,"2,153",930,652,961,702,650,741,623,"1,022",795
2021년10월_여_80~89세,"5,754",351,467,324,"1,386",409,333,435,403,309,346,258,424,309
2021년10월_여_90~99세,885,51,69,57,162,79,55,66,60,54,44,42,81,65
2021년10월_여_100세 이상,33,1,4,4,3,4,1,2,6,0,1,2,2,3
