카테고리,강원도 춘천시,강원도 춘천시 신북읍,강원도 춘천시 동면,강원도 춘천시 동산면,강원도 춘천시 신동면,강원도 춘천시 남면,강원도 춘천시 서면,강원도 춘천시 사북면,강원도 춘천시 북산면,강원도 춘천시 동내면,강원도 춘천시 남산면,강원도 춘천시 교동,강원도 춘천시 조운동,강원도 춘천시 약사명동,강원도 춘천시 근화동,강원도 춘천시 소양동,강원도 춘천시 후평1동,강원도 춘천시 후평2동,강원도 춘천시 후평3동,강원도 춘천시 효자1동,강원도 춘천시 효자2동,강원도 춘천시 효자3동,강원도 춘천시 석사동,강원도 춘천시 퇴계동,강원도 춘천시 강남동,강원도 춘천시 신사우동
2021년07월_계_총인구수,"282,592","7,566","19,763","1,443","2,581","1,077","3,754","2,509",941,"17,406","3,444","3,556","2,752","2,153","8,630","9,500","11,699","14,845","21,156","4,476","11,965","4,414","35,019","49,737","19,116","23,090"
2021년07월_계_연령구간인구수,"282,592","7,566","19,763","1,443","2,581","1,077","3,754","2,509",941,"17,406","3,444","3,556","2,752","2,153","8,630","9,500","11,699","14,845","21,156","4,476","11,965","4,414","35,019","49,737","19,116","23,090"
2021년07월_계_0~9세,"20,975",319,"2,070",27,96,23,99,62,13,"1,392",75,100,87,78,917,741,498,"1,280","1,746",325,402,143,"2,351","4,335","1,524","2,272"
2021년07월_계_10~19세,"26,635",445,"2,477",57,132,28,181,139,20,"1,715",153,166,116,112,648,776,843,"1,425","1,929",373,659,227,"4,300","5,849","1,575","2,290"
2021년07월_계_20~29세,"37,272",724,"1,981",117,251,44,223,174,31,"2,162",230,892,345,253,"1,005","1,208","1,844","2,164","2,641",532,"2,712",956,"5,077","6,427","2,410","2,869"
2021년07월_계_30~39세,"33,945",651,"2,320",90,183,54,221,118,36,"2,357",236,410,298,195,"1,430","1,181","1,370","2,102","2,789",474,"1,321",585,"3,647","6,164","2,607","3,106"
2021년07월_계_40~49세,"41,944",853,"3,619",113,247,83,339,208,57,"2,842",355,379,342,241,"1,161","1,356","1,482","2,143","3,074",658,"1,384",470,"5,745","8,353","2,816","3,624"
2021년07월_계_50~59세,"46,437","1,387","3,046",233,494,203,673,451,187,"2,802",653,490,473,377,"1,187","1,623","1,919","2,345","3,432",750,"1,788",661,"6,230","8,351","3,182","3,500"
2021년07월_계_60~69세,"40,534","1,550","2,595",426,641,297,977,695,297,"2,381",922,522,500,393,"1,138","1,368","1,962","1,779","3,020",701,"1,788",685,"4,196","5,945","2,851","2,905"
2021년07월_계_70~79세,"20,663",913,997,201,279,195,568,376,190,"1,028",486,362,335,293,670,758,"1,074",941,"1,512",385,"1,145",395,"2,100","2,554","1,371","1,535"
2021년07월_계_80~89세,"12,215",631,540,166,227,128,394,243,97,618,286,208,213,172,414,417,606,569,875,244,680,252,"1,207","1,523",654,851
2021년07월_계_90~99세,"1,902",90,115,12,31,21,74,43,13,104,44,25,43,37,56,68,99,92,134,33,84,39,160,233,116,136
2021년07월_계_100세 이상,70,3,3,1,0,1,5,0,0,5,4,2,0,2,4,4,2,5,4,1,2,1,6,3,10,2
2021년07월_남_총인구수,"139,546","3,787","9,776",783,"1,334",586,"1,925","1,244",519,"8,708","1,818","1,830","1,325","1,047","4,374","4,634","5,824","7,074","10,086","2,228","6,348","2,236","17,159","23,955","9,335","11,611"
2021년07월_남_연령구간인구수,"139,546","3,787","9,776",783,"1,334",586,"1,925","1,244",519,"8,708","1,818","1,830","1,325","1,047","4,374","4,634","5,824","7,074","10,086","2,228","6,348","2,236","17,159","23,955","9,335","11,611"
2021년07월_남_0~9세,"10,773",157,"1,063",10,54,17,43,32,7,734,44,62,47,39,486,365,259,650,891,156,201,75,"1,178","2,215",781,"1,207"
2021년07월_남_10~19세,"13,860",232,"1,277",38,57,14,109,78,10,887,83,90,64,64,364,413,434,741,974,210,340,119,"2,192","3,019",825,"1,226"
2021년07월_남_20~29세,"19,904",401,"1,076",67,154,28,125,107,18,"1,109",123,484,171,146,517,634,975,"1,085","1,352",285,"1,625",483,"2,676","3,362","1,265","1,636"
2021년07월_남_30~39세,"17,354",349,"1,087",55,98,33,118,67,23,"1,239",139,230,156,103,757,615,765,"1,047","1,429",250,778,321,"1,873","2,993","1,311","1,518"
2021년07월_남_40~49세,"20,721",458,"1,786",74,140,48,195,103,34,"1,448",211,209,193,123,602,684,772,"1,008","1,467",342,788,273,"2,704","3,867","1,377","1,815"
2021년07월_남_50~59세,"23,368",734,"1,551",134,281,125,378,221,104,"1,422",377,255,247,207,675,798,966,"1,113","1,621",375,997,345,"3,134","4,003","1,507","1,798"
2021년07월_남_60~69세,"19,626",794,"1,281",244,322,163,530,361,184,"1,178",473,242,235,188,554,649,937,819,"1,398",331,867,328,"2,028","2,814","1,325","1,381"
2021년07월_남_70~79세,"9,085",419,448,96,141,99,287,176,92,439,249,182,136,112,251,303,476,393,642,163,481,171,886,"1,078",677,688
2021년07월_남_80~89세,"4,372",215,187,61,81,54,126,91,44,224,104,67,68,58,143,152,218,190,278,105,256,110,449,543,237,311
2021년07월_남_90~99세,464,27,20,4,6,5,14,8,3,27,13,8,8,6,23,19,22,28,32,11,13,11,38,60,27,31
2021년07월_남_100세 이상,19,1,0,0,0,0,0,0,0,1,2,1,0,1,2,2,0,0,2,0,2,0,1,1,3,0
2021년07월_여_총인구수,"143,046","3,779","9,987",660,"1,247",491,"1,829","1,265",422,"8,698","1,626","1,726","1,427","1,106","4,256","4,866","5,875","7,771","11,070","2,248","5,617","2,178","17,860","25,782","9,781","11,479"
2021년07월_여_연령구간인구수,"143,046","3,779","9,987",660,"1,247",491,"1,829","1,265",422,"8,698","1,626","1,726","1,427","1,106","4,256","4,866","5,875","7,771","11,070","2,248","5,617","2,178","17,860","25,782","9,781","11,479"
2021년07월_여_0~9세,"10,202",162,"1,007",17,42,6,56,30,6,658,31,38,40,39,431,376,239,630,855,169,201,68,"1,173","2,120",743,"1,065"
2021년07월_여_10~19세,"12,775",213,"1,200",19,75,14,72,61,10,828,70,76,52,48,284,363,409,684,955,163,319,108,"2,108","2,830",750,"1,064"
2021년07월_여_20~29세,"17,368",323,905,50,97,16,98,67,13,"1,053",107,408,174,107,488,574,869,"1,079","1,289",247,"1,087",473,"2,401","3,065","1,145","1,233"
2021년07월_여_30~39세,"16,591",302,"1,233",35,85,21,103,51,13,"1,118",97,180,142,92,673,566,605,"1,055","1,360",224,543,264,"1,774","3,171","1,296","1,588"
2021년07월_여_40~49세,"21,223",395,"1,833",39,107,35,144,105,23,"1,394",144,170,149,118,559,672,710,"1,135","1,607",316,596,197,"3,041","4,486","1,439","1,809"
2021년07월_여_50~59세,"23,069",653,"1,495",99,213,78,295,230,83,"1,380",276,235,226,170,512,825,953,"1,232","1,811",375,791,316,"3,096","4,348","1,675","1,702"
2021년07월_여_60~69세,"20,908",756,"1,314",182,319,134,447,334,113,"1,203",449,280,265,205,584,719,"1,025",960,"1,622",370,921,357,"2,168","3,131","1,526","1,524"
2021년07월_여_70~79세,"11,578",494,549,105,138,96,281,200,98,589,237,180,199,181,419,455,598,548,870,222,664,224,"1,214","1,476",694,847
2021년07월_여_80~89세,"7,843",416,353,105,146,74,268,152,53,394,182,141,145,114,271,265,388,379,597,139,424,142,758,980,417,540
2021년07월_여_90~99세,"1,438",63,95,8,25,16,60,35,10,77,31,17,35,31,33,49,77,64,102,22,71,28,122,173,89,105
2021년07월_여_100세 이상,51,2,3,1,0,1,5,0,0,4,2,1,0,1,2,2,2,5,2,1,0,1,5,2,7,2
