카테고리,부산광역시 연제구,부산광역시 연제구 거제제1동,부산광역시 연제구 거제제2동,부산광역시 연제구 거제제3동,부산광역시 연제구 거제제4동,부산광역시 연제구 연산제1동,부산광역시 연제구 연산제2동,부산광역시 연제구 연산제3동,부산광역시 연제구 연산제4동,부산광역시 연제구 연산제5동,부산광역시 연제구 연산제6동,부산광역시 연제구 연산제8동,부산광역시 연제구 연산제9동
2020년08월_계_총인구수,"210,146","30,032","12,630","10,399","10,851","16,636","20,044","7,592","16,915","16,502","17,409","14,673","36,463"
2020년08월_계_연령구간인구수,"210,146","30,032","12,630","10,399","10,851","16,636","20,044","7,592","16,915","16,502","17,409","14,673","36,463"
2020년08월_계_0~9세,"15,167","2,714","1,123",514,773,"1,289","1,892",241,748,798,"1,092","1,319","2,664"
2020년08월_계_10~19세,"16,602","3,586","1,574",737,976,"1,270","1,259",408,899,670,"1,037","1,143","3,043"
2020년08월_계_20~29세,"26,338","3,233","1,323","1,191","1,280","1,888","2,461",828,"2,411","3,473","1,978","1,684","4,588"
2020년08월_계_30~39세,"27,876","3,344","1,301","1,116","1,229","2,256","3,579",757,"2,100","3,182","2,413","1,932","4,667"
2020년08월_계_40~49세,"32,048","5,614","2,395","1,379","1,622","2,493","2,899","1,018","2,304","2,311","2,328","2,250","5,435"
2020년08월_계_50~59세,"34,385","4,736","1,971","1,705","1,891","2,712","3,007","1,342","2,907","2,348","2,763","2,519","6,484"
2020년08월_계_60~69세,"32,053","3,618","1,627","1,803","1,761","2,724","2,664","1,594","3,109","2,086","3,068","2,250","5,749"
2020년08월_계_70~79세,"18,034","2,228",920,"1,277",904,"1,437","1,603","1,009","1,745","1,178","1,907","1,149","2,677"
2020년08월_계_80~89세,"6,743",848,352,583,363,512,592,353,617,418,734,374,997
2020년08월_계_90~99세,816,108,35,87,51,47,80,37,71,30,77,46,147
2020년08월_계_100세 이상,84,3,9,7,1,8,8,5,4,8,12,7,12
2020년08월_남_총인구수,"101,338","14,545","6,034","4,916","5,322","8,135","9,631","3,609","8,136","7,852","8,443","7,187","17,528"
2020년08월_남_연령구간인구수,"101,338","14,545","6,034","4,916","5,322","8,135","9,631","3,609","8,136","7,852","8,443","7,187","17,528"
2020년08월_남_0~9세,"7,722","1,408",526,275,386,658,966,126,355,403,572,689,"1,358"
2020년08월_남_10~19세,"8,551","1,893",746,391,540,677,613,204,458,348,555,580,"1,546"
2020년08월_남_20~29세,"13,371","1,698",703,577,711,"1,012","1,205",433,"1,154","1,467","1,051",902,"2,458"
2020년08월_남_30~39세,"13,990","1,567",615,575,637,"1,153","1,770",404,"1,108","1,598","1,269",938,"2,356"
2020년08월_남_40~49세,"15,680","2,603","1,153",684,772,"1,220","1,468",505,"1,161","1,207","1,214","1,132","2,561"
2020년08월_남_50~59세,"16,246","2,350",963,801,880,"1,254","1,408",623,"1,396","1,115","1,315","1,217","2,924"
2020년08월_남_60~69세,"14,786","1,664",768,813,837,"1,270","1,209",736,"1,421",980,"1,358","1,055","2,675"
2020년08월_남_70~79세,"8,208",968,420,556,418,678,746,440,822,554,808,535,"1,263"
2020년08월_남_80~89세,"2,575",365,132,215,133,198,226,129,240,171,281,129,356
2020년08월_남_90~99세,190,28,6,27,8,13,17,8,20,7,18,8,30
2020년08월_남_100세 이상,19,1,2,2,0,2,3,1,1,2,2,2,1
2020년08월_여_총인구수,"108,808","15,487","6,596","5,483","5,529","8,501","10,413","3,983","8,779","8,650","8,966","7,486","18,935"
2020년08월_여_연령구간인구수,"108,808","15,487","6,596","5,483","5,529","8,501","10,413","3,983","8,779","8,650","8,966","7,486","18,935"
2020년08월_여_0~9세,"7,445","1,306",597,239,387,631,926,115,393,395,520,630,"1,306"
2020년08월_여_10~19세,"8,051","1,693",828,346,436,593,646,204,441,322,482,563,"1,497"
2020년08월_여_20~29세,"12,967","1,535",620,614,569,876,"1,256",395,"1,257","2,006",927,782,"2,130"
2020년08월_여_30~39세,"13,886","1,777",686,541,592,"1,103","1,809",353,992,"1,584","1,144",994,"2,311"
2020년08월_여_40~49세,"16,368","3,011","1,242",695,850,"1,273","1,431",513,"1,143","1,104","1,114","1,118","2,874"
2020년08월_여_50~59세,"18,139","2,386","1,008",904,"1,011","1,458","1,599",719,"1,511","1,233","1,448","1,302","3,560"
2020년08월_여_60~69세,"17,267","1,954",859,990,924,"1,454","1,455",858,"1,688","1,106","1,710","1,195","3,074"
2020년08월_여_70~79세,"9,826","1,260",500,721,486,759,857,569,923,624,"1,099",614,"1,414"
2020년08월_여_80~89세,"4,168",483,220,368,230,314,366,224,377,247,453,245,641
2020년08월_여_90~99세,626,80,29,60,43,34,63,29,51,23,59,38,117
2020년08월_여_100세 이상,65,2,7,5,1,6,5,4,3,6,10,5,11
