,경상남도 거제시,경상남도 거제시 일운면,경상남도 거제시 동부면,경상남도 거제시 남부면,경상남도 거제시 거제면,경상남도 거제시 둔덕면,경상남도 거제시 사등면,경상남도 거제시 사등면가조출장소,경상남도 거제시 연초면,경상남도 거제시 하청면,경상남도 거제시 하청면칠천출장소,경상남도 거제시 장목면,경상남도 거제시 장목면외포출장소,경상남도 거제시 장승포동,경상남도 거제시 능포동,경상남도 거제시 아주동,경상남도 거제시 옥포1동,경상남도 거제시 옥포2동,경상남도 거제시 장평동,경상남도 거제시 고현동,경상남도 거제시 상문동,경상남도 거제시 수양동
2020년05월_계_총인구수,"247,096","7,742","3,156","1,603","7,338","3,005","12,272","1,114","8,393","3,691","1,105","3,221","1,402","6,483","9,721","27,572","7,241","26,648","20,814","36,235","34,630","23,710"
2020년05월_계_연령구간인구수,"247,096","7,742","3,156","1,603","7,338","3,005","12,272","1,114","8,393","3,691","1,105","3,221","1,402","6,483","9,721","27,572","7,241","26,648","20,814","36,235","34,630","23,710"
2020년05월_계_0~9세,"27,979",546,80,30,427,67,"1,570",34,547,220,28,81,56,468,589,"4,738",614,"2,710","1,669","3,763","6,079","3,663"
2020년05월_계_10~19세,"27,969",633,138,63,600,160,"1,093",56,695,267,31,129,77,678,"1,021","3,307",633,"3,111","2,311","4,385","4,863","3,718"
2020년05월_계_20~29세,"24,770",687,257,91,586,235,967,77,823,318,62,234,77,683,"1,049","2,478",850,"2,950","2,875","4,189","3,066","2,216"
2020년05월_계_30~39세,"38,752",824,215,91,662,156,"1,962",74,961,352,67,194,100,766,"1,008","6,355","1,105","3,884","3,535","5,488","7,101","3,852"
2020년05월_계_40~49세,"47,480","1,224",374,164,"1,012",331,"2,162",115,"1,422",487,111,401,185,"1,253","1,714","5,833","1,332","4,981","4,481","7,100","7,370","5,428"
2020년05월_계_50~59세,"38,780","1,591",651,333,"1,305",616,"1,924",235,"1,703",676,209,620,243,"1,259","2,004","2,902","1,344","4,794","3,706","6,014","3,765","2,886"
2020년05월_계_60~69세,"25,048","1,252",692,389,"1,331",688,"1,395",281,"1,240",688,261,661,311,833,"1,515","1,352",954,"3,039","1,628","3,669","1,592","1,277"
2020년05월_계_70~79세,"10,594",605,470,273,812,459,793,164,613,403,204,524,217,356,581,397,294,832,432,"1,163",564,438
2020년05월_계_80~89세,"4,906",335,252,150,498,252,351,65,335,237,109,331,117,161,208,179,99,298,147,398,190,194
2020년05월_계_90~99세,777,42,26,19,96,39,51,13,53,42,23,45,18,19,29,31,16,47,29,64,39,36
2020년05월_계_100세 이상,41,3,1,0,9,2,4,0,1,1,0,1,1,7,3,0,0,2,1,2,1,2
2020년05월_남_총인구수,"129,761","3,934","1,631",808,"3,611","1,549","6,380",577,"4,607","1,918",557,"1,623",703,"3,584","5,265","14,831","3,933","13,904","11,916","18,671","17,605","12,154"
2020년05월_남_연령구간인구수,"129,761","3,934","1,631",808,"3,611","1,549","6,380",577,"4,607","1,918",557,"1,623",703,"3,584","5,265","14,831","3,933","13,904","11,916","18,671","17,605","12,154"
2020년05월_남_0~9세,"14,434",269,47,14,228,34,792,21,290,113,16,44,28,242,312,"2,452",328,"1,395",859,"1,967","3,055","1,928"
2020년05월_남_10~19세,"14,713",332,73,35,304,94,552,32,373,151,17,78,40,354,561,"1,707",348,"1,678","1,215","2,283","2,518","1,968"
2020년05월_남_20~29세,"13,882",394,148,52,316,152,546,45,485,167,33,125,43,400,589,"1,403",524,"1,603","1,737","2,286","1,595","1,239"
2020년05월_남_30~39세,"20,614",419,129,54,352,92,995,48,555,198,39,110,55,477,577,"3,402",618,"2,077","2,260","2,896","3,480","1,781"
2020년05월_남_40~49세,"25,933",660,223,99,549,193,"1,235",67,844,303,71,261,114,757,977,"3,321",754,"2,628","2,674","3,657","3,833","2,713"
2020년05월_남_50~59세,"20,572",831,349,193,663,319,"1,044",125,973,359,118,338,128,713,"1,070","1,593",683,"2,382","2,069","3,053","1,998","1,571"
2020년05월_남_60~69세,"13,053",646,345,209,678,367,714,155,670,342,140,330,162,440,824,726,502,"1,642",841,"1,840",805,675
2020년05월_남_70~79세,"4,967",276,228,104,370,213,387,64,303,200,89,231,95,153,280,181,148,407,223,556,250,209
2020년05월_남_80~89세,"1,466",99,85,44,137,79,104,17,103,79,30,100,35,44,68,42,27,89,33,120,66,65
2020년05월_남_90~99세,122,7,3,4,12,6,11,3,11,6,4,6,3,4,6,4,1,3,5,13,5,5
2020년05월_남_100세 이상,5,1,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020년05월_여_총인구수,"117,335","3,808","1,525",795,"3,727","1,456","5,892",537,"3,786","1,773",548,"1,598",699,"2,899","4,456","12,741","3,308","12,744","8,898","17,564","17,025","11,556"
2020년05월_여_연령구간인구수,"117,335","3,808","1,525",795,"3,727","1,456","5,892",537,"3,786","1,773",548,"1,598",699,"2,899","4,456","12,741","3,308","12,744","8,898","17,564","17,025","11,556"
2020년05월_여_0~9세,"13,545",277,33,16,199,33,778,13,257,107,12,37,28,226,277,"2,286",286,"1,315",810,"1,796","3,024","1,735"
2020년05월_여_10~19세,"13,256",301,65,28,296,66,541,24,322,116,14,51,37,324,460,"1,600",285,"1,433","1,096","2,102","2,345","1,750"
2020년05월_여_20~29세,"10,888",293,109,39,270,83,421,32,338,151,29,109,34,283,460,"1,075",326,"1,347","1,138","1,903","1,471",977
2020년05월_여_30~39세,"18,138",405,86,37,310,64,967,26,406,154,28,84,45,289,431,"2,953",487,"1,807","1,275","2,592","3,621","2,071"
2020년05월_여_40~49세,"21,547",564,151,65,463,138,927,48,578,184,40,140,71,496,737,"2,512",578,"2,353","1,807","3,443","3,537","2,715"
2020년05월_여_50~59세,"18,208",760,302,140,642,297,880,110,730,317,91,282,115,546,934,"1,309",661,"2,412","1,637","2,961","1,767","1,315"
2020년05월_여_60~69세,"11,995",606,347,180,653,321,681,126,570,346,121,331,149,393,691,626,452,"1,397",787,"1,829",787,602
2020년05월_여_70~79세,"5,627",329,242,169,442,246,406,100,310,203,115,293,122,203,301,216,146,425,209,607,314,229
2020년05월_여_80~89세,"3,440",236,167,106,361,173,247,48,232,158,79,231,82,117,140,137,72,209,114,278,124,129
2020년05월_여_90~99세,655,35,23,15,84,33,40,10,42,36,19,39,15,15,23,27,15,44,24,51,34,31
2020년05월_여_100세 이상,36,2,0,0,7,2,4,0,1,1,0,1,1,7,2,0,0,2,1,2,1,2
