카테고리,서울특별시 영등포구,서울특별시 영등포구 영등포본동,서울특별시 영등포구 영등포동,서울특별시 영등포구 여의동,서울특별시 영등포구 당산제1동,서울특별시 영등포구 당산제2동,서울특별시 영등포구 도림동,서울특별시 영등포구 문래동,서울특별시 영등포구 양평제1동,서울특별시 영등포구 양평제2동,서울특별시 영등포구 신길제1동,서울특별시 영등포구 신길제3동,서울특별시 영등포구 신길제4동,서울특별시 영등포구 신길제5동,서울특별시 영등포구 신길제6동,서울특별시 영등포구 신길제7동,서울특별시 영등포구 대림제1동,서울특별시 영등포구 대림제2동,서울특별시 영등포구 대림제3동
2021년06월_계_총인구수,"377,421","21,192","28,647","33,378","20,475","37,241","17,896","32,870","17,974","22,275","17,203","16,706","12,284","10,813","19,112","19,966","14,678","12,183","22,528"
2021년06월_계_연령구간인구수,"377,421","21,192","28,647","33,378","20,475","37,241","17,896","32,870","17,974","22,275","17,203","16,706","12,284","10,813","19,112","19,966","14,678","12,183","22,528"
2021년06월_계_0~9세,"25,422","1,376","1,197","2,817","1,084","2,775",939,"3,324","1,304","1,587",547,"1,157",850,813,"1,161","2,071",882,418,"1,120"
2021년06월_계_10~19세,"23,873","1,216",867,"2,894",965,"2,251",930,"2,935","1,015","1,512",844,"1,124",820,724,"1,221","1,701",847,579,"1,428"
2021년06월_계_20~29세,"59,111","2,863","7,179","3,752","3,523","7,217","2,721","3,733","2,869","3,787","3,377","2,177","1,550","1,323","3,234","2,696","2,110","1,903","3,097"
2021년06월_계_30~39세,"69,267","3,229","7,243","5,028","4,233","8,170","3,185","6,105","4,559","5,233","3,001","2,504","1,846","1,556","3,094","3,368","1,995","1,654","3,264"
2021년06월_계_40~49세,"55,865","3,050","3,554","5,387","2,815","5,247","2,667","5,972","2,873","3,259","2,392","2,399","1,904","1,617","2,673","3,317","2,064","1,629","3,046"
2021년06월_계_50~59세,"56,182","3,581","3,501","5,113","3,017","4,787","2,914","4,201","2,066","3,041","2,488","2,869","2,004","1,840","3,022","3,022","2,494","2,140","4,082"
2021년06월_계_60~69세,"47,717","3,268","2,996","4,160","2,671","3,799","2,387","3,599","1,726","2,223","2,309","2,470","1,866","1,685","2,649","2,198","2,193","1,877","3,641"
2021년06월_계_70~79세,"26,840","1,805","1,453","2,564","1,424","1,975","1,413","2,017","1,048","1,086","1,495","1,400",973,879,"1,396","1,085","1,468","1,381","1,978"
2021년06월_계_80~89세,"11,582",704,572,"1,460",658,880,652,856,450,476,673,532,418,331,592,449,551,543,785
2021년06월_계_90~99세,"1,498",93,84,197,81,133,84,120,61,69,74,70,50,43,69,57,70,57,86
2021년06월_계_100세 이상,64,7,1,6,4,7,4,8,3,2,3,4,3,2,1,2,4,2,1
2021년06월_남_총인구수,"186,482","10,831","15,214","15,724","10,061","17,431","9,027","16,093","8,823","11,014","8,782","8,222","6,109","5,265","9,341","9,977","7,270","6,005","11,293"
2021년06월_남_연령구간인구수,"186,482","10,831","15,214","15,724","10,061","17,431","9,027","16,093","8,823","11,014","8,782","8,222","6,109","5,265","9,341","9,977","7,270","6,005","11,293"
2021년06월_남_0~9세,"13,010",686,587,"1,403",575,"1,429",492,"1,712",696,802,268,594,420,406,593,"1,101",466,216,564
2021년06월_남_10~19세,"12,450",643,459,"1,459",488,"1,115",493,"1,532",514,794,437,586,448,361,699,916,455,287,764
2021년06월_남_20~29세,"27,439","1,529","3,019","1,713","1,616","2,907","1,294","1,767","1,222","1,690","1,675","1,052",804,668,"1,508","1,338","1,059",968,"1,610"
2021년06월_남_30~39세,"35,490","1,685","4,030","2,293","2,163","3,933","1,673","2,934","2,335","2,709","1,717","1,301",949,812,"1,554","1,689","1,053",915,"1,745"
2021년06월_남_40~49세,"28,762","1,588","2,072","2,523","1,459","2,587","1,425","2,994","1,530","1,646","1,325","1,237",996,833,"1,376","1,678","1,093",864,"1,536"
2021년06월_남_50~59세,"28,605","1,867","2,194","2,486","1,539","2,297","1,544","2,110","1,080","1,576","1,300","1,432","1,007",895,"1,465","1,497","1,229","1,043","2,044"
2021년06월_남_60~69세,"23,238","1,676","1,808","1,973","1,279","1,841","1,185","1,675",789,"1,104","1,121","1,172",890,764,"1,234","1,067","1,015",860,"1,785"
2021년06월_남_70~79세,"12,363",838,766,"1,169",648,931,642,979,469,486,640,643,424,403,659,504,664,595,903
