,대구광역시 남구,대구광역시 남구 이천동,대구광역시 남구 봉덕1동,대구광역시 남구 봉덕2동,대구광역시 남구 봉덕3동,대구광역시 남구 대명1동,대구광역시 남구 대명2동,대구광역시 남구 대명3동,대구광역시 남구 대명4동,대구광역시 남구 대명5동,대구광역시 남구 대명6동,대구광역시 남구 대명9동,대구광역시 남구 대명10동,대구광역시 남구 대명11동
2021년04월_계_총인구수,"146,188","12,321","9,239","12,637","17,036","11,496","10,559","11,041","11,207","7,202","9,621","15,953","9,263","8,613"
2021년04월_계_연령구간인구수,"146,188","12,321","9,239","12,637","17,036","11,496","10,559","11,041","11,207","7,202","9,621","15,953","9,263","8,613"
2021년04월_계_0~9세,"6,690",757,343,924,821,485,370,362,462,247,529,761,322,307
2021년04월_계_10~19세,"9,296","1,043",523,"1,023","1,317",737,610,598,626,396,630,878,471,444
2021년04월_계_20~29세,"20,407","1,238","1,120","1,271","2,081","1,803","1,998","1,546","1,640","1,418","1,454","2,443","1,334","1,061"
2021년04월_계_30~39세,"17,037","1,251","1,127","1,492","1,842","1,365","1,294","1,146","1,219",837,"1,252","2,143","1,128",941
2021년04월_계_40~49세,"20,091","1,955","1,337","1,813","2,471","1,555","1,345","1,479","1,357",858,"1,384","2,314","1,186","1,037"
2021년04월_계_50~59세,"24,741","2,008","1,636","2,075","2,911","2,008","1,644","1,966","2,018","1,149","1,571","2,657","1,580","1,518"
2021년04월_계_60~69세,"24,344","1,774","1,552","2,042","2,863","1,901","1,590","2,003","2,098","1,141","1,464","2,466","1,694","1,756"
2021년04월_계_70~79세,"15,063","1,377",954,"1,219","1,684","1,099","1,103","1,300","1,204",739,859,"1,524",988,"1,013"
2021년04월_계_80~89세,"7,467",779,576,674,924,468,539,561,515,373,417,655,505,481
2021년04월_계_90~99세,983,132,67,99,114,73,61,70,62,41,57,103,52,52
2021년04월_계_100세 이상,69,7,4,5,8,2,5,10,6,3,4,9,3,3
2021년04월_남_총인구수,"70,219","5,802","4,453","6,053","8,093","5,601","4,985","5,458","5,462","3,421","4,611","7,769","4,395","4,116"
2021년04월_남_연령구간인구수,"70,219","5,802","4,453","6,053","8,093","5,601","4,985","5,458","5,462","3,421","4,611","7,769","4,395","4,116"
2021년04월_남_0~9세,"3,447",418,172,471,431,257,182,202,220,143,250,392,160,149
2021년04월_남_10~19세,"4,895",571,288,503,680,400,296,317,338,215,333,466,254,234
2021년04월_남_20~29세,"10,183",623,540,673,"1,048",907,929,782,875,616,706,"1,240",670,574
2021년04월_남_30~39세,"8,993",623,611,765,940,715,702,649,671,435,638,"1,112",596,536
2021년04월_남_40~49세,"10,148",958,686,883,"1,175",807,689,815,699,454,675,"1,190",595,522
2021년04월_남_50~59세,"12,093",983,816,965,"1,461",950,812,"1,029",993,571,791,"1,271",733,718
2021년04월_남_60~69세,"11,120",771,728,956,"1,262",883,727,917,968,529,689,"1,155",758,777
2021년04월_남_70~79세,"6,406",546,388,548,714,486,456,538,520,315,375,659,439,422
2021년04월_남_80~89세,"2,700",280,211,259,351,179,177,194,164,132,146,259,177,171
2021년04월_남_90~99세,220,29,11,28,30,17,14,13,11,11,8,24,12,12
2021년04월_남_100세 이상,14,0,2,2,1,0,1,2,3,0,0,1,1,1
2021년04월_여_총인구수,"75,969","6,519","4,786","6,584","8,943","5,895","5,574","5,583","5,745","3,781","5,010","8,184","4,868","4,497"
2021년04월_여_연령구간인구수,"75,969","6,519","4,786","6,584","8,943","5,895","5,574","5,583","5,745","3,781","5,010","8,184","4,868","4,497"
2021년04월_여_0~9세,"3,243",339,171,453,390,228,188,160,242,104,279,369,162,158
2021년04월_여_10~19세,"4,401",472,235,520,637,337,314,281,288,181,297,412,217,210
2021년04월_여_20~29세,"10,224",615,580,598,"1,033",896,"1,069",764,765,802,748,"1,203",664,487
2021년04월_여_30~39세,"8,044",628,516,727,902,650,592,497,548,402,614,"1,031",532,405
2021년04월_여_40~49세,"9,943",997,651,930,"1,296",748,656,664,658,404,709,"1,124",591,515
2021년04월_여_50~59세,"12,648","1,025",820,"1,110","1,450","1,058",832,937,"1,025",578,780,"1,386",847,800
2021년04월_여_60~69세,"13,224","1,003",824,"1,086","1,601","1,018",863,"1,086","1,130",612,775,"1,311",936,979
2021년04월_여_70~79세,"8,657",831,566,671,970,613,647,762,684,424,484,865,549,591
2021년04월_여_80~89세,"4,767",499,365,415,573,289,362,367,351,241,271,396,328,310
2021년04월_여_90~99세,763,103,56,71,84,56,47,57,51,30,49,79,40,40
2021년04월_여_100세 이상,55,7,2,3,7,2,4,8,3,3,4,8,2,2
