카테고리,전라남도 담양군,전라남도 담양군 담양읍,전라남도 담양군 봉산면,전라남도 담양군 고서면,전라남도 담양군 가사문학면,전라남도 담양군 창평면,전라남도 담양군 대덕면,전라남도 담양군 무정면,전라남도 담양군 금성면,전라남도 담양군 용면,전라남도 담양군 월산면,전라남도 담양군 수북면,전라남도 담양군 대전면
2020년06월_계_총인구수,"46,045","14,269","2,866","3,243","1,268","3,668","1,927","2,873","2,674","1,904","2,453","4,503","4,397"
2020년06월_계_연령구간인구수,"46,045","14,269","2,866","3,243","1,268","3,668","1,927","2,873","2,674","1,904","2,453","4,503","4,397"
2020년06월_계_0~9세,"2,335","1,069",134,125,37,144,67,76,83,78,110,215,197
2020년06월_계_10~19세,"3,046","1,232",112,179,47,205,107,140,128,88,124,324,360
2020년06월_계_20~29세,"4,846","1,684",244,277,104,325,178,617,225,168,193,422,409
2020년06월_계_30~39세,"3,689","1,481",232,241,78,253,125,161,199,131,182,307,299
2020년06월_계_40~49세,"5,287","1,911",314,335,115,380,183,232,266,185,254,568,544
2020년06월_계_50~59세,"8,128","2,246",524,640,251,705,393,438,459,356,464,835,817
2020년06월_계_60~69세,"8,005","2,064",568,644,265,693,375,473,537,394,478,796,718
2020년06월_계_70~79세,"6,317","1,590",452,497,204,556,287,410,438,318,397,571,597
2020년06월_계_80~89세,"3,772",842,246,257,139,361,181,281,286,159,224,395,401
2020년06월_계_90~99세,589,141,39,45,27,40,30,44,50,25,26,67,55
2020년06월_계_100세 이상,31,9,1,3,1,6,1,1,3,2,1,3,0
2020년06월_남_총인구수,"23,431","7,244","1,451","1,646",641,"1,879",989,"1,638","1,358",941,"1,213","2,257","2,174"
2020년06월_남_연령구간인구수,"23,431","7,244","1,451","1,646",641,"1,879",989,"1,638","1,358",941,"1,213","2,257","2,174"
2020년06월_남_0~9세,"1,166",524,64,62,16,78,39,35,44,45,50,111,98
2020년06월_남_10~19세,"1,592",648,58,91,23,106,59,90,66,43,59,180,169
2020년06월_남_20~29세,"2,901",962,133,154,58,188,99,529,130,83,99,233,233
2020년06월_남_30~39세,"1,953",775,124,133,42,143,67,89,115,58,88,165,154
2020년06월_남_40~49세,"3,071","1,059",199,198,66,230,105,137,181,117,160,309,310
2020년06월_남_50~59세,"4,489","1,207",292,349,148,388,211,243,255,189,261,477,469
2020년06월_남_60~69세,"4,136","1,033",291,357,142,369,215,236,268,201,239,406,379
2020년06월_남_70~79세,"2,785",709,198,213,88,243,128,183,195,142,191,251,244
2020년06월_남_80~89세,"1,208",295,83,80,50,123,62,88,95,53,63,106,110
2020년06월_남_90~99세,127,31,9,9,8,10,4,8,9,10,3,18,8
2020년06월_남_100세 이상,3,1,0,0,0,1,0,0,0,0,0,1,0
2020년06월_여_총인구수,"22,614","7,025","1,415","1,597",627,"1,789",938,"1,235","1,316",963,"1,240","2,246","2,223"
2020년06월_여_연령구간인구수,"22,614","7,025","1,415","1,597",627,"1,789",938,"1,235","1,316",963,"1,240","2,246","2,223"
2020년06월_여_0~9세,"1,169",545,70,63,21,66,28,41,39,33,60,104,99
2020년06월_여_10~19세,"1,454",584,54,88,24,99,48,50,62,45,65,144,191
2020년06월_여_20~29세,"1,945",722,111,123,46,137,79,88,95,85,94,189,176
2020년06월_여_30~39세,"1,736",706,108,108,36,110,58,72,84,73,94,142,145
2020년06월_여_40~49세,"2,216",852,115,137,49,150,78,95,85,68,94,259,234
2020년06월_여_50~59세,"3,639","1,039",232,291,103,317,182,195,204,167,203,358,348
2020년06월_여_60~69세,"3,869","1,031",277,287,123,324,160,237,269,193,239,390,339
2020년06월_여_70~79세,"3,532",881,254,284,116,313,159,227,243,176,206,320,353
2020년06월_여_80~89세,"2,564",547,163,177,89,238,119,193,191,106,161,289,291
2020년06월_여_90~99세,462,110,30,36,19,30,26,36,41,15,23,49,47
2020년06월_여_100세 이상,28,8,1,3,1,5,1,1,3,2,1,2,0
