카테고리,강원도 강릉시,강원도 강릉시 주문진읍,강원도 강릉시 성산면,강원도 강릉시 왕산면,강원도 강릉시 구정면,강원도 강릉시 강동면,강원도 강릉시 옥계면,강원도 강릉시 사천면,강원도 강릉시 연곡면,강원도 강릉시 홍제동,강원도 강릉시 중앙동,강원도 강릉시 옥천동,강원도 강릉시 교1동,강원도 강릉시 교2동,강원도 강릉시 포남1동,강원도 강릉시 포남2동,강원도 강릉시 초당동,강원도 강릉시 송정동,강원도 강릉시 내곡동,강원도 강릉시 강남동,강원도 강릉시 성덕동,강원도 강릉시 경포동
2021년04월_계_총인구수,"212,890","16,381","3,428","1,586","4,159","4,256","3,559","4,605","6,529","15,450","4,947","3,384","26,229","7,859","10,391","12,953","4,814","10,134","16,586","18,056","28,586","8,998"
2021년04월_계_연령구간인구수,"212,890","16,381","3,428","1,586","4,159","4,256","3,559","4,605","6,529","15,450","4,947","3,384","26,229","7,859","10,391","12,953","4,814","10,134","16,586","18,056","28,586","8,998"
2021년04월_계_0~9세,"13,235",640,134,26,208,102,116,192,366,"1,351",156,94,"1,793",364,433,565,289,916,"1,398",929,"2,423",740
2021년04월_계_10~19세,"18,699",947,193,39,274,183,148,235,468,"1,557",289,156,"2,979",614,734,"1,140",402,"1,030","1,543","1,536","3,477",755
2021년04월_계_20~29세,"24,920","1,449",286,91,337,416,264,420,500,"1,718",565,331,"3,622",934,"1,260","1,649",553,"1,141","2,459","2,003","3,453","1,469"
2021년04월_계_30~39세,"21,424","1,189",201,80,332,284,220,396,567,"1,988",433,286,"2,615",768,881,"1,266",541,"1,337","2,128","1,618","3,232","1,062"
2021년04월_계_40~49세,"32,108","2,012",372,103,494,435,328,567,946,"2,655",642,399,"4,565","1,041","1,403","1,836",733,"1,644","2,701","2,534","5,192","1,506"
2021년04월_계_50~59세,"36,443","2,961",674,315,692,761,668,847,"1,107","2,490",778,590,"4,485","1,425","1,983","2,453",927,"1,662","2,528","3,133","4,587","1,377"
2021년04월_계_60~69세,"34,572","3,513",759,486,947,959,869,"1,036","1,352","1,989","1,000",683,"3,293","1,448","1,999","2,317",755,"1,434","2,169","3,015","3,420","1,129"
2021년04월_계_70~79세,"19,615","2,280",434,274,492,659,571,530,769,"1,084",674,570,"1,803",807,"1,126","1,123",367,598,"1,049","2,078","1,717",610
2021년04월_계_80~89세,"10,118","1,176",317,146,307,388,324,324,393,515,321,246,942,385,504,505,215,311,528,"1,052",932,287
2021년04월_계_90~99세,"1,679",207,52,25,71,66,50,57,57,96,80,27,127,68,65,98,32,58,81,152,147,63
2021년04월_계_100세 이상,77,7,6,1,5,3,1,1,4,7,9,2,5,5,3,1,0,3,2,6,6,0
2021년04월_남_총인구수,"105,527","8,012","1,743",849,"2,128","2,271","1,823","2,360","3,250","7,524","2,350","1,735","12,814","3,909","5,122","6,393","2,359","4,906","8,223","9,028","14,123","4,605"
2021년04월_남_연령구간인구수,"105,527","8,012","1,743",849,"2,128","2,271","1,823","2,360","3,250","7,524","2,350","1,735","12,814","3,909","5,122","6,393","2,359","4,906","8,223","9,028","14,123","4,605"
2021년04월_남_0~9세,"6,835",333,73,22,117,59,63,100,179,693,75,53,924,185,231,285,125,446,715,461,"1,301",395
2021년04월_남_10~19세,"9,786",518,101,15,147,99,87,130,239,784,139,88,"1,543",320,387,610,210,542,785,836,"1,835",371
2021년04월_남_20~29세,"13,646",834,178,51,201,276,164,251,277,884,283,187,"1,920",488,654,887,329,606,"1,330","1,157","1,858",831
2021년04월_남_30~39세,"11,245",640,113,57,161,185,136,213,303,"1,006",258,161,"1,328",436,488,697,296,660,"1,053",870,"1,629",555
2021년04월_남_40~49세,"16,361","1,087",216,67,283,291,188,312,503,"1,289",336,237,"2,127",522,759,952,346,798,"1,390","1,353","2,532",773
2021년04월_남_50~59세,"18,387","1,516",347,173,377,426,372,443,554,"1,238",407,323,"2,273",725,978,"1,197",441,776,"1,229","1,613","2,266",713
2021년04월_남_60~69세,"16,475","1,660",387,257,487,501,456,519,664,943,436,306,"1,521",686,893,"1,063",369,685,"1,043","1,408","1,654",537
2021년04월_남_70~79세,"8,794",967,221,140,231,292,258,255,374,481,284,261,779,381,509,514,157,262,479,907,718,324
2021년04월_남_80~89세,"3,654",410,95,61,108,125,90,128,143,184,110,116,378,153,209,175,79,120,184,390,301,95
2021년04월_남_90~99세,324,45,11,5,13,16,9,9,11,21,20,3,21,11,13,12,7,11,15,32,28,11
2021년04월_남_100세 이상,20,2,1,1,3,1,0,0,3,1,2,0,0,2,1,1,0,0,0,1,1,0
2021년04월_여_총인구수,"107,363","8,369","1,685",737,"2,031","1,985","1,736","2,245","3,279","7,926","2,597","1,649","13,415","3,950","5,269","6,560","2,455","5,228","8,363","9,028","14,463","4,393"
2021년04월_여_연령구간인구수,"107,363","8,369","1,685",737,"2,031","1,985","1,736","2,245","3,279","7,926","2,597","1,649","13,415","3,950","5,269","6,560","2,455","5,228","8,363","9,028","14,463","4,393"
2021년04월_여_0~9세,"6,400",307,61,4,91,43,53,92,187,658,81,41,869,179,202,280,164,470,683,468,"1,122",345
2021년04월_여_10~19세,"8,913",429,92,24,127,84,61,105,229,773,150,68,"1,436",294,347,530,192,488,758,700,"1,642",384
2021년04월_여_20~29세,"11,274",615,108,40,136,140,100,169,223,834,282,144,"1,702",446,606,762,224,535,"1,129",846,"1,595",638
2021년04월_여_30~39세,"10,179",549,88,23,171,99,84,183,264,982,175,125,"1,287",332,393,569,245,677,"1,075",748,"1,603",507
2021년04월_여_40~49세,"15,747",925,156,36,211,144,140,255,443,"1,366",306,162,"2,438",519,644,884,387,846,"1,311","1,181","2,660",733
2021년04월_여_50~59세,"18,056","1,445",327,142,315,335,296,404,553,"1,252",371,267,"2,212",700,"1,005","1,256",486,886,"1,299","1,520","2,321",664
2021년04월_여_60~69세,"18,097","1,853",372,229,460,458,413,517,688,"1,046",564,377,"1,772",762,"1,106","1,254",386,749,"1,126","1,607","1,766",592
2021년04월_여_70~79세,"10,821","1,313",213,134,261,367,313,275,395,603,390,309,"1,024",426,617,609,210,336,570,"1,171",999,286
2021년04월_여_80~89세,"6,464",766,222,85,199,263,234,196,250,331,211,130,564,232,295,330,136,191,344,662,631,192
2021년04월_여_90~99세,"1,355",162,41,20,58,50,41,48,46,75,60,24,106,57,52,86,25,47,66,120,119,52
2021년04월_여_100세 이상,57,5,5,0,2,2,1,1,1,6,7,2,5,3,2,0,0,3,2,5,5,0
