카테고리,서울특별시 광진구,서울특별시 광진구 화양동,서울특별시 광진구 군자동,서울특별시 광진구 중곡제1동,서울특별시 광진구 중곡제2동,서울특별시 광진구 중곡제3동,서울특별시 광진구 중곡제4동,서울특별시 광진구 능동,서울특별시 광진구 광장동,서울특별시 광진구 자양제1동,서울특별시 광진구 자양제2동,서울특별시 광진구 자양제3동,서울특별시 광진구 자양제4동,서울특별시 광진구 구의제1동,서울특별시 광진구 구의제2동,서울특별시 광진구 구의제3동
2020년02월_계_총인구수,"351,032","22,180","19,897","15,819","22,250","16,969","30,071","11,634","35,981","22,975","26,413","29,050","18,416","22,346","27,342","29,689"
2020년02월_계_연령구간인구수,"351,032","22,180","19,897","15,819","22,250","16,969","30,071","11,634","35,981","22,975","26,413","29,050","18,416","22,346","27,342","29,689"
2020년02월_계_0~9세,"21,314",468,974,840,"1,317",817,"1,693",604,"3,565","1,123","1,781","2,473",783,951,"1,911","2,014"
2020년02월_계_10~19세,"27,246",788,"1,105",784,"1,482","1,070","2,112",566,"5,659","1,580","2,052","2,727",943,"1,272","2,442","2,664"
2020년02월_계_20~29세,"61,890","9,137","4,243","2,703","3,906","2,697","4,527","2,371","4,107","4,259","3,926","4,024","2,733","4,732","3,738","4,787"
2020년02월_계_30~39세,"57,843","4,290","3,697","3,001","4,051","2,774","4,615","2,723","4,095","3,929","4,197","4,423","2,813","4,386","4,072","4,777"
2020년02월_계_40~49세,"54,467","2,211","2,665","2,302","3,143","2,478","4,377","1,617","7,960","3,503","4,272","4,733","2,633","3,313","4,519","4,741"
2020년02월_계_50~59세,"55,523","2,126","2,995","2,576","3,646","3,048","5,499","1,461","5,327","3,694","4,379","4,723","3,319","3,280","4,575","4,875"
2020년02월_계_60~69세,"40,854","1,651","2,284","2,041","2,698","2,315","4,145","1,192","2,872","2,752","3,480","3,430","2,894","2,367","3,392","3,341"
2020년02월_계_70~79세,"22,062","1,031","1,375","1,144","1,449","1,262","2,256",750,"1,462","1,502","1,643","1,596","1,621","1,418","1,887","1,666"
2020년02월_계_80~89세,"8,408",396,489,364,471,434,722,302,794,544,583,801,581,546,689,692
2020년02월_계_90~99세,"1,222",61,60,56,78,60,97,46,130,75,88,108,83,67,91,122
2020년02월_계_100세 이상,203,21,10,8,9,14,28,2,10,14,12,12,13,14,26,10
2020년02월_남_총인구수,"170,000","10,535","9,864","7,741","10,643","8,439","14,806","5,352","17,381","11,055","12,958","13,983","9,245","10,664","13,172","14,162"
2020년02월_남_연령구간인구수,"170,000","10,535","9,864","7,741","10,643","8,439","14,806","5,352","17,381","11,055","12,958","13,983","9,245","10,664","13,172","14,162"
2020년02월_남_0~9세,"10,913",230,522,446,687,418,881,306,"1,854",550,938,"1,247",384,494,962,994
2020년02월_남_10~19세,"13,889",361,560,399,750,547,"1,130",300,"2,894",843,"1,090","1,348",460,641,"1,223","1,343"
