,전라남도 여수시,전라남도 여수시 돌산읍,전라남도 여수시 돌산읍우두출장소,전라남도 여수시 돌산읍죽포출장소,전라남도 여수시 소라면,전라남도 여수시 율촌면,전라남도 여수시 화양면,전라남도 여수시 남면,전라남도 여수시 화정면,전라남도 여수시 화정면개도출장소,전라남도 여수시 삼산면,전라남도 여수시 동문동,전라남도 여수시 한려동,전라남도 여수시 중앙동,전라남도 여수시 충무동,전라남도 여수시 광림동,전라남도 여수시 서강동,전라남도 여수시 대교동,전라남도 여수시 국동,전라남도 여수시 월호동,전라남도 여수시 여서동,전라남도 여수시 문수동,전라남도 여수시 미평동,전라남도 여수시 둔덕동,전라남도 여수시 만덕동,전라남도 여수시 쌍봉동,전라남도 여수시 시전동,전라남도 여수시 여천동,전라남도 여수시 주삼동,전라남도 여수시 삼일동,전라남도 여수시 묘도동
2021년07월_계_총인구수,"278,123","2,647","8,593","1,917","20,397","6,287","6,413","2,766","1,333",804,"2,042","4,688","3,118","4,293","4,029","6,058","3,735","5,302","11,376","6,851","18,896","21,547","11,744","10,316","10,576","32,359","36,850","21,468","8,224","2,334","1,160"
2021년07월_계_연령구간인구수,"278,123","2,647","8,593","1,917","20,397","6,287","6,413","2,766","1,333",804,"2,042","4,688","3,118","4,293","4,029","6,058","3,735","5,302","11,376","6,851","18,896","21,547","11,744","10,316","10,576","32,359","36,850","21,468","8,224","2,334","1,160"
2021년07월_계_0~9세,"20,080",50,542,31,"2,012",259,129,58,12,17,58,237,112,143,105,199,144,161,676,405,"1,153","1,824",600,745,"1,033","2,656","4,554","1,135",952,58,20
2021년07월_계_10~19세,"25,901",82,671,67,"2,082",318,274,123,32,37,85,285,186,268,221,309,226,255,893,617,"1,861","2,303","1,061","1,181",952,"3,762","4,411","2,003","1,147",129,60
2021년07월_계_20~29세,"33,297",178,756,148,"2,173",452,558,121,61,52,139,469,362,418,353,643,426,438,"1,205",700,"2,521","2,697","1,790","1,401","1,111","5,125","4,471","3,275",897,250,107
2021년07월_계_30~39세,"30,108",124,793,86,"2,488",429,354,125,60,25,136,458,315,322,296,519,284,430,"1,054",630,"1,962","2,561","1,189","1,135","1,382","3,890","5,453","2,272","1,109",166,61
2021년07월_계_40~49세,"41,155",220,"1,255",141,"3,215",726,579,223,89,71,205,568,323,530,462,752,423,605,"1,538",935,"2,724","3,544","1,745","1,634","1,586","5,329","6,467","3,247","1,647",253,119
2021년07월_계_50~59세,"48,159",458,"1,410",307,"3,525","1,008","1,188",432,186,139,445,674,456,695,642,"1,009",590,845,"2,019","1,134","3,410","3,479","2,239","1,926","1,516","5,956","6,108","4,555","1,107",468,233
2021년07월_계_60~69세,"41,800",613,"1,606",464,"2,637","1,285","1,409",647,310,162,492,951,586,946,850,"1,272",790,"1,212","2,130","1,376","3,133","2,917","1,730","1,432","1,575","3,481","3,450","2,952",712,462,218
2021년07월_계_70~79세,"24,827",561,"1,000",379,"1,383","1,055","1,121",620,322,174,299,749,536,708,763,972,575,949,"1,356",778,"1,421","1,497",940,628,992,"1,483","1,288","1,312",455,322,189
2021년07월_계_80~89세,"11,042",316,481,245,777,625,677,360,213,106,153,255,222,236,303,339,237,362,450,250,621,614,400,197,374,571,548,606,173,201,130
