카테고리,서울특별시 동대문구,서울특별시 동대문구 용신동,서울특별시 동대문구 제기동,서울특별시 동대문구 전농제1동,서울특별시 동대문구 전농제2동,서울특별시 동대문구 답십리제1동,서울특별시 동대문구 답십리제2동,서울특별시 동대문구 장안제1동,서울특별시 동대문구 장안제2동,서울특별시 동대문구 청량리동,서울특별시 동대문구 회기동,서울특별시 동대문구 휘경제1동,서울특별시 동대문구 휘경제2동,서울특별시 동대문구 이문제1동,서울특별시 동대문구 이문제2동
2021년08월_계_총인구수,"337,857","30,950","24,694","29,419","18,784","29,077","28,643","38,259","32,553","18,961","10,499","13,680","24,195","18,058","20,085"
2021년08월_계_연령구간인구수,"337,857","30,950","24,694","29,419","18,784","29,077","28,643","38,259","32,553","18,961","10,499","13,680","24,195","18,058","20,085"
2021년08월_계_0~9세,"19,830","1,193",989,"1,824","1,177","2,695","1,796","2,440","2,736",728,418,802,"1,163",670,"1,199"
2021년08월_계_10~19세,"23,074","1,395","1,370","1,826","1,710","1,960","1,908","2,616","2,812","1,035",688,784,"2,009","1,225","1,736"
2021년08월_계_20~29세,"56,421","6,215","4,485","4,567","2,222","4,183","3,654","5,266","3,794","2,186","3,346","3,458","5,488","4,760","2,797"
2021년08월_계_30~39세,"49,029","5,429","3,187","4,149","2,224","5,198","4,396","6,248","4,936","2,127","1,501","2,119","2,920","2,131","2,464"
2021년08월_계_40~49세,"49,230","4,087","2,997","4,251","2,998","4,762","4,097","6,194","5,735","2,369","1,275","1,661","3,425","2,294","3,085"
2021년08월_계_50~59세,"52,196","4,575","3,785","4,849","3,203","4,219","4,843","5,946","4,961","3,236","1,202","1,921","3,534","2,569","3,353"
2021년08월_계_60~69세,"47,271","4,288","3,949","4,278","2,813","3,392","4,331","5,524","4,387","3,807",981,"1,536","3,010","2,183","2,792"
2021년08월_계_70~79세,"27,446","2,494","2,586","2,454","1,567","1,758","2,438","2,881","2,269","2,318",671,929,"1,807","1,439","1,835"
2021년08월_계_80~89세,"11,843","1,143","1,197","1,095",785,804,"1,053","1,008",807,"1,016",365,415,736,696,723
2021년08월_계_90~99세,"1,434",126,138,119,82,96,124,125,107,134,51,52,100,86,94
2021년08월_계_100세 이상,83,5,11,7,3,10,3,11,9,5,1,3,3,5,7
2021년08월_남_총인구수,"167,140","15,620","12,661","14,776","9,058","14,072","13,942","18,979","16,280","9,445","5,009","6,529","12,047","9,010","9,712"
2021년08월_남_연령구간인구수,"167,140","15,620","12,661","14,776","9,058","14,072","13,942","18,979","16,280","9,445","5,009","6,529","12,047","9,010","9,712"
2021년08월_남_0~9세,"10,184",608,507,942,603,"1,375",897,"1,257","1,410",379,214,411,616,343,622
2021년08월_남_10~19세,"11,680",718,716,913,840,"1,001",953,"1,334","1,512",545,317,379,956,625,871
2021년08월_남_20~29세,"27,713","2,886","2,429","2,316","1,131","1,918","1,839","2,468","1,944","1,144","1,563","1,490","2,921","2,339","1,325"
2021년08월_남_30~39세,"25,301","2,817","1,766","2,125","1,141","2,458","2,249","3,220","2,485","1,158",798,"1,098","1,559","1,209","1,218"
2021년08월_남_40~49세,"25,367","2,242","1,643","2,260","1,437","2,460","2,067","3,212","2,926","1,231",622,858,"1,682","1,175","1,552"
2021년08월_남_50~59세,"26,483","2,486","2,008","2,508","1,568","2,072","2,377","2,980","2,483","1,647",622,940,"1,772","1,340","1,680"
2021년08월_남_60~69세,"22,924","2,205","1,920","2,152","1,303","1,667","2,038","2,666","2,112","1,886",438,754,"1,427","1,036","1,320"
2021년08월_남_70~79세,"12,424","1,151","1,169","1,102",669,794,"1,104","1,396","1,072","1,031",288,408,807,626,807
2021년08월_남_80~89세,"4,657",470,465,435,339,298,389,403,308,388,133,177,270,288,294
2021년08월_남_90~99세,386,36,36,22,26,26,28,42,24,36,13,13,37,28,19
2021년08월_남_100세 이상,21,1,2,1,1,3,1,1,4,0,1,1,0,1,4
2021년08월_여_총인구수,"170,717","15,330","12,033","14,643","9,726","15,005","14,701","19,280","16,273","9,516","5,490","7,151","12,148","9,048","10,373"
2021년08월_여_연령구간인구수,"170,717","15,330","12,033","14,643","9,726","15,005","14,701","19,280","16,273","9,516","5,490","7,151","12,148","9,048","10,373"
2021년08월_여_0~9세,"9,646",585,482,882,574,"1,320",899,"1,183","1,326",349,204,391,547,327,577
2021년08월_여_10~19세,"11,394",677,654,913,870,959,955,"1,282","1,300",490,371,405,"1,053",600,865
2021년08월_여_20~29세,"28,708","3,329","2,056","2,251","1,091","2,265","1,815","2,798","1,850","1,042","1,783","1,968","2,567","2,421","1,472"
2021년08월_여_30~39세,"23,728","2,612","1,421","2,024","1,083","2,740","2,147","3,028","2,451",969,703,"1,021","1,361",922,"1,246"
2021년08월_여_40~49세,"23,863","1,845","1,354","1,991","1,561","2,302","2,030","2,982","2,809","1,138",653,803,"1,743","1,119","1,533"
2021년08월_여_50~59세,"25,713","2,089","1,777","2,341","1,635","2,147","2,466","2,966","2,478","1,589",580,981,"1,762","1,229","1,673"
2021년08월_여_60~69세,"24,347","2,083","2,029","2,126","1,510","1,725","2,293","2,858","2,275","1,921",543,782,"1,583","1,147","1,472"
2021년08월_여_70~79세,"15,022","1,343","1,417","1,352",898,964,"1,334","1,485","1,197","1,287",383,521,"1,000",813,"1,028"
2021년08월_여_80~89세,"7,186",673,732,660,446,506,664,605,499,628,232,238,466,408,429
2021년08월_여_90~99세,"1,048",90,102,97,56,70,96,83,83,98,38,39,63,58,75
2021년08월_여_100세 이상,62,4,9,6,2,7,2,10,5,5,0,2,3,4,3
