카테고리,서울특별시 은평구,서울특별시 은평구 녹번동,서울특별시 은평구 불광제1동,서울특별시 은평구 불광제2동,서울특별시 은평구 갈현제1동,서울특별시 은평구 갈현제2동,서울특별시 은평구 구산동,서울특별시 은평구 대조동,서울특별시 은평구 응암제1동,서울특별시 은평구 응암제2동,서울특별시 은평구 응암제3동,서울특별시 은평구 역촌동,서울특별시 은평구 신사제1동,서울특별시 은평구 신사제2동,서울특별시 은평구 증산동,서울특별시 은평구 수색동,서울특별시 은평구 진관동
2020년12월_계_총인구수,"479,835","37,396","39,733","28,441","23,167","28,885","32,749","27,240","30,963","27,569","25,218","46,556","27,547","20,805","15,355","11,189","57,022"
2020년12월_계_연령구간인구수,"479,835","37,396","39,733","28,441","23,167","28,885","32,749","27,240","30,963","27,569","25,218","46,556","27,547","20,805","15,355","11,189","57,022"
2020년12월_계_0~9세,"29,704","2,485","2,398","1,140",998,"1,576","1,808","1,192","2,251","3,265",991,"2,698","1,624","1,089",743,681,"4,765"
2020년12월_계_10~19세,"38,676","2,340","2,694","1,810","1,596","2,463","2,870","1,657","2,634","2,269","1,635","3,515","2,119","1,689","1,202",763,"7,420"
2020년12월_계_20~29세,"67,058","5,068","5,472","4,347","3,752","4,374","4,441","4,896","4,207","2,762","3,641","6,533","3,922","2,935","2,111","1,492","7,105"
2020년12월_계_30~39세,"68,502","6,065","5,443","3,860","3,056","3,918","4,118","4,191","5,156","5,053","3,387","6,701","4,103","2,798","2,027","1,737","6,889"
2020년12월_계_40~49세,"76,628","5,834","6,019","3,953","3,330","4,716","5,128","4,108","5,227","5,188","3,605","7,607","4,201","3,168","2,250","1,518","10,776"
2020년12월_계_50~59세,"77,274","5,893","6,772","4,929","4,013","4,800","5,666","4,140","4,584","3,613","4,240","7,648","4,497","3,508","2,583","1,979","8,409"
2020년12월_계_60~69세,"64,438","5,103","5,606","4,409","3,479","3,681","4,629","3,535","3,613","2,892","3,769","6,296","3,849","3,162","2,424","1,698","6,293"
2020년12월_계_70~79세,"39,121","3,147","3,520","2,766","2,105","2,311","2,761","2,391","2,262","1,713","2,630","3,870","2,264","1,654","1,413",878,"3,436"
2020년12월_계_80~89세,"15,897","1,263","1,572","1,092",715,911,"1,151",999,887,705,"1,149","1,480",861,701,516,384,"1,511"
2020년12월_계_90~99세,"2,112",173,203,123,109,116,156,109,132,86,151,183,98,86,76,54,257
2020년12월_계_100세 이상,425,25,34,12,14,19,21,22,10,23,20,25,9,15,10,5,161
2020년12월_남_총인구수,"230,279","17,820","18,811","13,804","11,288","13,681","16,282","12,700","14,695","13,399","12,320","22,002","13,310","10,387","7,486","5,529","26,765"
2020년12월_남_연령구간인구수,"230,279","17,820","18,811","13,804","11,288","13,681","16,282","12,700","14,695","13,399","12,320","22,002","13,310","10,387","7,486","5,529","26,765"
2020년12월_남_0~9세,"15,210","1,238","1,249",569,532,809,913,615,"1,140","1,690",533,"1,364",787,558,374,361,"2,478"
2020년12월_남_10~19세,"19,756","1,172","1,414",919,821,"1,237","1,388",780,"1,381","1,173",834,"1,770","1,113",941,617,406,"3,790"
2020년12월_남_20~29세,"32,284","2,383","2,664","2,184","1,912","2,101","2,193","2,148","1,925","1,396","1,845","3,117","2,003","1,524","1,046",763,"3,080"
2020년12월_남_30~39세,"33,907","3,034","2,665","2,031","1,618","1,929","2,114","2,082","2,526","2,387","1,787","3,249","2,080","1,473","1,041",885,"3,006"
2020년12월_남_40~49세,"37,846","2,941","2,908","2,038","1,668","2,263","2,575","2,020","2,565","2,659","1,849","3,793","2,070","1,617","1,106",759,"5,015"
2020년12월_남_50~59세,"37,204","2,812","3,169","2,286","1,856","2,248","2,854","2,003","2,234","1,766","2,130","3,589","2,098","1,682","1,262",998,"4,217"
2020년12월_남_60~69세,"29,729","2,292","2,540","2,062","1,607","1,685","2,312","1,570","1,572","1,308","1,742","2,780","1,787","1,532","1,155",832,"2,953"
2020년12월_남_70~79세,"17,264","1,378","1,507","1,235",942,987,"1,364","1,022",976,727,"1,103","1,710","1,001",749,640,381,"1,542"
2020년12월_남_80~89세,"6,400",522,617,443,300,383,516,421,333,260,450,583,343,275,224,130,600
2020년12월_남_90~99세,597,41,68,33,31,31,44,32,43,25,42,43,27,31,17,12,77
2020년12월_남_100세 이상,82,7,10,4,1,8,9,7,0,8,5,4,1,5,4,2,7
2020년12월_여_총인구수,"249,556","19,576","20,922","14,637","11,879","15,204","16,467","14,540","16,268","14,170","12,898","24,554","14,237","10,418","7,869","5,660","30,257"
2020년12월_여_연령구간인구수,"249,556","19,576","20,922","14,637","11,879","15,204","16,467","14,540","16,268","14,170","12,898","24,554","14,237","10,418","7,869","5,660","30,257"
2020년12월_여_0~9세,"14,494","1,247","1,149",571,466,767,895,577,"1,111","1,575",458,"1,334",837,531,369,320,"2,287"
2020년12월_여_10~19세,"18,920","1,168","1,280",891,775,"1,226","1,482",877,"1,253","1,096",801,"1,745","1,006",748,585,357,"3,630"
2020년12월_여_20~29세,"34,774","2,685","2,808","2,163","1,840","2,273","2,248","2,748","2,282","1,366","1,796","3,416","1,919","1,411","1,065",729,"4,025"
2020년12월_여_30~39세,"34,595","3,031","2,778","1,829","1,438","1,989","2,004","2,109","2,630","2,666","1,600","3,452","2,023","1,325",986,852,"3,883"
2020년12월_여_40~49세,"38,782","2,893","3,111","1,915","1,662","2,453","2,553","2,088","2,662","2,529","1,756","3,814","2,131","1,551","1,144",759,"5,761"
2020년12월_여_50~59세,"40,070","3,081","3,603","2,643","2,157","2,552","2,812","2,137","2,350","1,847","2,110","4,059","2,399","1,826","1,321",981,"4,192"
2020년12월_여_60~69세,"34,709","2,811","3,066","2,347","1,872","1,996","2,317","1,965","2,041","1,584","2,027","3,516","2,062","1,630","1,269",866,"3,340"
2020년12월_여_70~79세,"21,857","1,769","2,013","1,531","1,163","1,324","1,397","1,369","1,286",986,"1,527","2,160","1,263",905,773,497,"1,894"
2020년12월_여_80~89세,"9,497",741,955,649,415,528,635,578,554,445,699,897,518,426,292,254,911
2020년12월_여_90~99세,"1,515",132,135,90,78,85,112,77,89,61,109,140,71,55,59,42,180
2020년12월_여_100세 이상,343,18,24,8,13,11,12,15,10,15,15,21,8,10,6,3,154
