카테고리,인천광역시 중구,인천광역시 중구 연안동,인천광역시 중구 신포동,인천광역시 중구 신흥동,인천광역시 중구 도원동,인천광역시 중구 율목동,인천광역시 중구 동인천동,인천광역시 중구 북성동,인천광역시 중구 송월동,인천광역시 중구 영종동,인천광역시 중구 영종1동,인천광역시 중구 운서동,인천광역시 중구 용유동
2020년01월_계_총인구수,"136,013","6,543","5,269","13,469","4,159","3,544","6,052","2,985","4,621","15,326","40,878","28,953","4,214"
2020년01월_계_연령구간인구수,"136,013","6,543","5,269","13,469","4,159","3,544","6,052","2,985","4,621","15,326","40,878","28,953","4,214"
2020년01월_계_0~9세,"12,153",269,260,957,161,147,211,92,229,960,"6,949","1,825",93
2020년01월_계_10~19세,"12,383",401,368,"1,173",322,219,325,173,347,"1,222","4,383","3,328",122
2020년01월_계_20~29세,"18,823",694,539,"1,614",437,403,645,318,534,"2,175","3,757","7,414",293
2020년01월_계_30~39세,"20,891",663,529,"1,709",422,351,698,270,475,"2,231","8,792","4,433",318
2020년01월_계_40~49세,"24,012",930,848,"2,095",610,514,792,399,643,"2,529","8,687","5,430",535
2020년01월_계_50~59세,"19,646","1,360",908,"2,296",752,665,"1,158",561,861,"2,651","4,105","3,359",970
2020년01월_계_60~69세,"14,984","1,235",821,"1,922",719,621,"1,092",554,765,"2,105","2,520","1,592","1,038"
2020년01월_계_70~79세,"8,985",653,628,"1,157",517,431,717,412,520,962,"1,247","1,141",600
2020년01월_계_80~89세,"3,476",277,301,463,183,155,337,171,201,403,387,393,205
2020년01월_계_90~99세,586,57,61,78,33,32,66,26,35,77,49,36,36
2020년01월_계_100세 이상,74,4,6,5,3,6,11,9,11,11,2,2,4
2020년01월_남_총인구수,"70,468","3,545","2,673","6,840","2,120","1,828","3,203","1,539","2,299","8,494","20,477","15,086","2,364"
2020년01월_남_연령구간인구수,"70,468","3,545","2,673","6,840","2,120","1,828","3,203","1,539","2,299","8,494","20,477","15,086","2,364"
2020년01월_남_0~9세,"6,279",143,145,490,74,87,96,60,123,499,"3,586",937,39
2020년01월_남_10~19세,"6,409",192,189,621,183,104,175,85,168,643,"2,227","1,759",63
2020년01월_남_20~29세,"9,573",412,297,836,243,221,356,186,290,"1,254","1,802","3,484",192
2020년01월_남_30~39세,"11,239",389,279,911,232,197,423,157,265,"1,325","4,232","2,629",200
2020년01월_남_40~49세,"13,216",555,462,"1,110",338,288,472,216,360,"1,499","4,648","2,905",363
2020년01월_남_50~59세,"10,763",784,498,"1,212",397,374,669,316,446,"1,491","2,090","1,922",564
2020년01월_남_60~69세,"7,420",642,388,964,343,308,549,269,350,"1,147","1,131",780,549
2020년01월_남_70~79세,"4,147",313,286,503,233,190,331,175,220,475,611,496,314
2020년01월_남_80~89세,"1,249",99,109,176,65,53,111,61,61,142,137,163,72
2020년01월_남_90~99세,147,15,17,15,12,5,18,12,10,14,12,9,8
2020년01월_남_100세 이상,26,1,3,2,0,1,3,2,6,5,1,2,0
2020년01월_여_총인구수,"65,545","2,998","2,596","6,629","2,039","1,716","2,849","1,446","2,322","6,832","20,401","13,867","1,850"
2020년01월_여_연령구간인구수,"65,545","2,998","2,596","6,629","2,039","1,716","2,849","1,446","2,322","6,832","20,401","13,867","1,850"
2020년01월_여_0~9세,"5,874",126,115,467,87,60,115,32,106,461,"3,363",888,54
2020년01월_여_10~19세,"5,974",209,179,552,139,115,150,88,179,579,"2,156","1,569",59
2020년01월_여_20~29세,"9,250",282,242,778,194,182,289,132,244,921,"1,955","3,930",101
2020년01월_여_30~39세,"9,652",274,250,798,190,154,275,113,210,906,"4,560","1,804",118
2020년01월_여_40~49세,"10,796",375,386,985,272,226,320,183,283,"1,030","4,039","2,525",172
2020년01월_여_50~59세,"8,883",576,410,"1,084",355,291,489,245,415,"1,160","2,015","1,437",406
2020년01월_여_60~69세,"7,564",593,433,958,376,313,543,285,415,958,"1,389",812,489
2020년01월_여_70~79세,"4,838",340,342,654,284,241,386,237,300,487,636,645,286
2020년01월_여_80~89세,"2,227",178,192,287,118,102,226,110,140,261,250,230,133
2020년01월_여_90~99세,439,42,44,63,21,27,48,14,25,63,37,27,28
2020년01월_여_100세 이상,48,3,3,3,3,5,8,7,5,6,1,0,4
