,경상남도 거제시,경상남도 거제시 일운면,경상남도 거제시 동부면,경상남도 거제시 남부면,경상남도 거제시 거제면,경상남도 거제시 둔덕면,경상남도 거제시 사등면,경상남도 거제시 사등면가조출장소,경상남도 거제시 연초면,경상남도 거제시 하청면,경상남도 거제시 하청면칠천출장소,경상남도 거제시 장목면,경상남도 거제시 장목면외포출장소,경상남도 거제시 장승포동,경상남도 거제시 능포동,경상남도 거제시 아주동,경상남도 거제시 옥포1동,경상남도 거제시 옥포2동,경상남도 거제시 장평동,경상남도 거제시 고현동,경상남도 거제시 상문동,경상남도 거제시 수양동
2020년08월_계_총인구수,"246,402","7,858","3,157","1,604","7,334","2,981","12,241","1,119","8,351","3,656","1,101","3,202","1,398","6,391","9,603","27,470","7,266","26,577","20,603","36,055","34,733","23,702"
2020년08월_계_연령구간인구수,"246,402","7,858","3,157","1,604","7,334","2,981","12,241","1,119","8,351","3,656","1,101","3,202","1,398","6,391","9,603","27,470","7,266","26,577","20,603","36,055","34,733","23,702"
2020년08월_계_0~9세,"27,507",556,83,29,429,65,"1,530",38,533,199,27,82,60,435,570,"4,669",618,"2,632","1,615","3,700","6,034","3,603"
2020년08월_계_10~19세,"27,935",644,127,63,599,161,"1,111",52,684,277,29,117,73,666,992,"3,340",630,"3,093","2,291","4,355","4,899","3,732"
2020년08월_계_20~29세,"24,479",687,246,84,570,228,948,72,791,301,57,230,76,687,"1,037","2,446",844,"2,914","2,831","4,157","3,049","2,224"
2020년08월_계_30~39세,"37,909",837,223,88,655,152,"1,900",79,940,336,69,186,102,719,981,"6,218","1,096","3,806","3,416","5,339","6,970","3,797"
2020년08월_계_40~49세,"47,596","1,244",372,160,991,317,"2,193",114,"1,432",481,110,396,178,"1,234","1,677","5,918","1,343","4,991","4,462","7,092","7,456","5,435"
2020년08월_계_50~59세,"38,852","1,591",639,341,"1,312",595,"1,907",240,"1,696",674,208,613,249,"1,265","1,973","2,891","1,334","4,809","3,700","5,998","3,884","2,933"
2020년08월_계_60~69세,"25,688","1,308",701,389,"1,362",709,"1,437",285,"1,269",697,264,675,307,839,"1,544","1,388",983,"3,143","1,669","3,775","1,633","1,311"
2020년08월_계_70~79세,"10,717",616,482,279,810,463,808,164,607,413,206,526,216,363,589,401,298,840,443,"1,178",574,441
2020년08월_계_80~89세,"4,898",330,256,151,500,250,354,64,346,233,108,329,116,158,206,168,105,300,144,396,192,192
2020년08월_계_90~99세,777,41,27,20,97,39,49,11,52,44,23,47,20,17,30,31,15,47,31,63,41,32
2020년08월_계_100세 이상,44,4,1,0,9,2,4,0,1,1,0,1,1,8,4,0,0,2,1,2,1,2
2020년08월_남_총인구수,"129,473","3,990","1,629",812,"3,610","1,535","6,382",572,"4,591","1,903",554,"1,620",704,"3,540","5,198","14,776","3,937","13,871","11,817","18,606","17,669","12,157"
