,경기도 양주시,경기도 양주시 백석읍,경기도 양주시 은현면,경기도 양주시 남면,경기도 양주시 광적면,경기도 양주시 장흥면,경기도 양주시 양주1동,경기도 양주시 양주2동,경기도 양주시 회천1동,경기도 양주시 회천2동,경기도 양주시 회천3동,경기도 양주시 회천4동
2021년11월_계_총인구수,"236,302","26,328","5,826","6,989","11,885","10,837","5,252","50,061","9,740","27,292","27,354","54,738"
2021년11월_계_연령구간인구수,"236,302","26,328","5,826","6,989","11,885","10,837","5,252","50,061","9,740","27,292","27,354","54,738"
2021년11월_계_0~9세,"19,736","1,256",143,388,599,498,206,"4,423",662,"1,862","2,160","7,539"
2021년11월_계_10~19세,"24,283","2,426",292,405,836,491,261,"6,939",703,"2,617","3,323","5,990"
2021년11월_계_20~29세,"27,738","3,228",644,795,"1,248","1,146",538,"5,501","1,502","3,396","3,893","5,847"
2021년11월_계_30~39세,"28,193","2,280",448,780,"1,129","1,096",435,"5,008","1,234","2,909","2,982","9,892"
2021년11월_계_40~49세,"39,862","3,781",631,811,"1,606","1,181",594,"9,976","1,297","4,223","4,822","10,940"
2021년11월_계_50~59세,"39,489","5,176","1,213","1,198","2,466","1,865","1,006","7,777","1,770","5,434","4,791","6,793"
2021년11월_계_60~69세,"31,459","4,564","1,407","1,466","2,312","2,337","1,128","5,483","1,446","4,013","2,689","4,614"
2021년11월_계_70~79세,"16,549","2,273",660,690,"1,046","1,341",675,"3,368",732,"1,905","1,619","2,240"
2021년11월_계_80~89세,"7,838","1,173",334,378,561,710,361,"1,404",345,838,959,775
2021년11월_계_90~99세,"1,119",167,54,77,81,169,47,175,43,95,109,102
2021년11월_계_100세 이상,36,4,0,1,1,3,1,7,6,0,7,6
2021년11월_남_총인구수,"119,796","13,319","3,312","3,894","6,433","5,562","2,763","24,511","5,133","13,817","13,566","27,486"
2021년11월_남_연령구간인구수,"119,796","13,319","3,312","3,894","6,433","5,562","2,763","24,511","5,133","13,817","13,566","27,486"
2021년11월_남_0~9세,"10,064",604,70,190,303,270,105,"2,220",338,967,"1,119","3,878"
2021년11월_남_10~19세,"12,362","1,262",160,192,458,270,145,"3,532",377,"1,346","1,695","2,925"
2021년11월_남_20~29세,"14,901","1,759",384,525,737,701,307,"2,779",848,"1,804","2,043","3,014"
2021년11월_남_30~39세,"14,553","1,234",294,469,638,598,244,"2,457",691,"1,540","1,506","4,882"
2021년11월_남_40~49세,"20,525","1,927",396,497,925,646,332,"4,907",690,"2,161","2,367","5,677"
2021년11월_남_50~59세,"20,685","2,704",737,695,"1,368",950,533,"4,037",952,"2,793","2,456","3,460"
2021년11월_남_60~69세,"15,773","2,320",794,828,"1,261","1,138",641,"2,461",749,"2,034","1,316","2,231"
2021년11월_남_70~79세,"7,725","1,066",345,340,511,673,306,"1,524",342,845,650,"1,123"
2021년11월_남_80~89세,"2,964",416,121,140,214,282,142,548,138,308,378,277
2021년11월_남_90~99세,235,27,11,18,18,32,8,46,6,19,31,19
2021년11월_남_100세 이상,9,0,0,0,0,2,0,0,2,0,5,0
2021년11월_여_총인구수,"116,506","13,009","2,514","3,095","5,452","5,275","2,489","25,550","4,607","13,475","13,788","27,252"
2021년11월_여_연령구간인구수,"116,506","13,009","2,514","3,095","5,452","5,275","2,489","25,550","4,607","13,475","13,788","27,252"
2021년11월_여_0~9세,"9,672",652,73,198,296,228,101,"2,203",324,895,"1,041","3,661"
2021년11월_여_10~19세,"11,921","1,164",132,213,378,221,116,"3,407",326,"1,271","1,628","3,065"
2021년11월_여_20~29세,"12,837","1,469",260,270,511,445,231,"2,722",654,"1,592","1,850","2,833"
2021년11월_여_30~39세,"13,640","1,046",154,311,491,498,191,"2,551",543,"1,369","1,476","5,010"
2021년11월_여_40~49세,"19,337","1,854",235,314,681,535,262,"5,069",607,"2,062","2,455","5,263"
2021년11월_여_50~59세,"18,804","2,472",476,503,"1,098",915,473,"3,740",818,"2,641","2,335","3,333"
2021년11월_여_60~69세,"15,686","2,244",613,638,"1,051","1,199",487,"3,022",697,"1,979","1,373","2,383"
2021년11월_여_70~79세,"8,824","1,207",315,350,535,668,369,"1,844",390,"1,060",969,"1,117"
2021년11월_여_80~89세,"4,874",757,213,238,347,428,219,856,207,530,581,498
2021년11월_여_90~99세,884,140,43,59,63,137,39,129,37,76,78,83
2021년11월_여_100세 이상,27,4,0,1,1,1,1,7,4,0,2,6
