,경상남도 산청군,경상남도 산청군 산청읍,경상남도 산청군 차황면,경상남도 산청군 오부면,경상남도 산청군 생초면,경상남도 산청군 금서면,경상남도 산청군 삼장면,경상남도 산청군 시천면,경상남도 산청군 단성면,경상남도 산청군 신안면,경상남도 산청군 생비량면,경상남도 산청군 신등면
2021년11월_계_총인구수,"34,394","6,726","1,412","1,059","1,998","2,871","1,818","4,098","5,629","5,576","1,154","2,053"
2021년11월_계_연령구간인구수,"34,394","6,726","1,412","1,059","1,998","2,871","1,818","4,098","5,629","5,576","1,154","2,053"
2021년11월_계_0~9세,"1,188",346,41,31,42,84,25,100,161,290,33,35
2021년11월_계_10~19세,"2,011",541,38,46,86,156,69,274,201,453,44,103
2021년11월_계_20~29세,"2,264",602,55,39,98,150,96,270,341,485,43,85
2021년11월_계_30~39세,"1,944",567,57,35,75,172,63,189,264,398,55,69
2021년11월_계_40~49세,"3,307",797,101,92,124,252,134,433,512,616,84,162
2021년11월_계_50~59세,"6,311","1,131",238,163,302,529,386,878,"1,125","1,045",167,347
2021년11월_계_60~69세,"7,777","1,226",358,223,474,618,471,975,"1,450","1,172",311,499
2021년11월_계_70~79세,"5,167",847,262,195,407,468,324,561,879,594,227,403
2021년11월_계_80~89세,"3,819",564,227,200,336,373,222,362,603,463,160,309
2021년11월_계_90~99세,591,102,34,34,53,67,27,54,90,60,30,40
2021년11월_계_100세 이상,15,3,1,1,1,2,1,2,3,0,0,1
2021년11월_남_총인구수,"16,923","3,263",697,508,964,"1,411",890,"2,047","2,834","2,732",557,"1,020"
2021년11월_남_연령구간인구수,"16,923","3,263",697,508,964,"1,411",890,"2,047","2,834","2,732",557,"1,020"
2021년11월_남_0~9세,603,169,22,12,28,49,16,46,93,138,14,16
2021년11월_남_10~19세,"1,088",284,27,27,50,83,44,157,103,227,22,64
2021년11월_남_20~29세,"1,296",339,28,21,61,86,54,152,212,272,25,46
2021년11월_남_30~39세,"1,044",293,35,15,45,91,39,91,153,209,32,41
2021년11월_남_40~49세,"1,824",402,57,58,84,145,76,228,302,310,57,105
2021년11월_남_50~59세,"3,464",593,154,103,178,302,197,483,598,541,103,212
2021년11월_남_60~69세,"4,051",627,184,117,243,324,245,485,772,626,160,268
2021년11월_남_70~79세,"2,309",377,120,80,162,202,141,260,412,274,98,183
2021년11월_남_80~89세,"1,124",160,61,69,102,112,74,127,180,126,40,73
2021년11월_남_90~99세,118,19,9,6,10,17,4,17,9,9,6,12
2021년11월_남_100세 이상,2,0,0,0,1,0,0,1,0,0,0,0
2021년11월_여_총인구수,"17,471","3,463",715,551,"1,034","1,460",928,"2,051","2,795","2,844",597,"1,033"
2021년11월_여_연령구간인구수,"17,471","3,463",715,551,"1,034","1,460",928,"2,051","2,795","2,844",597,"1,033"
2021년11월_여_0~9세,585,177,19,19,14,35,9,54,68,152,19,19
2021년11월_여_10~19세,923,257,11,19,36,73,25,117,98,226,22,39
2021년11월_여_20~29세,968,263,27,18,37,64,42,118,129,213,18,39
2021년11월_여_30~39세,900,274,22,20,30,81,24,98,111,189,23,28
2021년11월_여_40~49세,"1,483",395,44,34,40,107,58,205,210,306,27,57
2021년11월_여_50~59세,"2,847",538,84,60,124,227,189,395,527,504,64,135
2021년11월_여_60~69세,"3,726",599,174,106,231,294,226,490,678,546,151,231
2021년11월_여_70~79세,"2,858",470,142,115,245,266,183,301,467,320,129,220
2021년11월_여_80~89세,"2,695",404,166,131,234,261,148,235,423,337,120,236
2021년11월_여_90~99세,473,83,25,28,43,50,23,37,81,51,24,28
2021년11월_여_100세 이상,13,3,1,1,0,2,1,1,3,0,0,1
