카테고리,경상북도 울릉군,경상북도 울릉군 울릉읍,경상북도 울릉군 서면,경상북도 울릉군 서면태하출장소,경상북도 울릉군 북면
2020년01월_계_총인구수,"9,521","6,701",906,495,"1,419"
2020년01월_계_연령구간인구수,"9,521","6,701",906,495,"1,419"
2020년01월_계_0~9세,446,324,48,15,59
2020년01월_계_10~19세,509,400,42,16,51
2020년01월_계_20~29세,892,649,77,39,127
2020년01월_계_30~39세,973,716,71,37,149
2020년01월_계_40~49세,"1,366","1,031",101,44,190
2020년01월_계_50~59세,"1,975","1,402",202,99,272
2020년01월_계_60~69세,"1,764","1,199",174,111,280
2020년01월_계_70~79세,"1,015",662,108,82,163
2020년01월_계_80~89세,501,275,77,39,110
2020년01월_계_90~99세,69,32,6,13,18
2020년01월_계_100세 이상,11,11,0,0,0
2020년01월_남_총인구수,"5,190","3,656",487,262,785
2020년01월_남_연령구간인구수,"5,190","3,656",487,262,785
2020년01월_남_0~9세,230,171,21,9,29
2020년01월_남_10~19세,254,185,31,11,27
2020년01월_남_20~29세,537,390,44,20,83
2020년01월_남_30~39세,576,423,38,22,93
2020년01월_남_40~49세,846,627,62,29,128
2020년01월_남_50~59세,"1,130",801,125,54,150
2020년01월_남_60~69세,931,634,97,56,144
2020년01월_남_70~79세,468,306,41,42,79
2020년01월_남_80~89세,195,107,26,15,47
2020년01월_남_90~99세,18,7,2,4,5
2020년01월_남_100세 이상,5,5,0,0,0
2020년01월_여_총인구수,"4,331","3,045",419,233,634
2020년01월_여_연령구간인구수,"4,331","3,045",419,233,634
2020년01월_여_0~9세,216,153,27,6,30
2020년01월_여_10~19세,255,215,11,5,24
2020년01월_여_20~29세,355,259,33,19,44
2020년01월_여_30~39세,397,293,33,15,56
2020년01월_여_40~49세,520,404,39,15,62
2020년01월_여_50~59세,845,601,77,45,122
2020년01월_여_60~69세,833,565,77,55,136
2020년01월_여_70~79세,547,356,67,40,84
2020년01월_여_80~89세,306,168,51,24,63
2020년01월_여_90~99세,51,25,4,9,13
2020년01월_여_100세 이상,6,6,0,0,0
