,경상남도 거제시,경상남도 거제시 일운면,경상남도 거제시 동부면,경상남도 거제시 남부면,경상남도 거제시 거제면,경상남도 거제시 둔덕면,경상남도 거제시 사등면,경상남도 거제시 사등면가조출장소,경상남도 거제시 연초면,경상남도 거제시 하청면,경상남도 거제시 하청면칠천출장소,경상남도 거제시 장목면,경상남도 거제시 장목면외포출장소,경상남도 거제시 장승포동,경상남도 거제시 능포동,경상남도 거제시 아주동,경상남도 거제시 옥포1동,경상남도 거제시 옥포2동,경상남도 거제시 장평동,경상남도 거제시 고현동,경상남도 거제시 상문동,경상남도 거제시 수양동
2021년06월_계_총인구수,"243,200","8,014","3,114","1,602","7,168","2,900","11,997","1,106","8,150","3,573","1,079","3,132","1,403","6,092","9,258","27,042","7,382","26,266","20,722","34,997","34,434","23,769"
2021년06월_계_연령구간인구수,"243,200","8,014","3,114","1,602","7,168","2,900","11,997","1,106","8,150","3,573","1,079","3,132","1,403","6,092","9,258","27,042","7,382","26,266","20,722","34,997","34,434","23,769"
2021년06월_계_0~9세,"25,335",549,84,27,378,64,"1,363",34,463,178,30,73,50,383,503,"4,326",608,"2,371","1,567","3,319","5,533","3,432"
2021년06월_계_10~19세,"27,837",627,116,60,568,151,"1,135",51,656,267,29,110,69,647,925,"3,504",646,"3,018","2,216","4,214","5,073","3,755"
2021년06월_계_20~29세,"23,629",657,220,84,542,202,924,64,743,279,47,197,73,644,965,"2,274",845,"2,847","2,794","4,038","2,968","2,222"
2021년06월_계_30~39세,"34,684",830,212,89,582,149,"1,703",79,835,291,63,175,97,621,857,"5,640","1,062","3,499","3,233","4,783","6,351","3,533"
2021년06월_계_40~49세,"47,446","1,243",341,153,957,304,"2,204",108,"1,346",448,104,372,181,"1,166","1,591","6,163","1,345","4,972","4,415","6,871","7,622","5,540"
2021년06월_계_50~59세,"39,362","1,602",612,333,"1,292",543,"1,880",228,"1,686",656,204,573,270,"1,202","1,879","2,984","1,364","4,856","3,915","5,981","4,175","3,127"
2021년06월_계_60~69세,"27,882","1,479",736,394,"1,413",733,"1,551",299,"1,399",723,265,726,317,881,"1,668","1,535","1,075","3,411","1,918","4,055","1,853","1,451"
2021년06월_계_70~79세,"11,084",630,498,283,826,456,812,163,617,433,200,523,200,366,620,421,316,915,470,"1,245",615,475
2021년06월_계_80~89세,"5,099",339,257,158,508,254,368,68,345,250,117,333,126,163,224,168,107,325,163,426,198,202
2021년06월_계_90~99세,813,57,37,21,97,42,55,12,59,47,20,46,20,18,25,27,14,51,28,64,44,29
2021년06월_계_100세 이상,29,1,1,0,5,2,2,0,1,1,0,4,0,1,1,0,0,1,3,1,2,3
2021년06월_남_총인구수,"127,510","4,097","1,618",805,"3,547","1,506","6,237",564,"4,502","1,850",544,"1,600",695,"3,392","5,002","14,486","3,981","13,654","11,784","18,018","17,490","12,138"
2021년06월_남_연령구간인구수,"127,510","4,097","1,618",805,"3,547","1,506","6,237",564,"4,502","1,850",544,"1,600",695,"3,392","5,002","14,486","3,981","13,654","11,784","18,018","17,490","12,138"
2021년06월_남_0~9세,"13,130",279,50,13,202,37,683,17,261,94,19,40,26,209,277,"2,236",310,"1,211",825,"1,745","2,795","1,801"
2021년06월_남_10~19세,"14,554",331,64,33,279,84,598,31,353,147,15,66,31,343,508,"1,815",346,"1,617","1,155","2,177","2,609","1,952"
2021년06월_남_20~29세,"13,355",382,122,50,306,132,530,36,447,138,25,116,44,380,544,"1,298",519,"1,553","1,676","2,254","1,562","1,241"
