카테고리,경상남도 하동군,경상남도 하동군 하동읍,경상남도 하동군 화개면,경상남도 하동군 악양면,경상남도 하동군 적량면,경상남도 하동군 횡천면,경상남도 하동군 고전면,경상남도 하동군 금남면,경상남도 하동군 진교면,경상남도 하동군 양보면,경상남도 하동군 북천면,경상남도 하동군 청암면,경상남도 하동군 옥종면,경상남도 하동군 금성면
2020년05월_계_총인구수,"45,628","10,162","3,155","3,550","1,987","1,915","2,332","3,525","6,182","1,825","1,807","1,589","4,412","3,187"
2020년05월_계_연령구간인구수,"45,628","10,162","3,155","3,550","1,987","1,915","2,332","3,525","6,182","1,825","1,807","1,589","4,412","3,187"
2020년05월_계_0~9세,"2,003",617,101,105,60,53,84,101,378,33,79,79,177,136
2020년05월_계_10~19세,"3,004",915,228,192,94,75,118,135,487,78,89,171,239,183
2020년05월_계_20~29세,"3,671","1,057",242,215,131,126,163,293,512,110,105,95,290,332
2020년05월_계_30~39세,"2,934",870,136,156,99,107,124,191,470,81,118,86,252,244
2020년05월_계_40~49세,"5,273","1,438",382,369,202,165,233,354,844,155,167,145,416,403
2020년05월_계_50~59세,"8,631","1,853",728,728,369,371,416,681,"1,091",322,308,275,867,622
2020년05월_계_60~69세,"8,597","1,595",587,738,409,408,488,737,"1,056",367,360,379,929,544
2020년05월_계_70~79세,"6,441","1,138",475,586,313,301,358,584,745,343,309,207,657,425
2020년05월_계_80~89세,"4,357",597,233,385,275,266,289,387,509,287,237,128,499,265
2020년05월_계_90~99세,693,80,41,73,35,42,57,60,87,46,33,23,83,33
2020년05월_계_100세 이상,24,2,2,3,0,1,2,2,3,3,2,1,3,0
2020년05월_남_총인구수,"22,723","5,001","1,606","1,749",971,932,"1,156","1,785","3,058",892,870,829,"2,200","1,674"
2020년05월_남_연령구간인구수,"22,723","5,001","1,606","1,749",971,932,"1,156","1,785","3,058",892,870,829,"2,200","1,674"
2020년05월_남_0~9세,"1,057",314,51,64,38,25,49,54,183,20,33,50,98,78
2020년05월_남_10~19세,"1,597",458,126,112,55,41,56,66,256,30,52,112,131,102
2020년05월_남_20~29세,"2,181",602,134,133,77,73,105,194,305,73,56,55,160,214
2020년05월_남_30~39세,"1,629",462,76,84,50,61,80,127,243,48,65,46,134,153
2020년05월_남_40~49세,"2,945",757,204,201,117,96,135,207,467,91,98,85,248,239
2020년05월_남_50~59세,"4,691",949,417,393,199,195,235,387,582,182,174,142,483,353
2020년05월_남_60~69세,"4,417",792,307,386,215,215,255,358,534,188,197,195,489,286
2020년05월_남_70~79세,"2,738",470,198,242,124,136,147,252,316,164,122,106,292,169
2020년05월_남_80~89세,"1,322",182,84,126,84,77,85,131,158,80,63,34,146,72
2020년05월_남_90~99세,142,15,8,8,12,12,9,9,14,15,9,4,19,8
2020년05월_남_100세 이상,4,0,1,0,0,1,0,0,0,1,1,0,0,0
2020년05월_여_총인구수,"22,905","5,161","1,549","1,801","1,016",983,"1,176","1,740","3,124",933,937,760,"2,212","1,513"
2020년05월_여_연령구간인구수,"22,905","5,161","1,549","1,801","1,016",983,"1,176","1,740","3,124",933,937,760,"2,212","1,513"
2020년05월_여_0~9세,946,303,50,41,22,28,35,47,195,13,46,29,79,58
2020년05월_여_10~19세,"1,407",457,102,80,39,34,62,69,231,48,37,59,108,81
2020년05월_여_20~29세,"1,490",455,108,82,54,53,58,99,207,37,49,40,130,118
2020년05월_여_30~39세,"1,305",408,60,72,49,46,44,64,227,33,53,40,118,91
2020년05월_여_40~49세,"2,328",681,178,168,85,69,98,147,377,64,69,60,168,164
2020년05월_여_50~59세,"3,940",904,311,335,170,176,181,294,509,140,134,133,384,269
2020년05월_여_60~69세,"4,180",803,280,352,194,193,233,379,522,179,163,184,440,258
2020년05월_여_70~79세,"3,703",668,277,344,189,165,211,332,429,179,187,101,365,256
2020년05월_여_80~89세,"3,035",415,149,259,191,189,204,256,351,207,174,94,353,193
2020년05월_여_90~99세,551,65,33,65,23,30,48,51,73,31,24,19,64,25
2020년05월_여_100세 이상,20,2,1,3,0,0,2,2,3,2,1,1,3,0
