,부산광역시 사상구,부산광역시 사상구 삼락동,부산광역시 사상구 모라제1동,부산광역시 사상구 모라제3동,부산광역시 사상구 덕포제1동,부산광역시 사상구 덕포제2동,부산광역시 사상구 괘법동,부산광역시 사상구 감전동,부산광역시 사상구 주례제1동,부산광역시 사상구 주례제2동,부산광역시 사상구 주례제3동,부산광역시 사상구 학장동,부산광역시 사상구 엄궁동
2020년06월_계_총인구수,"215,709","6,145","28,568","11,284","9,131","13,403","21,845","14,026","15,836","23,694","13,594","29,574","28,609"
2020년06월_계_연령구간인구수,"215,709","6,145","28,568","11,284","9,131","13,403","21,845","14,026","15,836","23,694","13,594","29,574","28,609"
2020년06월_계_0~9세,"13,170",231,"1,672",330,551,790,"1,129",567,981,"1,591",799,"2,067","2,462"
2020년06월_계_10~19세,"15,660",331,"2,057",537,682,959,"1,075",764,"1,192","1,885","1,089","2,358","2,731"
2020년06월_계_20~29세,"29,474",677,"3,755",941,"1,093","1,796","3,946","1,764","2,218","4,089","1,867","3,586","3,742"
2020년06월_계_30~39세,"26,182",608,"3,405",880,"1,065","1,542","3,155","1,646","1,892","3,138","1,568","3,663","3,620"
2020년06월_계_40~49세,"30,142",767,"3,850","1,366","1,283","1,731","2,736","1,862","2,078","3,506","1,850","4,415","4,698"
2020년06월_계_50~59세,"42,174","1,364","5,708","2,261","1,874","2,845","4,313","2,956","3,273","4,012","2,532","5,544","5,492"
2020년06월_계_60~69세,"35,759","1,234","5,023","2,490","1,468","2,366","3,520","2,656","2,645","3,233","2,327","4,970","3,827"
2020년06월_계_70~79세,"16,758",686,"2,260","1,679",799,"1,014","1,492","1,340","1,136","1,604","1,096","2,163","1,489"
2020년06월_계_80~89세,"5,677",219,747,724,279,314,418,409,373,569,423,715,487
2020년06월_계_90~99세,645,23,75,74,33,44,47,54,46,60,43,87,59
2020년06월_계_100세 이상,68,5,16,2,4,2,14,8,2,7,0,6,2
2020년06월_남_총인구수,"109,108","3,297","14,383","5,392","4,681","6,799","11,286","7,435","8,105","11,905","6,688","14,786","14,351"
2020년06월_남_연령구간인구수,"109,108","3,297","14,383","5,392","4,681","6,799","11,286","7,435","8,105","11,905","6,688","14,786","14,351"
2020년06월_남_0~9세,"6,693",124,818,163,278,408,567,295,497,794,411,"1,070","1,268"
2020년06월_남_10~19세,"8,203",174,"1,081",293,360,495,575,412,622,973,566,"1,241","1,411"
2020년06월_남_20~29세,"15,813",387,"2,073",547,632,963,"1,942",952,"1,225","2,108",971,"1,972","2,041"
2020년06월_남_30~39세,"14,057",339,"1,843",488,569,815,"1,736",962,"1,022","1,670",864,"1,904","1,845"
2020년06월_남_40~49세,"15,760",452,"1,991",796,685,914,"1,494","1,066","1,046","1,836",922,"2,249","2,309"
2020년06월_남_50~59세,"21,039",766,"2,763","1,181","1,005","1,390","2,240","1,585","1,611","1,926","1,171","2,695","2,706"
2020년06월_남_60~69세,"17,799",658,"2,462","1,106",698,"1,202","1,847","1,382","1,379","1,615","1,113","2,436","1,901"
2020년06월_남_70~79세,"7,775",320,"1,081",625,357,501,724,621,568,778,511,971,718
2020년06월_남_80~89세,"1,861",72,257,183,91,106,156,150,129,194,152,228,143
2020년06월_남_90~99세,99,5,14,9,5,4,4,8,5,10,7,19,9
2020년06월_남_100세 이상,9,0,0,1,1,1,1,2,1,1,0,1,0
2020년06월_여_총인구수,"106,601","2,848","14,185","5,892","4,450","6,604","10,559","6,591","7,731","11,789","6,906","14,788","14,258"
2020년06월_여_연령구간인구수,"106,601","2,848","14,185","5,892","4,450","6,604","10,559","6,591","7,731","11,789","6,906","14,788","14,258"
2020년06월_여_0~9세,"6,477",107,854,167,273,382,562,272,484,797,388,997,"1,194"
2020년06월_여_10~19세,"7,457",157,976,244,322,464,500,352,570,912,523,"1,117","1,320"
2020년06월_여_20~29세,"13,661",290,"1,682",394,461,833,"2,004",812,993,"1,981",896,"1,614","1,701"
2020년06월_여_30~39세,"12,125",269,"1,562",392,496,727,"1,419",684,870,"1,468",704,"1,759","1,775"
2020년06월_여_40~49세,"14,382",315,"1,859",570,598,817,"1,242",796,"1,032","1,670",928,"2,166","2,389"
2020년06월_여_50~59세,"21,135",598,"2,945","1,080",869,"1,455","2,073","1,371","1,662","2,086","1,361","2,849","2,786"
2020년06월_여_60~69세,"17,960",576,"2,561","1,384",770,"1,164","1,673","1,274","1,266","1,618","1,214","2,534","1,926"
2020년06월_여_70~79세,"8,983",366,"1,179","1,054",442,513,768,719,568,826,585,"1,192",771
2020년06월_여_80~89세,"3,816",147,490,541,188,208,262,259,244,375,271,487,344
2020년06월_여_90~99세,546,18,61,65,28,40,43,46,41,50,36,68,50
2020년06월_여_100세 이상,59,5,16,1,3,1,13,6,1,6,0,5,2
