카테고리,대전광역시,대전광역시 동구,대전광역시 중구,대전광역시 서구,대전광역시 유성구,대전광역시 대덕구
2021년02월_계_총인구수,"1,462,064","224,103","234,654","476,945","350,374","175,988"
2021년02월_계_연령구간인구수,"1,462,064","224,103","234,654","476,945","350,374","175,988"
2021년02월_계_0~9세,"113,038","15,010","14,839","37,628","34,435","11,126"
2021년02월_계_10~19세,"145,510","19,971","21,768","49,273","38,001","16,497"
2021년02월_계_20~29세,"211,623","30,133","30,806","73,777","52,519","24,388"
2021년02월_계_30~39세,"193,082","25,967","25,834","65,617","55,662","20,002"
2021년02월_계_40~49세,"236,454","34,241","36,578","78,138","60,367","27,130"
2021년02월_계_50~59세,"241,208","36,789","39,461","77,428","53,979","33,551"
2021년02월_계_60~69세,"182,044","33,079","33,975","55,653","34,283","25,054"
2021년02월_계_70~79세,"91,636","19,176","20,656","26,176","13,521","12,107"
2021년02월_계_80~89세,"41,101","8,485","9,343","11,456","6,436","5,381"
2021년02월_계_90~99세,"5,988","1,154","1,307","1,704","1,113",710
2021년02월_계_100세 이상,380,98,87,95,58,42
2021년02월_남_총인구수,"729,663","113,026","115,744","234,558","176,852","89,483"
2021년02월_남_연령구간인구수,"729,663","113,026","115,744","234,558","176,852","89,483"
2021년02월_남_0~9세,"58,062","7,755","7,604","19,404","17,688","5,611"
2021년02월_남_10~19세,"75,235","10,330","11,233","25,424","19,640","8,608"
2021년02월_남_20~29세,"111,005","15,982","15,743","37,579","28,200","13,501"
2021년02월_남_30~39세,"100,790","14,057","13,275","33,548","29,002","10,908"
2021년02월_남_40~49세,"117,977","17,994","18,572","37,846","29,699","13,866"
2021년02월_남_50~59세,"120,216","18,875","19,948","37,462","26,891","17,040"
2021년02월_남_60~69세,"88,425","16,051","16,172","26,730","17,065","12,407"
2021년02월_남_70~79세,"41,708","8,607","9,320","12,028","6,277","5,476"
2021년02월_남_80~89세,"14,752","3,054","3,538","4,123","2,130","1,907"
2021년02월_남_90~99세,"1,404",294,318,396,246,150
2021년02월_남_100세 이상,89,27,21,18,14,9
2021년02월_여_총인구수,"732,401","111,077","118,910","242,387","173,522","86,505"
2021년02월_여_연령구간인구수,"732,401","111,077","118,910","242,387","173,522","86,505"
2021년02월_여_0~9세,"54,976","7,255","7,235","18,224","16,747","5,515"
2021년02월_여_10~19세,"70,275","9,641","10,535","23,849","18,361","7,889"
2021년02월_여_20~29세,"100,618","14,151","15,063","36,198","24,319","10,887"
2021년02월_여_30~39세,"92,292","11,910","12,559","32,069","26,660","9,094"
2021년02월_여_40~49세,"118,477","16,247","18,006","40,292","30,668","13,264"
2021년02월_여_50~59세,"120,992","17,914","19,513","39,966","27,088","16,511"
2021년02월_여_60~69세,"93,619","17,028","17,803","28,923","17,218","12,647"
2021년02월_여_70~79세,"49,928","10,569","11,336","14,148","7,244","6,631"
2021년02월_여_80~89세,"26,349","5,431","5,805","7,333","4,306","3,474"
2021년02월_여_90~99세,"4,584",860,989,"1,308",867,560
2021년02월_여_100세 이상,291,71,66,77,44,33
