카테고리,서울특별시 종로구,서울특별시 종로구 청운효자동,서울특별시 종로구 사직동,서울특별시 종로구 삼청동,서울특별시 종로구 부암동,서울특별시 종로구 평창동,서울특별시 종로구 무악동,서울특별시 종로구 교남동,서울특별시 종로구 가회동,서울특별시 종로구 종로1.2.3.4가동,서울특별시 종로구 종로5.6가동,서울특별시 종로구 이화동,서울특별시 종로구 혜화동,서울특별시 종로구 창신제1동,서울특별시 종로구 창신제2동,서울특별시 종로구 창신제3동,서울특별시 종로구 숭인제1동,서울특별시 종로구 숭인제2동
2020년12월_계_총인구수,"149,384","12,431","9,526","2,640","10,022","18,391","8,546","10,477","4,325","7,256","5,242","7,588","16,799","5,129","8,318","6,925","6,078","9,691"
2020년12월_계_연령구간인구수,"149,384","12,431","9,526","2,640","10,022","18,391","8,546","10,477","4,325","7,256","5,242","7,588","16,799","5,129","8,318","6,925","6,078","9,691"
2020년12월_계_0~9세,"7,527",827,579,105,553,"1,170",694,859,201,188,118,236,689,127,245,381,286,269
2020년12월_계_10~19세,"11,013","1,165",692,191,927,"1,645","1,014",861,343,209,231,428,"1,313",245,507,530,362,350
2020년12월_계_20~29세,"23,416","1,596","1,237",320,"1,340","2,451",936,"1,277",495,880,"1,080","1,680","4,483",609,"1,166",966,808,"2,092"
2020년12월_계_30~39세,"19,943","1,694","1,441",359,"1,239","2,236",943,"1,708",572,942,710,"1,239","2,079",539,894,961,826,"1,561"
2020년12월_계_40~49세,"22,231","2,151","1,478",369,"1,630","2,763","1,505","1,850",768,962,587,972,"2,295",637,"1,103",957,943,"1,261"
2020년12월_계_50~59세,"25,459","1,976","1,560",417,"1,725","3,267","1,419","1,623",685,"1,339",977,"1,106","2,304","1,114","1,833","1,290","1,147","1,677"
2020년12월_계_60~69세,"19,948","1,388","1,195",413,"1,320","2,512","1,003","1,159",588,"1,399",750,946,"1,631","1,030","1,383","1,001",884,"1,346"
2020년12월_계_70~79세,"12,500","1,010",768,281,806,"1,386",650,746,436,834,527,610,"1,250",546,811,540,544,755
2020년12월_계_80~89세,"5,978",529,462,149,392,772,311,325,189,369,215,310,636,229,309,240,232,309
2020년12월_계_90~99세,"1,093",75,93,30,78,166,52,54,38,90,38,47,98,44,53,47,36,54
2020년12월_계_100세 이상,276,20,21,6,12,23,19,15,10,44,9,14,21,9,14,12,10,17
2020년12월_남_총인구수,"72,635","5,779","4,264","1,272","4,772","8,550","3,979","4,848","2,000","4,352","2,838","3,567","8,089","2,775","4,283","3,398","2,960","4,909"
2020년12월_남_연령구간인구수,"72,635","5,779","4,264","1,272","4,772","8,550","3,979","4,848","2,000","4,352","2,838","3,567","8,089","2,775","4,283","3,398","2,960","4,909"
2020년12월_남_0~9세,"3,803",431,291,47,275,607,314,438,100,98,58,121,329,63,140,207,148,136
2020년12월_남_10~19세,"5,495",615,311,111,504,819,466,405,189,111,114,202,660,132,260,256,164,176
2020년12월_남_20~29세,"11,505",793,567,170,692,"1,247",431,607,231,461,553,781,"2,208",333,629,521,418,863
2020년12월_남_30~39세,"9,910",779,616,176,589,"1,033",428,790,265,531,412,603,"1,106",312,519,467,427,857
2020년12월_남_40~49세,"10,834",969,661,178,757,"1,221",709,872,364,599,351,487,"1,097",328,570,464,495,712
2020년12월_남_50~59세,"12,784",918,699,207,782,"1,474",744,780,315,943,554,545,"1,112",624,979,630,564,914
2020년12월_남_60~69세,"9,903",618,557,190,624,"1,193",458,513,271,891,434,446,785,602,698,496,411,716
2020년12월_남_70~79세,"5,518",404,322,132,359,604,265,296,176,490,252,255,504,275,337,244,227,376
2020년12월_남_80~89세,"2,415",222,199,47,163,302,134,127,78,175,93,106,251,85,127,83,92,131
2020년12월_남_90~99세,371,27,35,13,23,42,16,15,7,39,13,18,30,20,21,20,10,22
2020년12월_남_100세 이상,97,3,6,1,4,8,14,5,4,14,4,3,7,1,3,10,4,6
2020년12월_여_총인구수,"76,749","6,652","5,262","1,368","5,250","9,841","4,567","5,629","2,325","2,904","2,404","4,021","8,710","2,354","4,035","3,527","3,118","4,782"
2020년12월_여_연령구간인구수,"76,749","6,652","5,262","1,368","5,250","9,841","4,567","5,629","2,325","2,904","2,404","4,021","8,710","2,354","4,035","3,527","3,118","4,782"
2020년12월_여_0~9세,"3,724",396,288,58,278,563,380,421,101,90,60,115,360,64,105,174,138,133
2020년12월_여_10~19세,"5,518",550,381,80,423,826,548,456,154,98,117,226,653,113,247,274,198,174
2020년12월_여_20~29세,"11,911",803,670,150,648,"1,204",505,670,264,419,527,899,"2,275",276,537,445,390,"1,229"
2020년12월_여_30~39세,"10,033",915,825,183,650,"1,203",515,918,307,411,298,636,973,227,375,494,399,704
2020년12월_여_40~49세,"11,397","1,182",817,191,873,"1,542",796,978,404,363,236,485,"1,198",309,533,493,448,549
2020년12월_여_50~59세,"12,675","1,058",861,210,943,"1,793",675,843,370,396,423,561,"1,192",490,854,660,583,763
2020년12월_여_60~69세,"10,045",770,638,223,696,"1,319",545,646,317,508,316,500,846,428,685,505,473,630
2020년12월_여_70~79세,"6,982",606,446,149,447,782,385,450,260,344,275,355,746,271,474,296,317,379
2020년12월_여_80~89세,"3,563",307,263,102,229,470,177,198,111,194,122,204,385,144,182,157,140,178
2020년12월_여_90~99세,722,48,58,17,55,124,36,39,31,51,25,29,68,24,32,27,26,32
2020년12월_여_100세 이상,179,17,15,5,8,15,5,10,6,30,5,11,14,8,11,2,6,11
