카테고리,경상북도 예천군,경상북도 예천군 예천읍,경상북도 예천군 용문면,경상북도 예천군 감천면,경상북도 예천군 보문면,경상북도 예천군 호명면,경상북도 예천군 유천면,경상북도 예천군 용궁면,경상북도 예천군 개포면,경상북도 예천군 지보면,경상북도 예천군 풍양면,경상북도 예천군 효자면,경상북도 예천군 은풍면
2020년07월_계_총인구수,"55,652","14,981","2,352","2,695","1,711","18,804","2,564","2,480","1,546","2,767","3,212","1,173","1,367"
2020년07월_계_연령구간인구수,"55,652","14,981","2,352","2,695","1,711","18,804","2,564","2,480","1,546","2,767","3,212","1,173","1,367"
2020년07월_계_0~9세,"4,665",810,76,63,54,"3,252",156,54,22,57,56,25,40
2020년07월_계_10~19세,"4,385","1,259",114,87,60,"2,259",108,95,49,84,132,61,77
2020년07월_계_20~29세,"4,102","1,348",98,152,60,"1,642",224,119,52,95,201,44,67
2020년07월_계_30~39세,"5,604","1,188",85,121,82,"3,399",224,118,47,121,122,39,58
2020년07월_계_40~49세,"7,088","1,953",184,170,123,"3,458",234,202,109,207,252,87,109
2020년07월_계_50~59세,"8,138","2,538",366,429,264,"2,178",337,376,225,443,515,246,221
2020년07월_계_60~69세,"9,173","2,827",496,672,406,"1,340",447,569,388,675,721,328,304
2020년07월_계_70~79세,"6,949","1,857",497,513,343,748,424,536,350,582,652,176,271
2020년07월_계_80~89세,"4,879","1,025",390,431,290,461,356,362,276,449,501,145,193
2020년07월_계_90~99세,635,170,42,53,29,64,53,45,27,49,58,21,24
2020년07월_계_100세 이상,34,6,4,4,0,3,1,4,1,5,2,1,3
2020년07월_남_총인구수,"27,369","7,418","1,173","1,327",839,"9,234","1,262","1,206",743,"1,360","1,546",579,682
2020년07월_남_연령구간인구수,"27,369","7,418","1,173","1,327",839,"9,234","1,262","1,206",743,"1,360","1,546",579,682
2020년07월_남_0~9세,"2,369",403,41,35,28,"1,646",83,26,7,33,33,13,21
2020년07월_남_10~19세,"2,350",720,67,43,37,"1,165",60,50,30,43,64,34,37
2020년07월_남_20~29세,"2,309",788,57,99,33,853,140,67,32,54,123,22,41
2020년07월_남_30~39세,"2,816",613,47,68,41,"1,604",124,73,28,79,84,17,38
2020년07월_남_40~49세,"3,887","1,068",118,114,87,"1,726",155,138,74,141,150,53,63
2020년07월_남_50~59세,"4,260","1,245",218,232,160,"1,098",197,197,131,251,281,122,128
2020년07월_남_60~69세,"4,520","1,336",260,348,210,654,200,276,197,343,354,187,155
2020년07월_남_70~79세,"3,087",849,220,217,144,334,184,239,150,269,276,86,119
2020년07월_남_80~89세,"1,655",364,135,159,91,146,109,133,92,140,174,38,74
2020년07월_남_90~99세,112,31,9,11,8,8,10,7,2,6,7,7,6
2020년07월_남_100세 이상,4,1,1,1,0,0,0,0,0,1,0,0,0
2020년07월_여_총인구수,"28,283","7,563","1,179","1,368",872,"9,570","1,302","1,274",803,"1,407","1,666",594,685
2020년07월_여_연령구간인구수,"28,283","7,563","1,179","1,368",872,"9,570","1,302","1,274",803,"1,407","1,666",594,685
2020년07월_여_0~9세,"2,296",407,35,28,26,"1,606",73,28,15,24,23,12,19
2020년07월_여_10~19세,"2,035",539,47,44,23,"1,094",48,45,19,41,68,27,40
2020년07월_여_20~29세,"1,793",560,41,53,27,789,84,52,20,41,78,22,26
2020년07월_여_30~39세,"2,788",575,38,53,41,"1,795",100,45,19,42,38,22,20
2020년07월_여_40~49세,"3,201",885,66,56,36,"1,732",79,64,35,66,102,34,46
2020년07월_여_50~59세,"3,878","1,293",148,197,104,"1,080",140,179,94,192,234,124,93
2020년07월_여_60~69세,"4,653","1,491",236,324,196,686,247,293,191,332,367,141,149
2020년07월_여_70~79세,"3,862","1,008",277,296,199,414,240,297,200,313,376,90,152
2020년07월_여_80~89세,"3,224",661,255,272,199,315,247,229,184,309,327,107,119
2020년07월_여_90~99세,523,139,33,42,21,56,43,38,25,43,51,14,18
2020년07월_여_100세 이상,30,5,3,3,0,3,1,4,1,4,2,1,3
