카테고리,경기도 시흥시,경기도 시흥시 대야동,경기도 시흥시 신천동,경기도 시흥시 신현동,경기도 시흥시 은행동,경기도 시흥시 매화동,경기도 시흥시 목감동,경기도 시흥시 군자동,경기도 시흥시 월곶동,경기도 시흥시 정왕본동,경기도 시흥시 정왕1동,경기도 시흥시 정왕2동,경기도 시흥시 정왕3동,경기도 시흥시 정왕4동,경기도 시흥시 배곧동,경기도 시흥시 과림동,경기도 시흥시 연성동,경기도 시흥시 장곡동,경기도 시흥시 능곡동
2020년03월_계_총인구수,"477,425","36,127","37,473","10,317","48,481","12,486","43,101","22,812","15,439","20,572","22,645","31,993","23,031","21,674","69,904","1,980","24,443","17,377","17,570"
2020년03월_계_연령구간인구수,"477,425","36,127","37,473","10,317","48,481","12,486","43,101","22,812","15,439","20,572","22,645","31,993","23,031","21,674","69,904","1,980","24,443","17,377","17,570"
2020년03월_계_0~9세,"46,839","2,734","1,907",522,"5,800",776,"6,474","1,775","1,515","1,244","1,485","2,654","1,827","1,778","11,316",51,"1,929","1,621","1,431"
2020년03월_계_10~19세,"49,642","3,190","3,661",826,"5,279","1,291","3,432","2,338","1,471","1,152","2,031","3,770","2,194","2,845","7,572",61,"3,242","2,914","2,373"
2020년03월_계_20~29세,"66,563","5,597","6,052","1,473","6,405","1,749","4,251","3,003","1,678","3,180","3,355","5,132","3,119","3,619","9,061",154,"3,692","2,501","2,542"
2020년03월_계_30~39세,"73,786","5,197","4,029","1,062","7,954","1,185","9,020","2,933","2,349","4,332","3,656","4,346","3,374","2,534","15,293",196,"2,622","1,723","1,981"
2020년03월_계_40~49세,"87,157","5,291","5,819","1,450","8,213","2,112","7,364","4,025","3,085","4,305","4,708","6,327","4,669","4,010","13,834",195,"4,681","3,757","3,312"
2020년03월_계_50~59세,"83,756","7,160","8,346","2,321","8,223","2,521","5,826","4,170","2,553","3,802","4,361","5,962","4,483","4,312","8,209",479,"4,724","3,161","3,143"
2020년03월_계_60~69세,"41,747","4,190","4,622","1,523","4,107","1,523","4,144","2,625","1,618","1,623","1,954","2,238","2,062","1,414","3,262",520,"1,897",914,"1,511"
2020년03월_계_70~79세,"18,330","1,755","2,039",729,"1,621",852,"1,747","1,276",797,650,748,"1,001",848,723,967,222,"1,051",494,810
2020년03월_계_80~89세,"8,320",876,859,361,763,425,719,578,323,247,302,513,382,392,340,81,521,245,393
2020년03월_계_90~99세,"1,194",128,120,42,110,48,110,79,48,34,43,49,72,45,49,19,79,46,73
2020년03월_계_100세 이상,91,9,19,8,6,4,14,10,2,3,2,1,1,2,1,2,5,1,1
2020년03월_남_총인구수,"249,786","18,370","19,360","5,427","24,321","6,518","21,813","11,967","8,065","12,904","13,267","17,115","12,919","10,767","35,867","1,198","12,454","8,684","8,770"
2020년03월_남_연령구간인구수,"249,786","18,370","19,360","5,427","24,321","6,518","21,813","11,967","8,065","12,904","13,267","17,115","12,919","10,767","35,867","1,198","12,454","8,684","8,770"
2020년03월_남_0~9세,"23,955","1,407","1,017",265,"2,989",383,"3,264",922,784,629,740,"1,347",932,919,"5,714",31,998,846,768
2020년03월_남_10~19세,"25,567","1,671","1,913",434,"2,705",684,"1,771","1,222",779,597,"1,038","1,932","1,153","1,456","3,803",32,"1,706","1,490","1,181"
2020년03월_남_20~29세,"36,098","2,904","3,272",814,"3,314",992,"2,147","1,664",885,"2,064","2,099","2,924","1,787","1,854","4,785",92,"1,928","1,270","1,303"
2020년03월_남_30~39세,"39,552","2,746","2,210",597,"3,916",624,"4,473","1,639","1,238","2,919","2,303","2,498","2,002","1,286","7,810",129,"1,335",795,"1,032"
2020년03월_남_40~49세,"46,643","2,676","3,007",746,"4,135","1,111","4,036","2,226","1,693","2,909","2,904","3,402","2,777","1,877","7,369",137,"2,283","1,772","1,583"
2020년03월_남_50~59세,"44,633","3,639","4,312","1,251","4,149","1,391","2,926","2,194","1,380","2,398","2,637","3,192","2,583","2,205","4,143",300,"2,543","1,748","1,642"
2020년03월_남_60~69세,"22,132","2,239","2,456",827,"2,130",812,"2,111","1,318",798,960,"1,111","1,205","1,161",747,"1,696",311,"1,003",471,776
2020년03월_남_70~79세,"8,229",788,899,347,745,375,837,567,382,332,322,429,380,281,429,127,444,193,352
2020년03월_남_80~89세,"2,703",277,241,127,217,131,226,198,116,88,105,174,135,128,108,33,195,86,118
2020년03월_남_90~99세,248,22,31,14,19,14,18,15,9,7,7,12,8,14,10,4,17,13,14
2020년03월_남_100세 이상,26,1,2,5,2,1,4,2,1,1,1,0,1,0,0,2,2,0,1
2020년03월_여_총인구수,"227,639","17,757","18,113","4,890","24,160","5,968","21,288","10,845","7,374","7,668","9,378","14,878","10,112","10,907","34,037",782,"11,989","8,693","8,800"
2020년03월_여_연령구간인구수,"227,639","17,757","18,113","4,890","24,160","5,968","21,288","10,845","7,374","7,668","9,378","14,878","10,112","10,907","34,037",782,"11,989","8,693","8,800"
2020년03월_여_0~9세,"22,884","1,327",890,257,"2,811",393,"3,210",853,731,615,745,"1,307",895,859,"5,602",20,931,775,663
2020년03월_여_10~19세,"24,075","1,519","1,748",392,"2,574",607,"1,661","1,116",692,555,993,"1,838","1,041","1,389","3,769",29,"1,536","1,424","1,192"
2020년03월_여_20~29세,"30,465","2,693","2,780",659,"3,091",757,"2,104","1,339",793,"1,116","1,256","2,208","1,332","1,765","4,276",62,"1,764","1,231","1,239"
2020년03월_여_30~39세,"34,234","2,451","1,819",465,"4,038",561,"4,547","1,294","1,111","1,413","1,353","1,848","1,372","1,248","7,483",67,"1,287",928,949
2020년03월_여_40~49세,"40,514","2,615","2,812",704,"4,078","1,001","3,328","1,799","1,392","1,396","1,804","2,925","1,892","2,133","6,465",58,"2,398","1,985","1,729"
