,충청북도 음성군,충청북도 음성군 음성읍,충청북도 음성군 금왕읍,충청북도 음성군 소이면,충청북도 음성군 원남면,충청북도 음성군 맹동면,충청북도 음성군 대소면,충청북도 음성군 삼성면,충청북도 음성군 생극면,충청북도 음성군 감곡면
2021년07월_계_총인구수,"92,231","16,717","19,648","2,876","3,008","12,970","15,705","6,867","4,507","9,933"
2021년07월_계_연령구간인구수,"92,231","16,717","19,648","2,876","3,008","12,970","15,705","6,867","4,507","9,933"
2021년07월_계_0~9세,"5,604",849,"1,198",51,55,"1,499","1,056",242,167,487
2021년07월_계_10~19세,"7,483","1,347","1,920",113,131,"1,086","1,509",399,216,762
2021년07월_계_20~29세,"9,241","1,672","2,168",143,161,"1,350","1,786",626,337,998
2021년07월_계_30~39세,"9,252","1,445","1,889",164,157,"2,317","1,668",509,301,802
2021년07월_계_40~49세,"13,407","2,229","3,227",207,208,"2,218","2,777",830,461,"1,250"
2021년07월_계_50~59세,"17,362","3,129","3,897",511,506,"1,796","3,247","1,519",886,"1,871"
2021년07월_계_60~69세,"16,198","3,244","3,010",742,851,"1,579","2,162","1,505","1,085","2,020"
2021년07월_계_70~79세,"8,141","1,738","1,414",522,518,688,905,722,589,"1,045"
2021년07월_계_80~89세,"4,798",931,809,364,355,372,521,450,391,605
2021년07월_계_90~99세,725,131,111,57,64,65,74,61,71,91
2021년07월_계_100세 이상,20,2,5,2,2,0,0,4,3,2
2021년07월_남_총인구수,"48,802","8,529","10,500","1,478","1,565","6,878","8,589","3,808","2,422","5,033"
2021년07월_남_연령구간인구수,"48,802","8,529","10,500","1,478","1,565","6,878","8,589","3,808","2,422","5,033"
2021년07월_남_0~9세,"2,923",437,631,28,25,795,551,138,87,231
2021년07월_남_10~19세,"3,896",683,"1,042",59,82,556,790,211,109,364
2021년07월_남_20~29세,"5,344",947,"1,288",83,98,707,"1,070",393,216,542
2021년07월_남_30~39세,"5,196",787,"1,067",108,87,"1,236",974,308,186,443
2021년07월_남_40~49세,"7,502","1,211","1,760",136,138,"1,229","1,533",525,283,687
2021년07월_남_50~59세,"9,656","1,652","2,206",285,277,986,"1,867",877,512,994
2021년07월_남_60~69세,"8,616","1,663","1,556",391,470,894,"1,187",840,578,"1,037"
2021년07월_남_70~79세,"3,861",804,634,243,263,331,427,354,294,511
2021년07월_남_80~89세,"1,639",311,284,134,112,132,170,148,144,204
2021년07월_남_90~99세,163,33,31,11,13,12,20,12,12,19
2021년07월_남_100세 이상,6,1,1,0,0,0,0,2,1,1
2021년07월_여_총인구수,"43,429","8,188","9,148","1,398","1,443","6,092","7,116","3,059","2,085","4,900"
2021년07월_여_연령구간인구수,"43,429","8,188","9,148","1,398","1,443","6,092","7,116","3,059","2,085","4,900"
2021년07월_여_0~9세,"2,681",412,567,23,30,704,505,104,80,256
2021년07월_여_10~19세,"3,587",664,878,54,49,530,719,188,107,398
2021년07월_여_20~29세,"3,897",725,880,60,63,643,716,233,121,456
2021년07월_여_30~39세,"4,056",658,822,56,70,"1,081",694,201,115,359
2021년07월_여_40~49세,"5,905","1,018","1,467",71,70,989,"1,244",305,178,563
2021년07월_여_50~59세,"7,706","1,477","1,691",226,229,810,"1,380",642,374,877
2021년07월_여_60~69세,"7,582","1,581","1,454",351,381,685,975,665,507,983
2021년07월_여_70~79세,"4,280",934,780,279,255,357,478,368,295,534
2021년07월_여_80~89세,"3,159",620,525,230,243,240,351,302,247,401
2021년07월_여_90~99세,562,98,80,46,51,53,54,49,59,72
2021년07월_여_100세 이상,14,1,4,2,2,0,0,2,2,1
