,충청남도 논산시,충청남도 논산시 강경읍,충청남도 논산시 연무읍,충청남도 논산시 성동면,충청남도 논산시 광석면,충청남도 논산시 노성면,충청남도 논산시 상월면,충청남도 논산시 부적면,충청남도 논산시 연산면,충청남도 논산시 벌곡면,충청남도 논산시 양촌면,충청남도 논산시 가야곡면,충청남도 논산시 은진면,충청남도 논산시 채운면,충청남도 논산시 취암동,충청남도 논산시 부창동
2021년12월_계_총인구수,"114,483","7,961","13,343","4,024","4,123","2,940","3,492","3,514","6,056","2,424","6,132","3,380","3,981","2,177","34,943","15,993"
2021년12월_계_연령구간인구수,"114,483","7,961","13,343","4,024","4,123","2,940","3,492","3,514","6,056","2,424","6,132","3,380","3,981","2,177","34,943","15,993"
2021년12월_계_0~9세,"6,729",277,864,106,100,95,59,77,178,56,371,61,117,59,"3,156","1,153"
2021년12월_계_10~19세,"9,433",602,"1,043",169,234,144,159,157,318,101,393,121,207,131,"3,889","1,765"
2021년12월_계_20~29세,"10,792",660,"1,214",260,257,203,202,229,347,112,413,219,390,139,"4,472","1,675"
2021년12월_계_30~39세,"10,191",481,"1,240",217,239,202,197,209,326,113,540,159,265,110,"4,422","1,471"
2021년12월_계_40~49세,"14,649",921,"1,621",313,378,278,357,320,502,208,581,271,417,187,"5,818","2,477"
2021년12월_계_50~59세,"19,240","1,386","2,054",643,692,466,657,616,"1,164",428,"1,045",600,708,343,"5,552","2,886"
2021년12월_계_60~69세,"20,943","1,716","2,478",975,995,647,869,892,"1,568",629,"1,223",874,867,541,"4,234","2,435"
2021년12월_계_70~79세,"12,833","1,166","1,586",704,687,495,524,554,914,433,846,586,539,363,"2,130","1,306"
2021년12월_계_80~89세,"8,384",651,"1,072",572,486,350,402,389,632,286,620,426,395,255,"1,114",734
2021년12월_계_90~99세,"1,260",100,168,63,54,57,64,68,103,57,100,62,74,49,150,91
2021년12월_계_100세 이상,29,1,3,2,1,3,2,3,4,1,0,1,2,0,6,0
2021년12월_남_총인구수,"57,147","3,918","6,658","2,026","2,075","1,488","1,753","1,786","3,121","1,230","3,112","1,721","2,115","1,041","17,384","7,719"
2021년12월_남_연령구간인구수,"57,147","3,918","6,658","2,026","2,075","1,488","1,753","1,786","3,121","1,230","3,112","1,721","2,115","1,041","17,384","7,719"
2021년12월_남_0~9세,"3,424",149,445,53,46,47,32,40,92,27,192,36,60,31,"1,587",587
2021년12월_남_10~19세,"4,871",303,533,89,116,77,88,75,177,60,230,65,95,63,"1,995",905
2021년12월_남_20~29세,"6,016",376,699,157,149,124,119,124,208,61,235,128,242,71,"2,403",920
2021년12월_남_30~39세,"5,418",267,669,132,138,116,99,118,177,73,287,101,176,59,"2,275",731
2021년12월_남_40~49세,"7,743",489,888,214,234,160,199,199,283,117,309,154,273,106,"2,908","1,210"
2021년12월_남_50~59세,"10,190",720,"1,103",344,389,279,361,354,638,254,566,331,410,194,"2,806","1,441"
2021년12월_남_60~69세,"10,547",843,"1,247",499,526,320,453,470,853,323,646,466,468,271,"2,041","1,121"
2021년12월_남_70~79세,"5,810",503,700,312,321,241,250,263,448,205,387,277,250,160,949,544
2021년12월_남_80~89세,"2,809",240,335,206,144,113,131,130,218,95,231,145,125,73,377,246
2021년12월_남_90~99세,312,27,39,19,12,11,21,12,27,15,29,17,16,13,40,14
2021년12월_남_100세 이상,7,1,0,1,0,0,0,1,0,0,0,1,0,0,3,0
2021년12월_여_총인구수,"57,336","4,043","6,685","1,998","2,048","1,452","1,739","1,728","2,935","1,194","3,020","1,659","1,866","1,136","17,559","8,274"
2021년12월_여_연령구간인구수,"57,336","4,043","6,685","1,998","2,048","1,452","1,739","1,728","2,935","1,194","3,020","1,659","1,866","1,136","17,559","8,274"
2021년12월_여_0~9세,"3,305",128,419,53,54,48,27,37,86,29,179,25,57,28,"1,569",566
2021년12월_여_10~19세,"4,562",299,510,80,118,67,71,82,141,41,163,56,112,68,"1,894",860
2021년12월_여_20~29세,"4,776",284,515,103,108,79,83,105,139,51,178,91,148,68,"2,069",755
2021년12월_여_30~39세,"4,773",214,571,85,101,86,98,91,149,40,253,58,89,51,"2,147",740
2021년12월_여_40~49세,"6,906",432,733,99,144,118,158,121,219,91,272,117,144,81,"2,910","1,267"
2021년12월_여_50~59세,"9,050",666,951,299,303,187,296,262,526,174,479,269,298,149,"2,746","1,445"
2021년12월_여_60~69세,"10,396",873,"1,231",476,469,327,416,422,715,306,577,408,399,270,"2,193","1,314"
2021년12월_여_70~79세,"7,023",663,886,392,366,254,274,291,466,228,459,309,289,203,"1,181",762
2021년12월_여_80~89세,"5,575",411,737,366,342,237,271,259,414,191,389,281,270,182,737,488
2021년12월_여_90~99세,948,73,129,44,42,46,43,56,76,42,71,45,58,36,110,77
2021년12월_여_100세 이상,22,0,3,1,1,3,2,2,4,1,0,0,2,0,3,0
