카테고리,전라북도 진안군,전라북도 진안군 진안읍,전라북도 진안군 용담면,전라북도 진안군 안천면,전라북도 진안군 동향면,전라북도 진안군 상전면,전라북도 진안군 백운면,전라북도 진안군 성수면,전라북도 진안군 마령면,전라북도 진안군 부귀면,전라북도 진안군 정천면,전라북도 진안군 주천면
2020년02월_계_총인구수,"25,652","10,303",833,"1,065","1,427",886,"1,964","1,794","1,882","2,917","1,072","1,509"
2020년02월_계_연령구간인구수,"25,652","10,303",833,"1,065","1,427",886,"1,964","1,794","1,882","2,917","1,072","1,509"
2020년02월_계_0~9세,"1,377",748,16,50,72,32,84,82,60,144,51,38
2020년02월_계_10~19세,"1,705",873,26,62,81,39,90,86,92,224,60,72
2020년02월_계_20~29세,"2,031",946,44,70,82,61,153,136,141,241,72,85
2020년02월_계_30~39세,"1,798",914,38,57,64,63,118,99,106,205,79,55
2020년02월_계_40~49세,"2,872","1,395",68,87,124,83,207,188,168,327,87,138
2020년02월_계_50~59세,"4,669","1,756",177,206,274,170,354,315,342,565,212,298
2020년02월_계_60~69세,"4,634","1,525",213,203,283,196,384,365,372,583,212,298
2020년02월_계_70~79세,"3,782","1,244",159,179,242,140,318,303,354,370,162,311
2020년02월_계_80~89세,"2,398",790,77,131,167,95,220,188,213,217,118,182
2020년02월_계_90~99세,360,103,13,20,35,7,35,26,31,40,18,32
2020년02월_계_100세 이상,26,9,2,0,3,0,1,6,3,1,1,0
2020년02월_남_총인구수,"12,950","5,186",415,521,669,456,"1,008",907,923,"1,523",565,777
2020년02월_남_연령구간인구수,"12,950","5,186",415,521,669,456,"1,008",907,923,"1,523",565,777
2020년02월_남_0~9세,692,365,8,24,29,14,46,47,32,73,30,24
2020년02월_남_10~19세,900,448,14,31,37,19,53,47,52,127,34,38
2020년02월_남_20~29세,"1,145",540,25,40,49,38,85,68,64,143,46,47
2020년02월_남_30~39세,871,414,23,29,26,35,67,44,48,103,48,34
2020년02월_남_40~49세,"1,688",801,41,47,62,45,135,125,105,189,52,86
2020년02월_남_50~59세,"2,646",975,96,109,154,95,202,189,204,330,110,182
2020년02월_남_60~69세,"2,426",811,114,110,150,107,191,185,184,303,117,154
2020년02월_남_70~79세,"1,715",547,69,79,109,70,148,143,150,178,80,142
2020년02월_남_80~89세,761,250,22,47,42,31,76,51,74,63,43,62
2020년02월_남_90~99세,97,31,2,5,10,2,5,6,9,14,5,8
2020년02월_남_100세 이상,9,4,1,0,1,0,0,2,1,0,0,0
2020년02월_여_총인구수,"12,702","5,117",418,544,758,430,956,887,959,"1,394",507,732
2020년02월_여_연령구간인구수,"12,702","5,117",418,544,758,430,956,887,959,"1,394",507,732
2020년02월_여_0~9세,685,383,8,26,43,18,38,35,28,71,21,14
2020년02월_여_10~19세,805,425,12,31,44,20,37,39,40,97,26,34
2020년02월_여_20~29세,886,406,19,30,33,23,68,68,77,98,26,38
2020년02월_여_30~39세,927,500,15,28,38,28,51,55,58,102,31,21
2020년02월_여_40~49세,"1,184",594,27,40,62,38,72,63,63,138,35,52
2020년02월_여_50~59세,"2,023",781,81,97,120,75,152,126,138,235,102,116
2020년02월_여_60~69세,"2,208",714,99,93,133,89,193,180,188,280,95,144
2020년02월_여_70~79세,"2,067",697,90,100,133,70,170,160,204,192,82,169
2020년02월_여_80~89세,"1,637",540,55,84,125,64,144,137,139,154,75,120
2020년02월_여_90~99세,263,72,11,15,25,5,30,20,22,26,13,24
2020년02월_여_100세 이상,17,5,1,0,2,0,1,4,2,1,1,0
