,충청북도 증평군,충청북도 증평군 증평읍,충청북도 증평군 도안면
2020년07월_계_총인구수,"37,166","35,257","1,909"
2020년07월_계_연령구간인구수,"37,166","35,257","1,909"
2020년07월_계_0~9세,"3,424","3,388",36
2020년07월_계_10~19세,"3,415","3,323",92
2020년07월_계_20~29세,"4,526","4,401",125
2020년07월_계_30~39세,"4,842","4,754",88
2020년07월_계_40~49세,"5,709","5,496",213
2020년07월_계_50~59세,"6,072","5,721",351
2020년07월_계_60~69세,"4,871","4,398",473
2020년07월_계_70~79세,"2,668","2,370",298
2020년07월_계_80~89세,"1,463","1,261",202
2020년07월_계_90~99세,165,136,29
2020년07월_계_100세 이상,11,9,2
2020년07월_남_총인구수,"19,301","18,289","1,012"
2020년07월_남_연령구간인구수,"19,301","18,289","1,012"
2020년07월_남_0~9세,"1,752","1,728",24
2020년07월_남_10~19세,"1,772","1,729",43
2020년07월_남_20~29세,"2,624","2,549",75
2020년07월_남_30~39세,"2,679","2,623",56
2020년07월_남_40~49세,"3,100","2,965",135
2020년07월_남_50~59세,"3,201","3,001",200
2020년07월_남_60~69세,"2,451","2,187",264
2020년07월_남_70~79세,"1,182","1,043",139
2020년07월_남_80~89세,492,428,64
2020년07월_남_90~99세,45,33,12
2020년07월_남_100세 이상,3,3,0
2020년07월_여_총인구수,"17,865","16,968",897
2020년07월_여_연령구간인구수,"17,865","16,968",897
2020년07월_여_0~9세,"1,672","1,660",12
2020년07월_여_10~19세,"1,643","1,594",49
2020년07월_여_20~29세,"1,902","1,852",50
2020년07월_여_30~39세,"2,163","2,131",32
2020년07월_여_40~49세,"2,609","2,531",78
2020년07월_여_50~59세,"2,871","2,720",151
2020년07월_여_60~69세,"2,420","2,211",209
2020년07월_여_70~79세,"1,486","1,327",159
2020년07월_여_80~89세,971,833,138
2020년07월_여_90~99세,120,103,17
2020년07월_여_100세 이상,8,6,2
