,울산광역시 중구,울산광역시 중구 학성동,울산광역시 중구 반구1동,울산광역시 중구 반구2동,울산광역시 중구 복산1동,울산광역시 중구 복산2동,울산광역시 중구 중앙동,울산광역시 중구 우정동,울산광역시 중구 태화동,울산광역시 중구 다운동,울산광역시 중구 병영1동,울산광역시 중구 병영2동,울산광역시 중구 약사동,울산광역시 중구 성안동
2021년08월_계_총인구수,"214,280","11,151","17,042","8,757","4,489","11,281","12,799","18,559","33,273","22,747","22,130","20,252","10,884","20,916"
2021년08월_계_연령구간인구수,"214,280","11,151","17,042","8,757","4,489","11,281","12,799","18,559","33,273","22,747","22,130","20,252","10,884","20,916"
2021년08월_계_0~9세,"15,720",510,"1,318",393,199,906,408,"1,256","3,271",982,"1,400","1,935","1,294","1,848"
2021년08월_계_10~19세,"19,645",672,"1,307",588,301,"1,072",624,"1,537","3,656","1,924","2,203","1,935","1,280","2,546"
2021년08월_계_20~29세,"25,742","1,294","2,027","1,257",544,"1,468","1,508","2,181","3,691","3,076","2,823","2,149","1,298","2,426"
2021년08월_계_30~39세,"25,565","1,351","2,377","1,026",480,"1,587","1,257","2,245","4,199","2,027","2,225","2,708","1,610","2,473"
2021년08월_계_40~49세,"33,440","1,504","2,579","1,108",515,"1,760","1,538","2,705","5,893","3,202","3,219","3,397","1,817","4,203"
2021년08월_계_50~59세,"40,328","1,951","3,303","1,731",889,"2,022","2,475","3,335","5,773","4,986","4,652","3,563","1,983","3,665"
2021년08월_계_60~69세,"33,236","2,107","2,705","1,544",951,"1,501","2,843","3,173","4,408","3,924","3,645","3,017","1,083","2,335"
2021년08월_계_70~79세,"14,627","1,264","1,038",796,443,691,"1,517","1,439","1,743","1,815","1,423","1,100",364,994
2021년08월_계_80~89세,"5,335",443,345,275,154,241,582,619,554,737,479,405,133,368
2021년08월_계_90~99세,626,53,41,39,13,33,47,69,83,74,57,41,21,55
2021년08월_계_100세 이상,16,2,2,0,0,0,0,0,2,0,4,2,1,3
2021년08월_남_총인구수,"108,516","5,687","8,848","4,453","2,258","5,617","6,617","9,279","16,586","11,569","11,225","10,222","5,457","10,698"
2021년08월_남_연령구간인구수,"108,516","5,687","8,848","4,453","2,258","5,617","6,617","9,279","16,586","11,569","11,225","10,222","5,457","10,698"
2021년08월_남_0~9세,"8,091",253,669,215,117,440,226,675,"1,732",485,704,965,647,963
2021년08월_남_10~19세,"10,452",355,685,314,163,561,324,832,"1,913","1,059","1,191","1,034",672,"1,349"
2021년08월_남_20~29세,"14,396",696,"1,123",679,293,804,854,"1,203","2,105","1,793","1,605","1,207",710,"1,324"
2021년08월_남_30~39세,"13,471",764,"1,290",570,285,857,761,"1,162","2,046","1,138","1,168","1,384",775,"1,271"
2021년08월_남_40~49세,"17,095",850,"1,401",592,262,871,844,"1,384","2,884","1,581","1,587","1,799",881,"2,159"
2021년08월_남_50~59세,"20,066","1,041","1,705",852,417,959,"1,286","1,631","2,725","2,488","2,311","1,742","1,001","1,908"
2021년08월_남_60~69세,"16,179","1,007","1,331",734,466,704,"1,433","1,530","2,149","1,930","1,781","1,453",546,"1,115"
2021년08월_남_70~79세,"6,770",550,507,390,199,338,664,622,830,835,687,503,165,480
2021년08월_남_80~89세,"1,894",162,133,100,54,76,214,221,193,247,184,132,55,123
2021년08월_남_90~99세,100,9,4,7,2,7,11,19,9,13,7,2,5,5
2021년08월_남_100세 이상,2,0,0,0,0,0,0,0,0,0,0,1,0,1
2021년08월_여_총인구수,"105,764","5,464","8,194","4,304","2,231","5,664","6,182","9,280","16,687","11,178","10,905","10,030","5,427","10,218"
2021년08월_여_연령구간인구수,"105,764","5,464","8,194","4,304","2,231","5,664","6,182","9,280","16,687","11,178","10,905","10,030","5,427","10,218"
2021년08월_여_0~9세,"7,629",257,649,178,82,466,182,581,"1,539",497,696,970,647,885
2021년08월_여_10~19세,"9,193",317,622,274,138,511,300,705,"1,743",865,"1,012",901,608,"1,197"
2021년08월_여_20~29세,"11,346",598,904,578,251,664,654,978,"1,586","1,283","1,218",942,588,"1,102"
2021년08월_여_30~39세,"12,094",587,"1,087",456,195,730,496,"1,083","2,153",889,"1,057","1,324",835,"1,202"
2021년08월_여_40~49세,"16,345",654,"1,178",516,253,889,694,"1,321","3,009","1,621","1,632","1,598",936,"2,044"
2021년08월_여_50~59세,"20,262",910,"1,598",879,472,"1,063","1,189","1,704","3,048","2,498","2,341","1,821",982,"1,757"
2021년08월_여_60~69세,"17,057","1,100","1,374",810,485,797,"1,410","1,643","2,259","1,994","1,864","1,564",537,"1,220"
2021년08월_여_70~79세,"7,857",714,531,406,244,353,853,817,913,980,736,597,199,514
2021년08월_여_80~89세,"3,441",281,212,175,100,165,368,398,361,490,295,273,78,245
2021년08월_여_90~99세,526,44,37,32,11,26,36,50,74,61,50,39,16,50
2021년08월_여_100세 이상,14,2,2,0,0,0,0,0,2,0,4,1,1,2
