,서울특별시 동작구,서울특별시 동작구 노량진제1동,서울특별시 동작구 노량진제2동,서울특별시 동작구 상도제1동,서울특별시 동작구 상도제2동,서울특별시 동작구 상도제3동,서울특별시 동작구 상도제4동,서울특별시 동작구 흑석동,서울특별시 동작구 사당제1동,서울특별시 동작구 사당제2동,서울특별시 동작구 사당제3동,서울특별시 동작구 사당제4동,서울특별시 동작구 사당제5동,서울특별시 동작구 대방동,서울특별시 동작구 신대방제1동,서울특별시 동작구 신대방제2동
2021년08월_계_총인구수,"387,558","31,943","12,149","44,378","28,823","24,653","28,727","31,656","22,891","27,565","24,550","14,253","14,532","38,241","23,325","19,872"
2021년08월_계_연령구간인구수,"387,558","31,943","12,149","44,378","28,823","24,653","28,727","31,656","22,891","27,565","24,550","14,253","14,532","38,241","23,325","19,872"
2021년08월_계_0~9세,"23,581","1,871",295,"2,666","2,493","1,151","1,568","2,285",764,"1,844","2,048",708,"1,005","2,102","1,451","1,330"
2021년08월_계_10~19세,"27,264","1,923",480,"3,153","1,990","1,607","1,854","2,161",889,"1,725","1,617",732,985,"4,069","2,411","1,668"
2021년08월_계_20~29세,"65,474","5,491","2,372","9,650","4,322","4,137","4,578","4,909","5,233","3,654","3,271","2,504","2,146","6,336","3,380","3,491"
2021년08월_계_30~39세,"61,278","5,484","1,998","6,043","4,877","4,073","4,726","4,359","4,634","4,403","3,986","2,456","2,611","5,284","3,065","3,279"
2021년08월_계_40~49세,"57,727","4,282","1,435","6,458","4,565","3,502","4,274","4,781","2,958","4,086","3,783","1,994","2,265","6,397","3,861","3,086"
2021년08월_계_50~59세,"57,908","4,641","1,904","6,304","4,239","3,879","4,404","5,143","2,979","4,304","3,544","2,048","2,195","5,908","3,714","2,702"
2021년08월_계_60~69세,"50,360","4,350","1,942","5,431","3,405","3,290","3,966","4,119","3,030","4,028","3,463","2,050","1,823","4,290","2,977","2,196"
2021년08월_계_70~79세,"29,680","2,503","1,126","3,072","1,907","2,069","2,278","2,521","1,767","2,467","2,066","1,225","1,015","2,545","1,663","1,456"
2021년08월_계_80~89세,"12,359","1,210",510,"1,366",870,842,948,"1,188",563,926,684,458,412,"1,107",690,585
2021년08월_계_90~99세,"1,775",164,76,210,142,96,122,182,71,123,83,71,71,182,105,77
2021년08월_계_100세 이상,152,24,11,25,13,7,9,8,3,5,5,7,4,21,8,2
2021년08월_남_총인구수,"187,510","16,016","6,277","21,473","13,879","11,773","13,969","15,408","10,869","13,236","11,923","6,811","7,029","18,190","11,195","9,462"
2021년08월_남_연령구간인구수,"187,510","16,016","6,277","21,473","13,879","11,773","13,969","15,408","10,869","13,236","11,923","6,811","7,029","18,190","11,195","9,462"
2021년08월_남_0~9세,"12,065",963,157,"1,352","1,287",580,819,"1,164",398,930,"1,022",385,524,"1,075",743,666
2021년08월_남_10~19세,"13,990",998,241,"1,614","1,009",828,997,"1,114",475,962,877,381,496,"1,988","1,147",863
2021년08월_남_20~29세,"31,569","2,874","1,226","4,872","2,056","1,913","2,196","2,571","2,252","1,740","1,553","1,131","1,034","2,980","1,615","1,556"
2021년08월_남_30~39세,"30,995","3,020","1,169","3,036","2,332","2,108","2,443","2,131","2,415","2,157","1,896","1,265","1,308","2,611","1,521","1,583"
2021년08월_남_40~49세,"29,005","2,246",813,"3,166","2,317","1,745","2,177","2,470","1,508","2,002","1,953","1,039","1,146","3,060","1,824","1,539"
2021년08월_남_50~59세,"27,890","2,266",970,"2,959","2,030","1,841","2,107","2,454","1,398","2,082","1,684",934,"1,037","2,949","1,881","1,298"
2021년08월_남_60~69세,"23,271","2,026",941,"2,523","1,595","1,485","1,847","1,918","1,331","1,817","1,637",921,847,"1,957","1,403","1,023"
2021년08월_남_70~79세,"13,218","1,108",512,"1,370",860,910,989,"1,093",807,"1,121",965,544,460,"1,079",753,647
2021년08월_남_80~89세,"5,006",462,225,521,353,340,355,444,272,392,312,193,160,429,282,266
2021년08월_남_90~99세,461,47,19,55,37,21,35,47,12,32,21,18,16,56,24,21
2021년08월_남_100세 이상,40,6,4,5,3,2,4,2,1,1,3,0,1,6,2,0
2021년08월_여_총인구수,"200,048","15,927","5,872","22,905","14,944","12,880","14,758","16,248","12,022","14,329","12,627","7,442","7,503","20,051","12,130","10,410"
2021년08월_여_연령구간인구수,"200,048","15,927","5,872","22,905","14,944","12,880","14,758","16,248","12,022","14,329","12,627","7,442","7,503","20,051","12,130","10,410"
2021년08월_여_0~9세,"11,516",908,138,"1,314","1,206",571,749,"1,121",366,914,"1,026",323,481,"1,027",708,664
2021년08월_여_10~19세,"13,274",925,239,"1,539",981,779,857,"1,047",414,763,740,351,489,"2,081","1,264",805
2021년08월_여_20~29세,"33,905","2,617","1,146","4,778","2,266","2,224","2,382","2,338","2,981","1,914","1,718","1,373","1,112","3,356","1,765","1,935"
2021년08월_여_30~39세,"30,283","2,464",829,"3,007","2,545","1,965","2,283","2,228","2,219","2,246","2,090","1,191","1,303","2,673","1,544","1,696"
2021년08월_여_40~49세,"28,722","2,036",622,"3,292","2,248","1,757","2,097","2,311","1,450","2,084","1,830",955,"1,119","3,337","2,037","1,547"
2021년08월_여_50~59세,"30,018","2,375",934,"3,345","2,209","2,038","2,297","2,689","1,581","2,222","1,860","1,114","1,158","2,959","1,833","1,404"
2021년08월_여_60~69세,"27,089","2,324","1,001","2,908","1,810","1,805","2,119","2,201","1,699","2,211","1,826","1,129",976,"2,333","1,574","1,173"
2021년08월_여_70~79세,"16,462","1,395",614,"1,702","1,047","1,159","1,289","1,428",960,"1,346","1,101",681,555,"1,466",910,809
2021년08월_여_80~89세,"7,353",748,285,845,517,502,593,744,291,534,372,265,252,678,408,319
2021년08월_여_90~99세,"1,314",117,57,155,105,75,87,135,59,91,62,53,55,126,81,56
2021년08월_여_100세 이상,112,18,7,20,10,5,5,6,2,4,2,7,3,15,6,2
