,강원도 철원군,강원도 철원군 철원읍,강원도 철원군 김화읍,강원도 철원군 갈말읍,강원도 철원군 동송읍,강원도 철원군 서면,강원도 철원군 서면와수출장소,강원도 철원군 근남면,강원도 철원군 근북면,강원도 철원군 근동면,강원도 철원군 원동면,강원도 철원군 원남면,강원도 철원군 임남면
2020년07월_계_총인구수,"44,924","5,470","3,634","12,091","15,511","1,991","3,859","2,258",110,0,0,0,0
2020년07월_계_연령구간인구수,"44,924","5,470","3,634","12,091","15,511","1,991","3,859","2,258",110,0,0,0,0
2020년07월_계_0~9세,"3,374",421,371,815,"1,186",159,240,182,0,0,0,0,0
2020년07월_계_10~19세,"3,866",509,258,"1,021","1,470",101,364,139,4,0,0,0,0
2020년07월_계_20~29세,"5,890",692,574,"1,643","1,833",415,445,286,2,0,0,0,0
2020년07월_계_30~39세,"4,759",579,464,"1,232","1,614",236,379,251,4,0,0,0,0
2020년07월_계_40~49세,"5,772",697,381,"1,641","2,100",198,546,200,9,0,0,0,0
2020년07월_계_50~59세,"7,350",906,497,"2,082","2,579",244,664,363,15,0,0,0,0
2020년07월_계_60~69세,"6,526",743,484,"1,789","2,251",269,575,393,22,0,0,0,0
2020년07월_계_70~79세,"4,811",613,376,"1,231","1,623",228,400,299,41,0,0,0,0
2020년07월_계_80~89세,"2,180",272,194,531,720,116,206,128,13,0,0,0,0
2020년07월_계_90~99세,350,36,33,96,113,20,36,16,0,0,0,0,0
2020년07월_계_100세 이상,46,2,2,10,22,5,4,1,0,0,0,0,0
2020년07월_남_총인구수,"23,346","2,796","1,939","6,480","7,821","1,108","1,946","1,206",50,0,0,0,0
2020년07월_남_연령구간인구수,"23,346","2,796","1,939","6,480","7,821","1,108","1,946","1,206",50,0,0,0,0
2020년07월_남_0~9세,"1,713",192,214,407,590,79,128,103,0,0,0,0,0
2020년07월_남_10~19세,"2,009",284,131,558,722,59,185,67,3,0,0,0,0
2020년07월_남_20~29세,"3,825",425,382,"1,126","1,106",303,276,207,0,0,0,0,0
2020년07월_남_30~39세,"2,611",316,253,696,853,147,199,145,2,0,0,0,0
2020년07월_남_40~49세,"3,103",378,216,878,"1,095",116,301,113,6,0,0,0,0
2020년07월_남_50~59세,"3,911",488,274,"1,119","1,359",130,342,190,9,0,0,0,0
2020년07월_남_60~69세,"3,155",343,239,889,"1,076",132,265,204,7,0,0,0,0
2020년07월_남_70~79세,"2,143",267,150,576,731,99,172,132,16,0,0,0,0
2020년07월_남_80~89세,789,95,75,208,254,36,74,40,7,0,0,0,0
2020년07월_남_90~99세,75,8,5,19,30,5,3,5,0,0,0,0,0
2020년07월_남_100세 이상,12,0,0,4,5,2,1,0,0,0,0,0,0
2020년07월_여_총인구수,"21,578","2,674","1,695","5,611","7,690",883,"1,913","1,052",60,0,0,0,0
2020년07월_여_연령구간인구수,"21,578","2,674","1,695","5,611","7,690",883,"1,913","1,052",60,0,0,0,0
2020년07월_여_0~9세,"1,661",229,157,408,596,80,112,79,0,0,0,0,0
2020년07월_여_10~19세,"1,857",225,127,463,748,42,179,72,1,0,0,0,0
2020년07월_여_20~29세,"2,065",267,192,517,727,112,169,79,2,0,0,0,0
2020년07월_여_30~39세,"2,148",263,211,536,761,89,180,106,2,0,0,0,0
2020년07월_여_40~49세,"2,669",319,165,763,"1,005",82,245,87,3,0,0,0,0
2020년07월_여_50~59세,"3,439",418,223,963,"1,220",114,322,173,6,0,0,0,0
2020년07월_여_60~69세,"3,371",400,245,900,"1,175",137,310,189,15,0,0,0,0
2020년07월_여_70~79세,"2,668",346,226,655,892,129,228,167,25,0,0,0,0
2020년07월_여_80~89세,"1,391",177,119,323,466,80,132,88,6,0,0,0,0
2020년07월_여_90~99세,275,28,28,77,83,15,33,11,0,0,0,0,0
2020년07월_여_100세 이상,34,2,2,6,17,3,3,1,0,0,0,0,0
