,서울특별시 종로구,서울특별시 종로구 청운효자동,서울특별시 종로구 사직동,서울특별시 종로구 삼청동,서울특별시 종로구 부암동,서울특별시 종로구 평창동,서울특별시 종로구 무악동,서울특별시 종로구 교남동,서울특별시 종로구 가회동,서울특별시 종로구 종로1.2.3.4가동,서울특별시 종로구 종로5.6가동,서울특별시 종로구 이화동,서울특별시 종로구 혜화동,서울특별시 종로구 창신제1동,서울특별시 종로구 창신제2동,서울특별시 종로구 창신제3동,서울특별시 종로구 숭인제1동,서울특별시 종로구 숭인제2동
2020년06월_계_총인구수,"150,383","12,609","9,506","2,707","10,050","18,519","8,645","10,534","4,354","7,248","5,323","7,774","16,868","5,162","8,394","7,001","6,149","9,540"
2020년06월_계_연령구간인구수,"150,383","12,609","9,506","2,707","10,050","18,519","8,645","10,534","4,354","7,248","5,323","7,774","16,868","5,162","8,394","7,001","6,149","9,540"
2020년06월_계_0~9세,"7,896",870,592,105,587,"1,199",725,899,217,196,117,267,714,149,256,402,311,290
2020년06월_계_10~19세,"11,309","1,213",690,205,935,"1,658","1,023",860,345,219,238,455,"1,378",244,525,551,390,380
2020년06월_계_20~29세,"23,446","1,613","1,251",343,"1,377","2,509",944,"1,292",491,842,"1,117","1,708","4,487",616,"1,189",966,816,"1,885"
2020년06월_계_30~39세,"20,146","1,729","1,411",371,"1,215","2,246",974,"1,794",580,922,692,"1,278","2,134",516,920,986,854,"1,524"
2020년06월_계_40~49세,"22,641","2,190","1,490",369,"1,657","2,801","1,568","1,849",767,953,623,"1,044","2,281",664,"1,160",983,962,"1,280"
2020년06월_계_50~59세,"25,662","2,005","1,549",427,"1,716","3,325","1,402","1,602",702,"1,388",975,"1,129","2,309","1,158","1,844","1,288","1,142","1,701"
2020년06월_계_60~69세,"19,556","1,368","1,181",406,"1,281","2,437",989,"1,126",588,"1,395",773,915,"1,584",994,"1,313",987,872,"1,347"
2020년06월_계_70~79세,"12,595","1,022",775,290,805,"1,409",652,733,447,841,540,612,"1,247",559,821,548,535,759
2020년06월_계_80~89세,"5,812",505,457,153,390,754,302,316,170,362,200,305,622,208,305,234,223,306
2020년06월_계_90~99세,"1,053",75,91,30,76,156,49,48,37,91,39,48,90,45,48,45,35,50
2020년06월_계_100세 이상,267,19,19,8,11,25,17,15,10,39,9,13,22,9,13,11,9,18
2020년06월_남_총인구수,"73,288","5,885","4,281","1,301","4,769","8,671","4,023","4,890","2,015","4,349","2,887","3,661","8,164","2,803","4,315","3,422","2,992","4,860"
2020년06월_남_연령구간인구수,"73,288","5,885","4,281","1,301","4,769","8,671","4,023","4,890","2,015","4,349","2,887","3,661","8,164","2,803","4,315","3,422","2,992","4,860"
2020년06월_남_0~9세,"3,996",459,291,48,302,615,322,462,109,104,60,137,342,80,146,217,158,144
2020년06월_남_10~19세,"5,705",649,316,119,494,855,481,414,183,117,121,217,704,126,270,268,185,186
2020년06월_남_20~29세,"11,564",792,573,186,714,"1,290",429,604,230,438,572,806,"2,234",345,639,513,412,787
2020년06월_남_30~39세,"10,023",809,622,177,560,"1,049",440,844,277,524,410,607,"1,129",296,547,472,441,819
2020년06월_남_40~49세,"11,009",973,659,179,776,"1,230",747,868,361,579,362,519,"1,099",344,611,478,507,717
2020년06월_남_50~59세,"12,907",947,708,209,775,"1,501",732,766,324,977,551,555,"1,108",657,967,627,559,944
2020년06월_남_60~69세,"9,690",599,548,184,607,"1,163",454,490,266,886,445,438,767,578,645,489,404,727
2020년06월_남_70~79세,"5,612",420,332,135,361,625,262,296,183,502,264,254,502,277,347,248,224,380
2020년06월_남_80~89세,"2,322",205,192,51,156,292,127,127,71,170,85,107,243,79,122,81,86,128
2020년06월_남_90~99세,372,29,36,12,21,43,17,14,7,40,13,18,28,20,19,20,13,22
2020년06월_남_100세 이상,88,3,4,1,3,8,12,5,4,12,4,3,8,1,2,9,3,6
2020년06월_여_총인구수,"77,095","6,724","5,225","1,406","5,281","9,848","4,622","5,644","2,339","2,899","2,436","4,113","8,704","2,359","4,079","3,579","3,157","4,680"
2020년06월_여_연령구간인구수,"77,095","6,724","5,225","1,406","5,281","9,848","4,622","5,644","2,339","2,899","2,436","4,113","8,704","2,359","4,079","3,579","3,157","4,680"
2020년06월_여_0~9세,"3,900",411,301,57,285,584,403,437,108,92,57,130,372,69,110,185,153,146
2020년06월_여_10~19세,"5,604",564,374,86,441,803,542,446,162,102,117,238,674,118,255,283,205,194
2020년06월_여_20~29세,"11,882",821,678,157,663,"1,219",515,688,261,404,545,902,"2,253",271,550,453,404,"1,098"
2020년06월_여_30~39세,"10,123",920,789,194,655,"1,197",534,950,303,398,282,671,"1,005",220,373,514,413,705
2020년06월_여_40~49세,"11,632","1,217",831,190,881,"1,571",821,981,406,374,261,525,"1,182",320,549,505,455,563
2020년06월_여_50~59세,"12,755","1,058",841,218,941,"1,824",670,836,378,411,424,574,"1,201",501,877,661,583,757
2020년06월_여_60~69세,"9,866",769,633,222,674,"1,274",535,636,322,509,328,477,817,416,668,498,468,620
2020년06월_여_70~79세,"6,983",602,443,155,444,784,390,437,264,339,276,358,745,282,474,300,311,379
2020년06월_여_80~89세,"3,490",300,265,102,234,462,175,189,99,192,115,198,379,129,183,153,137,178
2020년06월_여_90~99세,681,46,55,18,55,113,32,34,30,51,26,30,62,25,29,25,22,28
2020년06월_여_100세 이상,179,16,15,7,8,17,5,10,6,27,5,10,14,8,11,2,6,12
