,경상북도 의성군,경상북도 의성군 의성읍,경상북도 의성군 단촌면,경상북도 의성군 점곡면,경상북도 의성군 옥산면,경상북도 의성군 사곡면,경상북도 의성군 춘산면,경상북도 의성군 가음면,경상북도 의성군 금성면,경상북도 의성군 봉양면,경상북도 의성군 비안면,경상북도 의성군 구천면,경상북도 의성군 단밀면,경상북도 의성군 단북면,경상북도 의성군 안계면,경상북도 의성군 다인면,경상북도 의성군 신평면,경상북도 의성군 안평면,경상북도 의성군 안사면
2021년04월_계_총인구수,"51,380","13,289","1,928","1,603","1,779","1,562","1,478","1,457","4,242","3,928","2,561","1,801","1,734","1,807","4,590","3,805",825,"2,150",841
2021년04월_계_연령구간인구수,"51,380","13,289","1,928","1,603","1,779","1,562","1,478","1,457","4,242","3,928","2,561","1,801","1,734","1,807","4,590","3,805",825,"2,150",841
2021년04월_계_0~9세,"1,870",778,26,38,27,22,41,36,130,144,90,41,36,38,241,96,21,49,16
2021년04월_계_10~19세,"2,227","1,012",59,37,51,39,50,41,132,126,43,43,58,52,251,124,12,74,23
2021년04월_계_20~29세,"3,063","1,110",83,71,84,59,56,50,223,266,117,85,86,101,361,184,22,74,31
2021년04월_계_30~39세,"3,129","1,141",87,70,67,45,74,72,213,267,134,93,91,82,349,192,30,80,42
2021년04월_계_40~49세,"4,616","1,739",133,98,131,107,66,96,349,345,187,120,126,123,487,270,44,144,51
2021년04월_계_50~59세,"8,520","2,176",316,252,337,281,256,237,656,692,423,304,298,315,764,606,148,331,128
2021년04월_계_60~69세,"12,027","2,583",551,432,498,429,454,424,"1,042",947,646,472,385,430,857,911,188,577,201
2021년04월_계_70~79세,"8,841","1,698",355,325,340,295,267,263,846,648,495,331,341,352,718,783,180,428,176
2021년04월_계_80~89세,"6,231",918,289,245,220,243,184,206,552,423,377,279,286,284,488,576,158,351,152
2021년04월_계_90~99세,826,133,27,35,23,42,29,29,94,66,47,33,26,28,72,60,22,40,20
2021년04월_계_100세 이상,30,1,2,0,1,0,1,3,5,4,2,0,1,2,2,3,0,2,1
2021년04월_남_총인구수,"25,127","6,502",953,787,882,752,757,727,"2,086","1,892","1,245",899,856,872,"2,183","1,870",399,"1,067",398
2021년04월_남_연령구간인구수,"25,127","6,502",953,787,882,752,757,727,"2,086","1,892","1,245",899,856,872,"2,183","1,870",399,"1,067",398
2021년04월_남_0~9세,984,421,16,21,19,12,17,23,75,68,39,17,20,23,119,52,9,23,10
2021년04월_남_10~19세,"1,152",530,35,19,23,23,30,17,70,65,23,25,28,28,114,64,7,37,14
2021년04월_남_20~29세,"1,764",625,51,43,43,28,41,28,134,147,71,48,58,60,201,112,14,43,17
2021년04월_남_30~39세,"1,747",585,59,48,45,28,45,38,122,139,80,58,55,46,198,121,14,42,24
2021년04월_남_40~49세,"2,701",919,91,68,84,76,35,60,208,206,121,84,80,79,259,172,23,103,33
2021년04월_남_50~59세,"4,619","1,129",181,135,184,150,132,128,356,388,229,170,164,189,403,326,91,190,74
2021년04월_남_60~69세,"6,044","1,221",281,220,259,216,260,242,531,442,328,249,189,223,421,456,105,296,105
2021년04월_남_70~79세,"3,876",744,140,147,144,137,122,110,381,289,231,149,153,137,304,348,66,202,72
2021년04월_남_80~89세,"2,052",299,96,80,75,74,69,76,179,132,114,92,104,80,154,197,62,122,47
2021년04월_남_90~99세,184,29,3,6,5,8,6,5,29,16,9,7,5,7,10,20,8,9,2
2021년04월_남_100세 이상,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0
2021년04월_여_총인구수,"26,253","6,787",975,816,897,810,721,730,"2,156","2,036","1,316",902,878,935,"2,407","1,935",426,"1,083",443
2021년04월_여_연령구간인구수,"26,253","6,787",975,816,897,810,721,730,"2,156","2,036","1,316",902,878,935,"2,407","1,935",426,"1,083",443
2021년04월_여_0~9세,886,357,10,17,8,10,24,13,55,76,51,24,16,15,122,44,12,26,6
2021년04월_여_10~19세,"1,075",482,24,18,28,16,20,24,62,61,20,18,30,24,137,60,5,37,9
2021년04월_여_20~29세,"1,299",485,32,28,41,31,15,22,89,119,46,37,28,41,160,72,8,31,14
2021년04월_여_30~39세,"1,382",556,28,22,22,17,29,34,91,128,54,35,36,36,151,71,16,38,18
2021년04월_여_40~49세,"1,915",820,42,30,47,31,31,36,141,139,66,36,46,44,228,98,21,41,18
2021년04월_여_50~59세,"3,901","1,047",135,117,153,131,124,109,300,304,194,134,134,126,361,280,57,141,54
2021년04월_여_60~69세,"5,983","1,362",270,212,239,213,194,182,511,505,318,223,196,207,436,455,83,281,96
2021년04월_여_70~79세,"4,965",954,215,178,196,158,145,153,465,359,264,182,188,215,414,435,114,226,104
2021년04월_여_80~89세,"4,179",619,193,165,145,169,115,130,373,291,263,187,182,204,334,379,96,229,105
2021년04월_여_90~99세,642,104,24,29,18,34,23,24,65,50,38,26,21,21,62,40,14,31,18
2021년04월_여_100세 이상,26,1,2,0,0,0,1,3,4,4,2,0,1,2,2,1,0,2,1
