카테고리,경기도 동두천시,경기도 동두천시 생연1동,경기도 동두천시 생연2동,경기도 동두천시 중앙동,경기도 동두천시 보산동,경기도 동두천시 불현동,경기도 동두천시 송내동,경기도 동두천시 소요동,경기도 동두천시 상패동
2020년12월_계_총인구수,"94,353","6,995","11,721","5,152","3,106","27,621","25,542","8,790","5,426"
2020년12월_계_연령구간인구수,"94,353","6,995","11,721","5,152","3,106","27,621","25,542","8,790","5,426"
2020년12월_계_0~9세,"6,298",484,750,144,157,"1,948","2,189",381,245
2020년12월_계_10~19세,"8,604",575,"1,199",210,206,"2,648","2,970",516,280
2020년12월_계_20~29세,"11,303",762,"1,303",506,340,"3,543","3,325",925,599
2020년12월_계_30~39세,"10,215",770,"1,143",448,290,"3,045","3,119",778,622
2020년12월_계_40~49세,"14,334",954,"1,868",582,387,"4,187","4,553","1,165",638
2020년12월_계_50~59세,"16,481","1,258","1,998","1,060",586,"4,922","4,029","1,612","1,016"
2020년12월_계_60~69세,"13,225","1,120","1,601","1,083",536,"3,739","2,530","1,644",972
2020년12월_계_70~79세,"8,799",664,"1,159",659,392,"2,309","1,846","1,110",660
2020년12월_계_80~89세,"4,387",365,630,352,185,"1,119",856,557,323
2020년12월_계_90~99세,622,40,63,83,25,148,120,81,62
2020년12월_계_100세 이상,85,3,7,25,2,13,5,21,9
2020년12월_남_총인구수,"47,038","3,478","5,750","2,682","1,469","13,645","12,597","4,547","2,870"
2020년12월_남_연령구간인구수,"47,038","3,478","5,750","2,682","1,469","13,645","12,597","4,547","2,870"
2020년12월_남_0~9세,"3,262",257,403,83,71,982,"1,137",190,139
2020년12월_남_10~19세,"4,341",275,606,112,95,"1,340","1,497",280,136
2020년12월_남_20~29세,"6,142",429,719,271,201,"1,893","1,753",531,345
2020년12월_남_30~39세,"5,274",393,562,264,151,"1,558","1,569",418,359
2020년12월_남_40~49세,"7,410",505,955,346,201,"2,085","2,278",673,367
2020년12월_남_50~59세,"8,671",648,"1,045",612,286,"2,522","2,106",873,579
2020년12월_남_60~69세,"6,465",545,748,571,263,"1,857","1,141",825,515
2020년12월_남_70~79세,"3,665",278,453,278,140,950,742,528,296
2020년12월_남_80~89세,"1,613",136,242,108,55,413,345,201,113
2020년12월_남_90~99세,175,12,15,31,6,41,27,25,18
2020년12월_남_100세 이상,20,0,2,6,0,4,2,3,3
2020년12월_여_총인구수,"47,315","3,517","5,971","2,470","1,637","13,976","12,945","4,243","2,556"
2020년12월_여_연령구간인구수,"47,315","3,517","5,971","2,470","1,637","13,976","12,945","4,243","2,556"
2020년12월_여_0~9세,"3,036",227,347,61,86,966,"1,052",191,106
2020년12월_여_10~19세,"4,263",300,593,98,111,"1,308","1,473",236,144
2020년12월_여_20~29세,"5,161",333,584,235,139,"1,650","1,572",394,254
2020년12월_여_30~39세,"4,941",377,581,184,139,"1,487","1,550",360,263
2020년12월_여_40~49세,"6,924",449,913,236,186,"2,102","2,275",492,271
2020년12월_여_50~59세,"7,810",610,953,448,300,"2,400","1,923",739,437
2020년12월_여_60~69세,"6,760",575,853,512,273,"1,882","1,389",819,457
2020년12월_여_70~79세,"5,134",386,706,381,252,"1,359","1,104",582,364
2020년12월_여_80~89세,"2,774",229,388,244,130,706,511,356,210
2020년12월_여_90~99세,447,28,48,52,19,107,93,56,44
2020년12월_여_100세 이상,65,3,5,19,2,9,3,18,6
