카테고리,세종특별자치시 세종특별자치시,세종특별자치시  조치원읍,세종특별자치시  연기면,세종특별자치시  연동면,세종특별자치시  부강면,세종특별자치시  금남면,세종특별자치시  장군면,세종특별자치시  연서면,세종특별자치시  전의면,세종특별자치시  전동면,세종특별자치시  소정면,세종특별자치시  한솔동,세종특별자치시  새롬동,세종특별자치시  도담동,세종특별자치시  아름동,세종특별자치시  종촌동,세종특별자치시  고운동,세종특별자치시  소담동,세종특별자치시  보람동,세종특별자치시  대평동,세종특별자치시  다정동
2021년07월_계_총인구수,"364,364","43,355","2,773","3,149","6,219","8,956","6,971","7,448","5,552","3,430","2,372","19,025","33,108","41,058","23,613","29,460","34,453","34,239","19,425","11,307","28,451"
2021년07월_계_연령구간인구수,"364,364","43,355","2,773","3,149","6,219","8,956","6,971","7,448","5,552","3,430","2,372","19,025","33,108","41,058","23,613","29,460","34,453","34,239","19,425","11,307","28,451"
2021년07월_계_0~9세,"46,995","3,111",96,96,311,332,247,339,183,70,92,"2,458","4,764","5,729","3,377","4,506","5,873","5,831","3,069","1,659","4,852"
2021년07월_계_10~19세,"44,340","4,163",99,122,366,384,319,409,369,114,175,"3,296","4,536","5,517","4,354","4,259","4,877","3,712","2,617","1,092","3,560"
2021년07월_계_20~29세,"38,265","6,530",371,285,714,938,"1,018",855,551,274,263,"1,742","3,822","4,577","1,876","2,554","2,520","3,549","1,866","1,344","2,616"
2021년07월_계_30~39세,"61,176","5,448",371,290,745,904,930,727,485,235,186,"2,444","6,494","7,501","3,336","5,278","6,304","7,741","3,523","2,246","5,988"
2021년07월_계_40~49세,"71,019","6,876",328,332,814,"1,025",966,882,644,328,312,"4,396","7,005","8,828","5,868","6,334","7,662","6,586","3,973","2,002","5,858"
2021년07월_계_50~59세,"46,878","6,643",516,532,"1,083","1,600","1,310","1,217","1,007",674,438,"2,697","3,781","4,770","2,824","3,319","3,567","3,836","2,363","1,672","3,029"
2021년07월_계_60~69세,"32,468","5,664",553,689,"1,109","1,844","1,163","1,455","1,071",868,420,"1,254","1,852","2,516","1,306","2,052","2,506","2,079","1,373",908,"1,786"
2021년07월_계_70~79세,"14,554","3,072",255,427,618,"1,122",586,905,653,497,270,496,582,"1,067",472,785,851,636,452,252,556
2021년07월_계_80~89세,"7,365","1,594",151,311,403,680,379,581,505,315,194,202,212,444,169,335,244,215,156,107,168
2021년07월_계_90~99세,"1,268",246,32,61,55,121,52,76,78,54,22,39,60,109,29,37,49,52,33,25,38
2021년07월_계_100세 이상,36,8,1,4,1,6,1,2,6,1,0,1,0,0,2,1,0,2,0,0,0
2021년07월_남_총인구수,"181,996","22,560","1,589","1,651","3,438","4,760","4,030","4,075","2,959","1,858","1,257","9,368","16,018","19,868","11,689","14,334","16,879","16,823","9,503","5,607","13,730"
2021년07월_남_연령구간인구수,"181,996","22,560","1,589","1,651","3,438","4,760","4,030","4,075","2,959","1,858","1,257","9,368","16,018","19,868","11,689","14,334","16,879","16,823","9,503","5,607","13,730"
2021년07월_남_0~9세,"24,014","1,597",48,48,161,162,131,162,94,30,48,"1,285","2,408","2,928","1,750","2,317","2,995","2,964","1,550",878,"2,458"
2021년07월_남_10~19세,"22,305","2,130",50,62,200,179,154,219,211,62,83,"1,669","2,190","2,778","2,299","2,087","2,496","1,824","1,335",550,"1,727"
2021년07월_남_20~29세,"19,589","3,740",220,183,478,562,650,563,336,153,154,894,"1,744","2,049",919,"1,213","1,232","1,712",903,665,"1,219"
2021년07월_남_30~39세,"29,851","2,988",256,170,474,545,621,458,303,148,124,"1,106","3,036","3,520","1,494","2,504","2,912","3,703","1,607","1,101","2,781"
